Time (UTC),Power (Watt)
2022-09-22 00,2700.0
2022-09-22 01,2261.3333335661778
2022-09-22 02,2486.666666771822
2022-09-22 03,2442.2500005925563
2022-09-22 04,2604.9166666414926
2022-09-22 05,2291.2499997676255
2022-09-22 06,1657.5000001267501
2022-09-22 07,1653.4583333820879
2022-09-22 08,1873.9999997165028
2022-09-22 09,1409.2499997507782
2022-09-22 10,1777.749999643147
2022-09-22 11,1313.8750000953264
2022-09-22 12,1342.9999999831
2022-09-22 13,1328.9166666577473
2022-09-22 14,1523.3055555694818
2022-09-22 15,1471.3750000073937
2022-09-22 16,1450.6666666366223
2022-09-22 17,1394.3333333352111
2022-09-22 18,1456.1250000050172
2022-09-22 19,2301.7916658416207
2022-09-22 20,1632.8333328873637
2022-09-22 21,1622.6250002574602
2022-09-22 22,2150.750000330077
2022-09-22 23,2527.430555546245
2022-09-23 00,2511.0
2022-09-23 01,1930.0833334958215
2022-09-23 02,1815.0833342522674
2022-09-23 03,1764.2499998003696
2022-09-23 04,1552.9999998605765
2022-09-23 05,1364.458333548893
2022-09-23 06,1920.7500002920524
2022-09-23 07,1504.9791663144526
2022-09-23 08,1379.5555555467927
2022-09-23 09,1402.9374982397585
2022-09-23 10,1758.5416657065343
2022-09-23 11,1328.5833333016458
2022-09-23 12,1313.7499999302875
2022-09-23 13,1360.0
2022-09-23 14,1360.0
2022-09-23 15,1664.5000069839234
2022-09-23 16,1520.8333292646605
2022-09-23 17,1801.3958375356242
2022-09-23 18,1417.6250033388067
2022-09-23 19,1488.8958327655985
2022-09-23 20,1463.1666668736918
2022-09-23 21,1413.8750000961188
2022-09-23 22,1602.1944445578133
2022-09-23 23,1980.0972231858734
2022-09-24 00,1579.9999974312013
2022-09-24 01,1702.7708360389174
2022-09-24 02,1688.4166638507065
2022-09-24 03,1797.4374998698174
2022-09-24 04,1561.000006464255
2022-09-24 05,1722.6458330254366
2022-09-24 06,1761.374999779244
2022-09-24 07,1800.104166533051
2022-09-24 08,1352.6666666497665
2022-09-24 09,1366.7500000147875
2022-09-24 10,1360.9583332752395
2022-09-24 11,1642.5000032828216
2022-09-24 12,1657.66666641035
2022-09-24 13,1606.4083323748218
2022-09-24 14,1489.5166664328844
2022-09-24 15,1372.625000490946
2022-09-24 16,1321.3333329277332
2022-09-24 17,1497.541665655833
2022-09-24 18,1343.7499999049373
2022-09-24 19,1378.9583333174892
2022-09-24 20,1617.4166660646054
2022-09-24 21,1440.437501040933
2022-09-24 22,1697.458334952562
2022-09-24 23,1954.4791688641908
2022-09-25 00,1407.0000002535
2022-09-25 01,1442.2083333685416
2022-09-25 02,1477.416666483583
2022-09-25 03,1514.6874997501968
2022-09-25 04,1969.8333292815594
2022-09-25 05,2013.6666705114187
2022-09-25 06,2199.7500002767456
2022-09-25 07,2499.916666415279
2022-09-25 08,2069.6666628303706
2022-09-25 09,1523.3749996524937
2022-09-25 10,2212.29165798958
2022-09-25 11,1398.4375091352383
2022-09-25 12,2296.2499921890394
2022-09-25 13,1364.7916676183486
2022-09-25 14,1317.6666668272169
2022-09-25 15,1450.9999963073503
2022-09-25 16,1803.8888892578711
2022-09-25 17,1496.4027774549209
2022-09-25 18,1424.6666666047001
2022-09-25 19,1478.45833681156
2022-09-25 20,2105.1666715549895
2022-09-25 21,1912.604165992222
2022-09-25 22,1700.180555898976
2022-09-25 23,1487.75694580573
2022-09-26 00,1647.9999968058935
2022-09-26 01,2091.624997804044
2022-09-26 02,1574.0833351395304
2022-09-26 03,1380.0416666740605
2022-09-26 04,1372.833334005102
2022-09-26 05,1746.0416681781571
2022-09-26 06,1682.7499937448804
2022-09-26 07,1457.1666669074914
2022-09-26 08,1511.1666706346407
2022-09-26 09,1916.0624963255705
2022-09-26 10,1676.0833359676246
2022-09-26 11,1535.1666635781903
2022-09-26 12,1914.5000038743156
2022-09-26 13,1417.0416668177108
2022-09-26 14,1374.4583333386147
2022-09-26 15,1388.0
2022-09-26 16,1388.0
2022-09-26 17,1388.0
2022-09-26 18,1761.5000036236404
2022-09-26 19,2023.3333326376185
2022-09-26 20,1884.5555589552732
2022-09-26 21,1551.2500026497773
2022-09-26 22,1539.1666641460288
2022-09-26 23,1981.3833318076877
2022-09-27 00,2423.5999994693466
2022-09-27 01,2228.0416659642633
2022-09-27 02,1559.0833311257766
2022-09-27 03,2214.0624940791818
2022-09-27 04,1327.1111112575775
2022-09-27 05,1345.8888890776054
2022-09-27 06,1366.40000018928
2022-09-27 07,1388.9333333829065
2022-09-27 08,1411.4666665765333
2022-09-27 09,1400.3125001568526
2022-09-27 10,1564.5138878843954
2022-09-27 11,1936.5486109436965
2022-09-27 12,2308.5833340029976
2022-09-27 13,2595.666663700727
2022-09-27 14,1863.3333287196374
2022-09-27 15,2406.2812477020598
