Time (UTC),Carbon (kg/kWh)
2022-09-22 00,0.37912484976246547
2022-09-22 00,0.39567819323549075
2022-09-22 00,0.4060452279562308
2022-09-22 00,0.41472277557520787
2022-09-22 00,0.4182701359277946
2022-09-22 00,0.41731980567755445
2022-09-22 00,0.4126215481103659
2022-09-22 00,0.4007093327988976
2022-09-22 00,0.39840165141170875
2022-09-22 00,0.39885365014981283
2022-09-22 00,0.39917665936825436
2022-09-22 00,0.4007095336331719
2022-09-22 00,0.39297889216911386
2022-09-22 00,0.368490681480653
2022-09-22 00,0.35534809589654354
2022-09-22 00,0.3574020014476565
2022-09-22 00,0.35686293074430026
2022-09-22 00,0.3640900693762885
2022-09-22 00,0.3710685922845274
2022-09-22 00,0.37405123858832295
2022-09-22 00,0.3688661975383358
2022-09-22 00,0.3597774269193422
2022-09-22 00,0.3624557466545535
2022-09-22 00,0.36931149342704317
2022-09-22 00,0.38414300026209375
2022-09-22 00,0.3980085451192464
2022-09-22 00,0.4064424402841834
2022-09-22 00,0.4144253451167323
2022-09-22 00,0.4153937545926486
2022-09-22 00,0.41059639988611557
2022-09-22 00,0.4054736279659094
2022-09-22 00,0.40064458603334785
2022-09-22 00,0.40014058554464965
2022-09-22 00,0.4003174089249607
2022-09-22 00,0.40126228776751277
2022-09-22 00,0.40221922873891286
2022-09-22 00,0.40109050987065836
2022-09-22 00,0.3935373456179008
2022-09-22 00,0.3822860787433545
2022-09-22 00,0.37617065120830945
2022-09-22 00,0.3772533420421905
2022-09-22 00,0.3754853397493952
2022-09-22 00,0.38059568442241587
2022-09-22 00,0.37654381349191196
2022-09-22 00,0.36562470172609834
2022-09-22 00,0.3578625991010598
2022-09-22 00,0.36048202686905956
2022-09-22 00,0.3641210557822132
2022-09-22 00,0.3755708079059568
2022-09-22 00,0.3957415400418608
2022-09-22 00,0.409066112270143
2022-09-22 00,0.4094909377263924
2022-09-22 00,0.4090344118169189
2022-09-22 00,0.41219606976849804
2022-09-22 00,0.4067119118351243
2022-09-22 00,0.40029656591272644
2022-09-22 00,0.39926535211589026
2022-09-22 00,0.40178371759157605
2022-09-22 00,0.4016639827739846
2022-09-22 00,0.40322455547588737
2022-09-22 00,0.3965062305380804
2022-09-22 00,0.38422194199007453
2022-09-22 00,0.37270910864247775
2022-09-22 00,0.367259803169018
2022-09-22 00,0.3677599429181915
2022-09-22 00,0.3641214431083935
2022-09-22 00,0.37554732817525494
2022-09-22 00,0.38013982564910836
2022-09-22 00,0.37565033527433117
2022-09-22 00,0.37642116531906344
2022-09-22 00,0.3793473587751622
