Time (UTC),Carbon (kg/kWh)
2022-09-22 00,0.40280153297127863
2022-09-22 00,0.40429612946392474
2022-09-22 00,0.41598479851458736
2022-09-22 00,0.41712494356231933
2022-09-22 00,0.4167571957377999
2022-09-22 00,0.41831535038920165
2022-09-22 00,0.42019935185817847
2022-09-22 00,0.4140903780043643
2022-09-22 00,0.39558908955843863
2022-09-22 00,0.3886602629297053
2022-09-22 00,0.3827192353560347
2022-09-22 00,0.3675079546879513
2022-09-22 00,0.3540695230894336
2022-09-22 00,0.337595762686849
2022-09-22 00,0.3307406840870037
2022-09-22 00,0.33673181847822786
2022-09-22 00,0.3659548812419877
2022-09-22 00,0.3445768837162095
2022-09-22 00,0.3173814822677532
2022-09-22 00,0.31127205010449016
2022-09-22 00,0.3003608676855255
2022-09-22 00,0.2875670382823298
2022-09-22 00,0.2802297754797928
2022-09-22 00,0.27221495735605833
2022-09-22 00,0.2672433108085881
2022-09-22 00,0.2587402206248425
2022-09-22 00,0.2563570518834828
2022-09-22 00,0.2568291170420885
2022-09-22 00,0.2673888123655479
2022-09-22 00,0.2848350582895731
2022-09-22 00,0.30438651010248635
2022-09-22 00,0.28816308076536995
2022-09-22 00,0.2932133028613995
2022-09-22 00,0.2917734846130544
2022-09-22 00,0.29036552313927394
2022-09-22 00,0.2895642939829662
2022-09-22 00,0.28525187028800536
2022-09-22 00,0.2798234923166758
2022-09-22 00,0.2729351298870755
2022-09-22 00,0.28152312035768734
2022-09-22 00,0.3494855751571994
2022-09-22 00,0.3717394164061822
2022-09-22 00,0.35000984344665603
2022-09-22 00,0.322039882177147
2022-09-22 00,0.29275550817055285
2022-09-22 00,0.26597241799973087
2022-09-22 00,0.2655226806707651
2022-09-22 00,0.2653614000797689
2022-09-22 00,0.2452342139580464
2022-09-22 00,0.22017457579838134
2022-09-22 00,0.19979758875222964
2022-09-22 00,0.18922821532843603
2022-09-22 00,0.18592033121792503
2022-09-22 00,0.19560070153190054
2022-09-22 00,0.21010633454771313
2022-09-22 00,0.22398209912843908
2022-09-22 00,0.241219973129816
2022-09-22 00,0.24691935384454877
2022-09-22 00,0.2475210325792306
2022-09-22 00,0.25476212735434783
2022-09-22 00,0.2486187377315925
2022-09-22 00,0.25197459869756644
2022-09-22 00,0.2507386961575085
2022-09-22 00,0.26546790943192916
2022-09-22 00,0.30649218653446786
2022-09-22 00,0.32984223627097586
