Time (UTC),Carbon (kg/kWh)
2022-09-22 00,0.4101519601991264
2022-09-22 00,0.4108535844885141
2022-09-22 00,0.4098162492080453
2022-09-22 00,0.4081015641289311
2022-09-22 00,0.3691908053949243
2022-09-22 00,0.31605924775056427
2022-09-22 00,0.3023868373041335
2022-09-22 00,0.29696185960173016
2022-09-22 00,0.3040656753446202
2022-09-22 00,0.3046899539057101
2022-09-22 00,0.3099122039880392
2022-09-22 00,0.3277084377177407
2022-09-22 00,0.3722439659351942
2022-09-22 00,0.3774703306581422
2022-09-22 00,0.3893522810957829
2022-09-22 00,0.39128552289084706
2022-09-22 00,0.39203728609824257
2022-09-22 00,0.3903319015629021
2022-09-22 00,0.3839377925572965
2022-09-22 00,0.38524005429462016
2022-09-22 00,0.3852957283837563
2022-09-22 00,0.3820771326220513
2022-09-22 00,0.38386344939737416
2022-09-22 00,0.3870026440833621
2022-09-22 00,0.3873943439879807
2022-09-22 00,0.3901148803867979
2022-09-22 00,0.39557901187709005
2022-09-22 00,0.39471686854784416
2022-09-22 00,0.35817817973873095
2022-09-22 00,0.3038092407898162
2022-09-22 00,0.28915718130922446
2022-09-22 00,0.28592639737000475
2022-09-22 00,0.2914143905102334
2022-09-22 00,0.28517383143307456
2022-09-22 00,0.29344913500562475
2022-09-22 00,0.30580757235584594
2022-09-22 00,0.3650213873887519
2022-09-22 00,0.3812345971716837
2022-09-22 00,0.39752566649253995
2022-09-22 00,0.39500638813906075
2022-09-22 00,0.3931406952166316
2022-09-22 00,0.391578563009489
2022-09-22 00,0.395033885781242
2022-09-22 00,0.39611442814745507
2022-09-22 00,0.3971491069400628
2022-09-22 00,0.39077879218340816
2022-09-22 00,0.3903125768071172
2022-09-22 00,0.3915372365965449
2022-09-22 00,0.38648421710759867
2022-09-22 00,0.3849607201549551
2022-09-22 00,0.3939497602732819
2022-09-22 00,0.395660596167956
2022-09-22 00,0.36513206905807094
2022-09-22 00,0.33343474142179697
2022-09-22 00,0.3258977460149791
2022-09-22 00,0.31922315817798846
2022-09-22 00,0.3164207458933396
2022-09-22 00,0.3149273545191581
2022-09-22 00,0.3147570182974318
2022-09-22 00,0.32959389998778
2022-09-22 00,0.38169988144417377
2022-09-22 00,0.3906743876748537
2022-09-22 00,0.4047400963410836
2022-09-22 00,0.40985009475147427
2022-09-22 00,0.4117235666548129
2022-09-22 00,0.41088049501616786
2022-09-22 00,0.4089165143865892
2022-09-22 00,0.4081642870708237
2022-09-22 00,0.4056867785827209
2022-09-22 00,0.40778474327389325
2022-09-22 00,0.4080177279165103
2022-09-22 00,0.4066920969160686
2022-09-22 00,0.4072516707660404
2022-09-22 00,0.40824375729904605
2022-09-22 00,0.4094016253043941
2022-09-22 00,0.4089330529307232
2022-09-22 00,0.3804585214575251
2022-09-22 00,0.33894346169506295
2022-09-22 00,0.32292273535255017
2022-09-22 00,0.3164108916842714
2022-09-22 00,0.30623272232363313
2022-09-22 00,0.31356485086222535
2022-09-22 00,0.3080343586353297
2022-09-22 00,0.32293073882800405
2022-09-22 00,0.3740831988307851
2022-09-22 00,0.4024732421393006
2022-09-22 00,0.40281686466921607
2022-09-22 00,0.4026418576145656
2022-09-22 00,0.40423141473824264
2022-09-22 00,0.4037141411324751
2022-09-22 00,0.40001555772920033
