Time (UTC),Carbon (kg/kWh)
2022-09-22 00,0.29223640750039226
2022-09-22 00,0.3044252905477768
2022-09-22 00,0.3362228513692719
2022-09-22 00,0.35346672347295727
2022-09-22 00,0.3534248536568164
2022-09-22 00,0.3568612454579626
2022-09-22 00,0.354560285840415
2022-09-22 00,0.3558173784086437
2022-09-22 00,0.35788267101810967
2022-09-22 00,0.360093277855462
2022-09-22 00,0.36536020088331667
2022-09-22 00,0.3660167680664787
2022-09-22 00,0.36229916214884184
2022-09-22 00,0.365311719102815
2022-09-22 00,0.36320192997560624
2022-09-22 00,0.3202293842634039
2022-09-22 00,0.2730820567355503
2022-09-22 00,0.2636529399334355
2022-09-22 00,0.2658669236738679
2022-09-22 00,0.2665379110621799
2022-09-22 00,0.264827754933266
2022-09-22 00,0.2657136823772723
2022-09-22 00,0.27081001396036924
2022-09-22 00,0.27482359679266893
2022-09-22 00,0.274230981300943
2022-09-22 00,0.2853590505650917
2022-09-22 00,0.3222402877386086
2022-09-22 00,0.33950593301873827
2022-09-22 00,0.3419655420645966
2022-09-22 00,0.34209658572211066
2022-09-22 00,0.34662560246211027
2022-09-22 00,0.3516502496376229
2022-09-22 00,0.3591965557784079
2022-09-22 00,0.35940182933548837
2022-09-22 00,0.3522013719937782
2022-09-22 00,0.35092874723110995
2022-09-22 00,0.35495603652350355
2022-09-22 00,0.3614990458015267
2022-09-22 00,0.3609686803826497
2022-09-22 00,0.31511513092934157
2022-09-22 00,0.2549396476764033
2022-09-22 00,0.22778810923981652
2022-09-22 00,0.2283221128338148
2022-09-22 00,0.24300265099754031
2022-09-22 00,0.25342952015959685
2022-09-22 00,0.262568705261836
2022-09-22 00,0.2682352983534156
2022-09-22 00,0.27468091042243037
2022-09-22 00,0.2830163289307039
2022-09-22 00,0.3016707455700434
2022-09-22 00,0.3452914116076771
2022-09-22 00,0.35319301339996567
2022-09-22 00,0.3512585406344842
2022-09-22 00,0.3578216340295294
2022-09-22 00,0.36041143641068807
2022-09-22 00,0.36406937140867135
2022-09-22 00,0.3706213538597525
2022-09-22 00,0.3809844266707683
2022-09-22 00,0.3782034173464833
