Time (UTC),Carbon (kg/kWh)
2022-09-22 00,0.49363114646851475
2022-09-22 00,0.49453331877148543
2022-09-22 00,0.49621703158014174
2022-09-22 00,0.500545933189821
2022-09-22 00,0.5031946812764483
2022-09-22 00,0.5065738082630303
2022-09-22 00,0.5016597393139832
2022-09-22 00,0.5044992393632931
2022-09-22 00,0.5053036795465736
2022-09-22 00,0.5042582842161788
2022-09-22 00,0.5010995692766056
2022-09-22 00,0.5096300171429962
2022-09-22 00,0.5170658558221833
2022-09-22 00,0.5058982852856816
2022-09-22 00,0.49121596517782357
2022-09-22 00,0.4832608376663203
2022-09-22 00,0.4865336445817558
2022-09-22 00,0.4908962801994775
2022-09-22 00,0.4913127845742007
2022-09-22 00,0.4947772719086182
2022-09-22 00,0.5014902348040842
2022-09-22 00,0.5034962389075368
2022-09-22 00,0.5123735840208112
2022-09-22 00,0.5149930790789357
2022-09-22 00,0.5169521265945336
2022-09-22 00,0.514925199186898
2022-09-22 00,0.508686015081458
2022-09-22 00,0.5077010274346672
2022-09-22 00,0.5087232652736247
2022-09-22 00,0.5075050458732447
2022-09-22 00,0.508221063727634
2022-09-22 00,0.5077285305108281
2022-09-22 00,0.5049653362551964
2022-09-22 00,0.49971692597093165
2022-09-22 00,0.4930738343926498
2022-09-22 00,0.4922365042788334
2022-09-22 00,0.49737057548973757
2022-09-22 00,0.4926483855847285
2022-09-22 00,0.49000607738103313
2022-09-22 00,0.5006073681984332
2022-09-22 00,0.5005318220788565
2022-09-22 00,0.49739238859109874
2022-09-22 00,0.49220618001451005
2022-09-22 00,0.49261395599379076
2022-09-22 00,0.5005168217306901
2022-09-22 00,0.5140713311783612
2022-09-22 00,0.5138867307288888
2022-09-22 00,0.5139208372834961
2022-09-22 00,0.5166314224425193
2022-09-22 00,0.5192102282934609
2022-09-22 00,0.5183677060074294
2022-09-22 00,0.5235108570230637
2022-09-22 00,0.5212368117464499
2022-09-22 00,0.5160382867553343
2022-09-22 00,0.51811798773035
2022-09-22 00,0.5203391294755769
2022-09-22 00,0.5278479612865824
2022-09-22 00,0.5340719981276675
2022-09-22 00,0.5324031684397361
2022-09-22 00,0.5305933207758434
2022-09-22 00,0.528611330802847
2022-09-22 00,0.5223925295819334
2022-09-22 00,0.5087418164165949
2022-09-22 00,0.5015649978500737
2022-09-22 00,0.5036118130082339
2022-09-22 00,0.507565096694162
2022-09-22 00,0.5070144926018483
2022-09-22 00,0.5055825392001079
2022-09-22 00,0.5119153814294511
2022-09-22 00,0.5213547696020998
2022-09-22 00,0.5133044903246315
2022-09-22 00,0.5163056137333819
2022-09-22 00,0.5160226626162875
2022-09-22 00,0.514971420761024
2022-09-22 00,0.5169388828678595
2022-09-22 00,0.5162972770034937
2022-09-22 00,0.5186640988214123
2022-09-22 00,0.525116241193171
2022-09-22 00,0.5290328007454768
2022-09-22 00,0.5281626211703502
2022-09-22 00,0.5293281645366673
2022-09-22 00,0.5277638540996558
2022-09-22 00,0.5293732628913318
2022-09-22 00,0.5317378660042331
2022-09-22 00,0.5257420830729255
2022-09-22 00,0.5278031909071104
2022-09-22 00,0.5281661498323975
2022-09-22 00,0.5291980854510978
2022-09-22 00,0.5201467357132022
2022-09-22 00,0.5230759469151626
2022-09-22 00,0.5199694854602356
2022-09-22 00,0.5197846130684924
2022-09-22 00,0.5219535355150273
2022-09-22 00,0.518785126225836
2022-09-22 00,0.5216656328263881
2022-09-22 00,0.5208460949512413
2022-09-22 00,0.5146620071896083
2022-09-22 00,0.5132385086257202
2022-09-22 00,0.5257732695297662
2022-09-22 00,0.5297150416403372
2022-09-22 00,0.5269522671426063
2022-09-22 00,0.516900196536757
2022-09-22 00,0.5155450382621449
2022-09-22 00,0.5118194103475836
2022-09-22 00,0.5134633355542689
2022-09-22 00,0.5264849693990736
2022-09-22 00,0.5291622822058318
2022-09-22 00,0.5287685421586436
2022-09-22 00,0.5334021299966601
2022-09-22 00,0.5312688381169878
2022-09-22 00,0.5280568264830847
2022-09-22 00,0.5285231054493688
2022-09-22 00,0.5172437287261218
2022-09-22 00,0.5073327524681843
2022-09-22 00,0.5041406120353538
2022-09-22 00,0.5024782243877048
2022-09-22 00,0.5004444729089105
2022-09-22 00,0.5049779393181262
2022-09-22 00,0.5130696350983959
2022-09-22 00,0.5280569261013004
2022-09-22 00,0.5278029712612664
2022-09-22 00,0.5217288583206847
2022-09-22 00,0.516804485364
2022-09-22 00,0.5178593055754663
2022-09-22 00,0.5140838865243962
2022-09-22 00,0.5166646756831867
2022-09-22 00,0.5163699259384252
2022-09-22 00,0.5220322173303699
2022-09-22 00,0.5234340698824438
2022-09-22 00,0.519762854527063
2022-09-22 00,0.5059586807582931
2022-09-22 00,0.5054945890813051
2022-09-22 00,0.5215898665917136
2022-09-22 00,0.5191260958165862
2022-09-22 00,0.5129269695975349
2022-09-22 00,0.5193391837052259
2022-09-22 00,0.5111151949435856
2022-09-22 00,0.5051415180798415
2022-09-22 00,0.5048826625369779
2022-09-22 00,0.5058387082997181
2022-09-22 00,0.5104793148951792
2022-09-22 00,0.51427780119087
2022-09-22 00,0.5289296052796609
2022-09-22 00,0.5392319730531676
2022-09-22 00,0.5378245759403355
2022-09-22 00,0.5376363369695372
2022-09-22 00,0.5395730133367559
2022-09-22 00,0.5467550299895995
2022-09-22 00,0.5498609153227649
2022-09-22 00,0.5478187136517688
2022-09-22 00,0.5535890033587333
2022-09-22 00,0.5545332175913119
