Time (UTC),Carbon (kg/kWh)
2022-09-22 00,0.4494737760460783
2022-09-22 00,0.46173963001063595
2022-09-22 00,0.4617027638768546
2022-09-22 00,0.45425346698547
2022-09-22 00,0.44490865629530935
2022-09-22 00,0.435168733187626
2022-09-22 00,0.4288394666666667
2022-09-22 00,0.4197019722254639
2022-09-22 00,0.41589011755090277
2022-09-22 00,0.41739425944941566
2022-09-22 00,0.4234308040604688
2022-09-22 00,0.4332439430541548
2022-09-22 00,0.43692216896613506
2022-09-22 00,0.444096943250592
2022-09-22 00,0.440613085106383
2022-09-22 00,0.4348540963392694
2022-09-22 00,0.43176150379959516
2022-09-22 00,0.4268612375133704
2022-09-22 00,0.4233871564710562
2022-09-22 00,0.42762466108884045
2022-09-22 00,0.43426935196825966
2022-09-22 00,0.44145591049609895
2022-09-22 00,0.43694842538402273
2022-09-22 00,0.4262028909329829
2022-09-22 00,0.42750190535345556
2022-09-22 00,0.4460014109777553
2022-09-22 00,0.4535884714910324
2022-09-22 00,0.44731389901093177
2022-09-22 00,0.43661290070672754
2022-09-22 00,0.42034096555150713
2022-09-22 00,0.42684695127285455
2022-09-22 00,0.4349163625581608
2022-09-22 00,0.4367053548188638
2022-09-22 00,0.4487175642447326
2022-09-22 00,0.46113221270798876
2022-09-22 00,0.4643888480752278
2022-09-22 00,0.46219627712570777
2022-09-22 00,0.4625094425866673
2022-09-22 00,0.4384245359891353
2022-09-22 00,0.42223614508646146
2022-09-22 00,0.417659680541164
2022-09-22 00,0.4134400987383433
2022-09-22 00,0.42251481145884157
2022-09-22 00,0.4223070505149252
2022-09-22 00,0.42189105550379336
2022-09-22 00,0.4249549273369016
2022-09-22 00,0.4297251119876981
2022-09-22 00,0.4355122820305373
2022-09-22 00,0.44879762587864
2022-09-22 00,0.4801456813890636
2022-09-22 00,0.4920302349063614
2022-09-22 00,0.48446268950580823
2022-09-22 00,0.4736231722428748
2022-09-22 00,0.4624096264618607
2022-09-22 00,0.4532441104605596
2022-09-22 00,0.44641841505814644
2022-09-22 00,0.43809648401485146
2022-09-22 00,0.44434805500178914
2022-09-22 00,0.45690122721623866
2022-09-22 00,0.46082269613947696
2022-09-22 00,0.4608959706391667
2022-09-22 00,0.4587276062915352
2022-09-22 00,0.43057206251676294
2022-09-22 00,0.4098346596334865
2022-09-22 00,0.4060862494153663
2022-09-22 00,0.41436493051407636
2022-09-22 00,0.43001628840945183
2022-09-22 00,0.43528362076668753
2022-09-22 00,0.4377846703816633
2022-09-22 00,0.4284517397499955
2022-09-22 00,0.43013674994034395
