Time (UTC),Carbon (kg/kWh)
2022-09-22 00,0.47726308167396486
2022-09-22 01,0.49037476084139836
2022-09-22 02,0.5009865540035752
2022-09-22 03,0.5058183412914389
2022-09-22 04,0.4916463791657086
2022-09-22 05,0.4800583349657133
2022-09-22 06,0.46188567610117187
2022-09-22 07,0.44694959378358995
2022-09-22 08,0.4473455567610265
2022-09-22 09,0.4454725773459623
2022-09-22 10,0.44747313027963986
2022-09-22 11,0.4475151807072688
2022-09-22 12,0.4389165715618515
2022-09-22 13,0.4304945780625656
2022-09-22 14,0.4270805457028609
2022-09-22 15,0.44272764166453854
2022-09-22 16,0.4642106177498115
2022-09-22 17,0.46842653577493265
2022-09-22 18,0.4694179838154148
2022-09-22 19,0.46733310647024856
2022-09-22 20,0.46370858904385137
2022-09-22 21,0.460072428331683
2022-09-22 22,0.4605005502791825
2022-09-22 23,0.46206726828197375
2022-09-23 00,0.4757555932852815
2022-09-23 01,0.4886388240459473
2022-09-23 02,0.4973946382122829
2022-09-23 03,0.5048949034702065
2022-09-23 04,0.5086838064353465
2022-09-23 05,0.4865285412070377
2022-09-23 06,0.47927297894280413
2022-09-23 07,0.46062653820030863
2022-09-23 08,0.4486206216788127
2022-09-23 09,0.4475295723324574
2022-09-23 10,0.44698647558013366
2022-09-23 11,0.4475538589238008
2022-09-23 12,0.4441789151511719
2022-09-23 13,0.44485395493909863
2022-09-23 14,0.4472684462688032
2022-09-23 15,0.4937153404410436
2022-09-23 16,0.4970262299435935
2022-09-23 17,0.49292709067027407
2022-09-23 18,0.4878795216921584
2022-09-23 19,0.4822507780116289
2022-09-23 20,0.4753597029467133
2022-09-23 21,0.4716640893611077
2022-09-23 22,0.4704267830435222
2022-09-23 23,0.47511337846539237
2022-09-24 00,0.482978760890825
2022-09-24 01,0.4926508485102162
2022-09-24 02,0.5042584614885947
2022-09-24 03,0.5069778778841387
2022-09-24 04,0.5046633284097285
2022-09-24 05,0.48258468156049994
2022-09-24 06,0.4574686787418417
2022-09-24 07,0.45358279544469393
2022-09-24 08,0.45385882569250785
2022-09-24 09,0.4514985869150187
2022-09-24 10,0.4510075655170112
2022-09-24 11,0.4522505519998188
2022-09-24 12,0.44309716372106395
2022-09-24 13,0.43106162695088807
2022-09-24 14,0.4260341762216589
2022-09-24 15,0.4448861763377434
2022-09-24 16,0.46144279642039654
2022-09-24 17,0.4757065421367882
2022-09-24 18,0.4762861072642475
2022-09-24 19,0.471234667434656
2022-09-24 20,0.4687980078269142
2022-09-24 21,0.46721473654394396
2022-09-24 22,0.4699235274270324
2022-09-24 23,0.47558042211146734
2022-09-25 00,0.48837714454812764
2022-09-25 01,0.4986409526975257
2022-09-25 02,0.5052532496283902
2022-09-25 03,0.5087773982803517
2022-09-25 04,0.5091703322091857
2022-09-25 05,0.5011020694618002
2022-09-25 06,0.4845217999901307
2022-09-25 07,0.4636319003271473
2022-09-25 08,0.45253176022962355
2022-09-25 09,0.45123039122775016
2022-09-25 10,0.4504729156031437
2022-09-25 11,0.4503260807629977
2022-09-25 12,0.4462022294736057
2022-09-25 13,0.43288826417781473
2022-09-25 14,0.43560996829649135
2022-09-25 15,0.45240517038081873
2022-09-25 16,0.4600394281611164
2022-09-25 17,0.47197057977518614
2022-09-25 18,0.47189981697981026
2022-09-25 19,0.46842741655701087
2022-09-25 20,0.4586207453710818
2022-09-25 21,0.44737242088862206
2022-09-25 22,0.4512490412958047
2022-09-25 23,0.4574144750128809
2022-09-26 00,0.4665003787497065
2022-09-26 01,0.47746991372034314
2022-09-26 02,0.48266601941984627
2022-09-26 03,0.48894173066330215
2022-09-26 04,0.49398225199899337
2022-09-26 05,0.49081599830186656
2022-09-26 06,0.46986038116595147
2022-09-26 07,0.4463676389372529
2022-09-26 08,0.4391326462265211
2022-09-26 09,0.4352120120862229
2022-09-26 10,0.4349868270039947
2022-09-26 11,0.43488720991809016
2022-09-26 12,0.43105988144599217
2022-09-26 13,0.4248156109954237
2022-09-26 14,0.4309113128011314
2022-09-26 15,0.4469818851268773
2022-09-26 16,0.4634858699388592
2022-09-26 17,0.46522986421433743
2022-09-26 18,0.4681414223706855
2022-09-26 19,0.4657221628837572
2022-09-26 20,0.4647011050346609
2022-09-26 21,0.46268765792839517
2022-09-26 22,0.46569461250801164
2022-09-26 23,0.4742191020697496
2022-09-27 00,0.47976375463795234
2022-09-27 01,0.4893098618497243
2022-09-27 02,0.49426234220531545
2022-09-27 03,0.5004545857240251
2022-09-27 04,0.5042374039323971
2022-09-27 05,0.4943839992533125
2022-09-27 06,0.47348668191832183
2022-09-27 07,0.46037018565405086
2022-09-27 08,0.45104082410080576
2022-09-27 09,0.4540359350899397
2022-09-27 10,0.4605856994983386
2022-09-27 11,0.45945967335588167
2022-09-27 12,0.45505584325782644
2022-09-27 13,0.45077527224020986
2022-09-27 14,0.45491637963055737
2022-09-27 15,0.4751394527148456
2022-09-27 16,0.475259251924122
2022-09-27 17,0.4873942890640448
2022-09-27 18,0.4831179068018168
2022-09-27 19,0.484390304970026
2022-09-27 20,0.48096524193666
2022-09-27 21,0.47410860924332277
2022-09-27 22,0.47239064155874866
2022-09-27 23,0.48783098524701574
2022-09-28 00,0.49132064027964406
2022-09-28 01,0.4867727815484079
2022-09-28 02,0.4954137964758644
2022-09-28 03,0.4986675312692712
2022-09-28 04,0.5015001945980101
2022-09-28 05,0.4958270475388851
2022-09-28 06,0.47640878522929403
2022-09-28 07,0.4679135706510534
2022-09-28 08,0.46859445616287576
2022-09-28 09,0.4691218181937873
2022-09-28 10,0.4689633998752237
2022-09-28 11,0.4660269427029469
2022-09-28 12,0.4643425088922834
2022-09-28 13,0.46229215623633146
2022-09-28 14,0.46170573279680943
2022-09-28 15,0.4754760803708652
2022-09-28 16,0.47386486962020974
2022-09-28 17,0.47685650853133327
2022-09-28 18,0.47673411302171037
2022-09-28 19,0.4732331010814328
2022-09-28 20,0.4698472084189132
2022-09-28 21,0.46697073067558287
2022-09-28 22,0.46445368444222784
2022-09-28 23,0.4704983941449925
2022-09-29 00,0.4858842365962116
2022-09-29 01,0.5015441098655933
2022-09-29 02,0.5071276878865204
2022-09-29 03,0.5073540249442609
2022-09-29 04,0.49981275450518364
2022-09-29 05,0.49359638112902904
2022-09-29 06,0.46874433540542093
2022-09-29 07,0.4638889522443319
2022-09-29 08,0.449992758776353
2022-09-29 09,0.4489710402327038
2022-09-29 10,0.44881368549584955
2022-09-29 11,0.44886860148537067
2022-09-29 12,0.44487379977217556
2022-09-29 13,0.4428795717292523
2022-09-29 14,0.455748377923264
2022-09-29 15,0.46213509710139783
2022-09-29 16,0.4754762318470431
2022-09-29 17,0.4808748393808384
2022-09-29 18,0.4769779470050747
2022-09-29 19,0.46273040253285813
2022-09-29 20,0.4543560442006056
2022-09-29 21,0.44985253014352133
2022-09-29 22,0.4453475640238434
2022-09-29 23,0.4501554777662989
2022-09-30 00,0.4633316280904586
2022-09-30 01,0.48090797936618446
2022-09-30 02,0.49146362647635217
2022-09-30 03,0.5024138173628675
2022-09-30 04,0.5074730832261588
2022-09-30 05,0.49552573597604394
2022-09-30 06,0.4867524541964972
2022-09-30 07,0.47405829990804743
2022-09-30 08,0.4627976854830678
2022-09-30 09,0.45754727594325106
2022-09-30 10,0.45797649060074824
2022-09-30 11,0.4604191835741275
2022-09-30 12,0.4612973816282857
2022-09-30 13,0.46221796755573324
2022-09-30 14,0.4606477223286095
2022-09-30 15,0.4615946426294896
2022-09-30 16,0.47613758716951693
2022-09-30 17,0.4876883320419944
2022-09-30 18,0.4830355173235752
2022-09-30 19,0.48040445302993257
2022-09-30 20,0.4748824870746486
2022-09-30 21,0.4766424816715246
2022-09-30 22,0.47704408667354187
2022-09-30 23,0.48025801094912685
2022-10-01 00,0.4912690172187941
2022-10-01 01,0.5012172955262358
2022-10-01 02,0.5062445826491748
2022-10-01 03,0.5173084685834441
2022-10-01 04,0.5048905308552617
2022-10-01 05,0.4847584518534931
2022-10-01 06,0.4672801866669866
2022-10-01 07,0.4535894503101571
2022-10-01 08,0.4544889091484607
2022-10-01 09,0.45577213175360476
2022-10-01 10,0.4581760403743531
2022-10-01 11,0.4598271622822372
2022-10-01 12,0.45477914133469743
2022-10-01 13,0.44245495362405124
2022-10-01 14,0.44528696953610997
2022-10-01 15,0.4550062631730085
2022-10-01 16,0.456929507506191
2022-10-01 17,0.4589416987191492
2022-10-01 18,0.4654131119995302
2022-10-01 19,0.4664757197610338
2022-10-01 20,0.46389746049257724
2022-10-01 21,0.46023821739645254
2022-10-01 22,0.4602615029719706
2022-10-01 23,0.4626967052231212
2022-10-02 00,0.4651493096655056
2022-10-02 01,0.4790550273683158
2022-10-02 02,0.48438381833011135
2022-10-02 03,0.484632266222422
2022-10-02 04,0.472890245899651
2022-10-02 05,0.45913581350570887
2022-10-02 06,0.4536696224385609
2022-10-02 07,0.4532963862374036
2022-10-02 08,0.45634095679079417
2022-10-02 09,0.45643270305530603
2022-10-02 10,0.4510148369561023
2022-10-02 11,0.45042743906036437
2022-10-02 12,0.4470745820182844
2022-10-02 13,0.44099975463208
2022-10-02 14,0.43441001946634045
2022-10-02 15,0.42904002837555827
2022-10-02 16,0.4413989481480304
2022-10-02 17,0.4509347697510728
2022-10-02 18,0.4491148150489715
2022-10-02 19,0.4478132473014555
2022-10-02 20,0.4454704416528098
2022-10-02 21,0.44587067741979036
2022-10-02 22,0.4470369221848042
2022-10-02 23,0.448745014925103
2022-10-03 00,0.45925344957193187
2022-10-03 01,0.47160882950817196
2022-10-03 02,0.4762000615480891
2022-10-03 03,0.48272241441077196
2022-10-03 04,0.488309811310984
2022-10-03 05,0.4895008424493719
2022-10-03 06,0.47253045026910295
2022-10-03 07,0.46952525579751125
2022-10-03 08,0.4722601385671917
2022-10-03 09,0.4741316767625688
2022-10-03 10,0.47336354192256985
2022-10-03 11,0.4682459311384006
2022-10-03 12,0.45317397912584434
2022-10-03 13,0.4358309069407015
2022-10-03 14,0.4523975205636704
2022-10-03 15,0.4698980961400844
2022-10-03 16,0.47409837658783105
2022-10-03 17,0.4778650810004158
2022-10-03 18,0.47531379982204663
2022-10-03 19,0.4812668180976219
2022-10-03 20,0.47959762268962464
2022-10-03 21,0.47927238999697147
2022-10-03 22,0.48422183703833194
2022-10-03 23,0.49220136726398395
2022-10-04 00,0.5010811296673456
2022-10-04 01,0.5086073902639554
