Time (UTC),Carbon (kg/kWh)
2022-09-22 00,0.4545956441125009
2022-09-22 01,0.4636131363244176
2022-09-22 02,0.4725240094165698
2022-09-22 03,0.48075199181573
2022-09-22 04,0.4834168060914399
2022-09-22 05,0.47886345724907053
2022-09-22 06,0.4595493347899028
2022-09-22 07,0.4557655158650968
2022-09-22 08,0.45521566532423763
2022-09-22 09,0.45653545496037506
2022-09-22 10,0.45641450861195537
2022-09-22 11,0.4550737420586975
2022-09-22 12,0.4566048311356549
2022-09-22 13,0.44177973536077203
2022-09-22 14,0.4380022211591034
2022-09-22 15,0.4314528862881544
2022-09-22 16,0.4254225794151292
2022-09-22 17,0.4287768260438471
2022-09-22 18,0.4334664413706381
2022-09-22 19,0.4303515577584463
2022-09-22 20,0.4225388661456395
2022-09-22 21,0.4173587382736884
2022-09-22 22,0.42052788037802175
2022-09-22 23,0.4331386859374585
2022-09-23 00,0.4428511846757802
2022-09-23 01,0.45475217191185774
2022-09-23 02,0.46240219323351306
2022-09-23 03,0.46174197510909976
2022-09-23 04,0.46147208210123497
2022-09-23 05,0.4574682104789072
2022-09-23 06,0.44498860695940984
2022-09-23 07,0.4488168277294146
2022-09-23 08,0.45068137615428633
2022-09-23 09,0.4483395754264504
2022-09-23 10,0.4467728714524208
2022-09-23 11,0.4498840664142149
2022-09-23 12,0.4486137990977196
2022-09-23 13,0.4365842968007601
2022-09-23 14,0.4253902313624678
2022-09-23 15,0.4230488065788594
2022-09-23 16,0.42238623705987854
2022-09-23 17,0.421216566237971
2022-09-23 18,0.4198784253960951
2022-09-23 19,0.41531809618794324
2022-09-23 20,0.4143406670630845
2022-09-23 21,0.41559927807558655
2022-09-23 22,0.41987660710394425
2022-09-23 23,0.4312473025823094
2022-09-24 00,0.44479152894375057
2022-09-24 01,0.4552261267224261
2022-09-24 02,0.460523448750861
2022-09-24 03,0.46157162897892384
2022-09-24 04,0.45737161994542297
2022-09-24 05,0.4586911548189815
2022-09-24 06,0.4573889064475348
2022-09-24 07,0.4579073406023266
2022-09-24 08,0.45745614760880354
2022-09-24 09,0.4553267126746339
2022-09-24 10,0.4500226867193474
2022-09-24 11,0.44616935788281664
2022-09-24 12,0.44628777670837344
2022-09-24 13,0.43871551064771946
2022-09-24 14,0.43069005431728785
2022-09-24 15,0.4264525108010483
2022-09-24 16,0.417718345101803
2022-09-24 17,0.4124654744811383
2022-09-24 18,0.4120676938462981
2022-09-24 19,0.40725525590612127
2022-09-24 20,0.405002632465028
2022-09-24 21,0.40813473690700036
2022-09-24 22,0.4185422689177699
2022-09-24 23,0.4217354749034749
2022-09-25 00,0.42156829065832324
2022-09-25 01,0.4261403600313071
2022-09-25 02,0.4284948884915146
2022-09-25 03,0.4314034849675069
2022-09-25 04,0.42584043486553497
2022-09-25 05,0.42502260468563424
2022-09-25 06,0.42868338152159846
2022-09-25 07,0.42817908284283585
2022-09-25 08,0.429852799206027
2022-09-25 09,0.43014106056478707
2022-09-25 10,0.42854185081627116
2022-09-25 11,0.42691294128082313
2022-09-25 12,0.42626082044150876
2022-09-25 13,0.4154366185180451
2022-09-25 14,0.40428633024592797
2022-09-25 15,0.39909931760866335
2022-09-25 16,0.3971046853897566
2022-09-25 17,0.3984789636630276
2022-09-25 18,0.3964601511089447
2022-09-25 19,0.3979038731687739
2022-09-25 20,0.393358369451912
2022-09-25 21,0.38806890824938733
2022-09-25 22,0.3915372881825998
2022-09-25 23,0.40176124942896296
2022-09-26 00,0.41802917567607595
2022-09-26 01,0.42280086159820396
2022-09-26 02,0.42352704643370037
2022-09-26 03,0.42363101771448414
2022-09-26 04,0.42811400127250276
2022-09-26 05,0.4241322877187324
2022-09-26 06,0.42379508848261727
2022-09-26 07,0.4181275932262117
2022-09-26 08,0.4130074293547959
2022-09-26 09,0.4123641833303841
2022-09-26 10,0.4208795903500879
2022-09-26 11,0.4211475283317763
2022-09-26 12,0.4109245399721663
2022-09-26 13,0.3910018218322428
2022-09-26 14,0.3837762116972398
2022-09-26 15,0.38477176046593947
2022-09-26 16,0.389999247055989
2022-09-26 17,0.39711484793256635
2022-09-26 18,0.39678210523494245
2022-09-26 19,0.4036376028806584
2022-09-26 20,0.4001586107235399
2022-09-26 21,0.3984024509803921
2022-09-26 22,0.40240698531217756
2022-09-26 23,0.4128269332327424
2022-09-27 00,0.4281645536324899
2022-09-27 01,0.4328517811357809
2022-09-27 02,0.4364096600029184
2022-09-27 03,0.43473887459807076
2022-09-27 04,0.43549801432522517
2022-09-27 05,0.4301928506027775
2022-09-27 06,0.427785976292521
2022-09-27 07,0.42625264408793817
2022-09-27 08,0.4251180406309558
2022-09-27 09,0.41973953259935337
2022-09-27 10,0.4189422975974157
2022-09-27 11,0.4248551967709384
2022-09-27 12,0.4261436174171939
2022-09-27 13,0.422125948792446
2022-09-27 14,0.41254298611111107
2022-09-27 15,0.4028703905598666
2022-09-27 16,0.4026275119617225
2022-09-27 17,0.40141871384254213
2022-09-27 18,0.40399186242494467
2022-09-27 19,0.40684545569460245
2022-09-27 20,0.4012889769399257
2022-09-27 21,0.3989356815452117
2022-09-27 22,0.40689212226640153
2022-09-27 23,0.4157134754298505
2022-09-28 00,0.4264108220714705
2022-09-28 01,0.4319159493947592
2022-09-28 02,0.4334664385985608
2022-09-28 03,0.43021717350117217
2022-09-28 04,0.4301735560689533
2022-09-28 05,0.4261399791594304
2022-09-28 06,0.42420733163508995
2022-09-28 07,0.4254708940137794
2022-09-28 08,0.42283548661283465
2022-09-28 09,0.4206291273838736
