Time (UTC),Carbon (kg/kWh)
2022-09-22 00,0.2849182683264208
2022-09-22 01,0.28803683600993424
2022-09-22 02,0.2967339798235783
2022-09-22 03,0.30130665643642096
2022-09-22 04,0.2970382112283979
2022-09-22 05,0.29156845320767155
2022-09-22 06,0.29438022366200295
2022-09-22 07,0.3107246567695771
2022-09-22 08,0.31110198299683617
2022-09-22 09,0.315394694215594
2022-09-22 10,0.31618703614336463
2022-09-22 11,0.3248423050109237
2022-09-22 12,0.33917453545134946
2022-09-22 13,0.33926761366214814
2022-09-22 14,0.3172106152126567
2022-09-22 15,0.2839607038690001
2022-09-22 16,0.27940209730488563
2022-09-22 17,0.30046584177271973
2022-09-22 18,0.31933616318859975
2022-09-22 19,0.3297014878498204
2022-09-22 20,0.33215157319253164
2022-09-22 21,0.3318085092093857
2022-09-22 22,0.3350337915216894
2022-09-22 23,0.33055327382557603
2022-09-23 00,0.32605323613594783
2022-09-23 01,0.3449666922924048
2022-09-23 02,0.3422980191158456
2022-09-23 03,0.3367198482784014
2022-09-23 04,0.33027386036738354
2022-09-23 05,0.3169147648883374
2022-09-23 06,0.32803958960564183
2022-09-23 07,0.3385253731646508
2022-09-23 08,0.33083742621821016
2022-09-23 09,0.3588340303395409
2022-09-23 10,0.38607397029408724
2022-09-23 11,0.4142574535544539
2022-09-23 12,0.41719134056511875
2022-09-23 13,0.4173390288754021
2022-09-23 14,0.4154506750375413
2022-09-23 15,0.4129532214926936
2022-09-23 16,0.408593864077993
2022-09-23 17,0.40385622053749415
2022-09-23 18,0.40331913886482074
2022-09-23 19,0.40248690111524343
2022-09-23 20,0.4021484865820598
2022-09-23 21,0.40523712192887473
2022-09-23 22,0.4044031885053064
2022-09-23 23,0.403807364123326
2022-09-24 00,0.4097327763743083
2022-09-24 01,0.4234709408894532
2022-09-24 02,0.429591070830855
2022-09-24 03,0.4140929010500055
2022-09-24 04,0.4070140759550776
2022-09-24 05,0.4009148346975897
2022-09-24 06,0.38993429558744697
2022-09-24 07,0.3821284127467693
2022-09-24 08,0.3849658351891821
2022-09-24 09,0.3870311002045629
2022-09-24 10,0.3784687021309745
2022-09-24 11,0.36951372247130404
2022-09-24 12,0.40141949393910903
2022-09-24 13,0.41083499702430026
2022-09-24 14,0.3902657315457972
2022-09-24 15,0.3798701190546482
2022-09-24 16,0.37764567427185647
2022-09-24 17,0.3743801961774476
2022-09-24 18,0.37241260525671394
2022-09-24 19,0.3780608960695237
2022-09-24 20,0.37775392851690104
2022-09-24 21,0.3806974517591758
2022-09-24 22,0.3705199162585008
2022-09-24 23,0.3685102715698196
2022-09-25 00,0.37291351704631426
2022-09-25 01,0.3937638798897622
2022-09-25 02,0.40018783162126476
2022-09-25 03,0.3957843482287699
2022-09-25 04,0.3935170420186872
2022-09-25 05,0.3868457196979991
2022-09-25 06,0.372351826310272
2022-09-25 07,0.35911851504548475
2022-09-25 08,0.36436769745297404
2022-09-25 09,0.37669927690532473
2022-09-25 10,0.38309587247115473
2022-09-25 11,0.38829502918392433
2022-09-25 12,0.41487007147062543
2022-09-25 13,0.40296285250140035
2022-09-25 14,0.38251469542718486
2022-09-25 15,0.3699880047268179
2022-09-25 16,0.36235388223003817
2022-09-25 17,0.3545731423852304
2022-09-25 18,0.35867360631582773
2022-09-25 19,0.36234688507308815
2022-09-25 20,0.37196256531543753
2022-09-25 21,0.38020131693151205
2022-09-25 22,0.3866368766404728
2022-09-25 23,0.3830211247631765
2022-09-26 00,0.3825366886459385
2022-09-26 01,0.3785833450366094
2022-09-26 02,0.37985637407248807
2022-09-26 03,0.3444412009399354
2022-09-26 04,0.3072781008410804
2022-09-26 05,0.2851106998394906
2022-09-26 06,0.26128911287648865
2022-09-26 07,0.24029987573104977
2022-09-26 08,0.22918742184487997
2022-09-26 09,0.22201042219133912
2022-09-26 10,0.21592179622593172
2022-09-26 11,0.21689998875688657
2022-09-26 12,0.2219940010728847
2022-09-26 13,0.22137898269605083
2022-09-26 14,0.20502088774090388
2022-09-26 15,0.2120567968805086
2022-09-26 16,0.2535903240731142
2022-09-26 17,0.2860265522062064
2022-09-26 18,0.31086622688333027
2022-09-26 19,0.3197629646660172
2022-09-26 20,0.32148838989076567
2022-09-26 21,0.3172526702118963
2022-09-26 22,0.315931615721495
2022-09-26 23,0.315670876382328
2022-09-27 00,0.3226860631514458
2022-09-27 01,0.3445258780458355
2022-09-27 02,0.363577454988828
2022-09-27 03,0.3552808539532219
2022-09-27 04,0.33900690025878916
2022-09-27 05,0.31871084959872537
2022-09-27 06,0.293136133762542
2022-09-27 07,0.2593997701098106
2022-09-27 08,0.23256933373755032
2022-09-27 09,0.2302001301743438
2022-09-27 10,0.23441867602846803
2022-09-27 11,0.2457016136090803
2022-09-27 12,0.2610965299638924
2022-09-27 13,0.2593211456080039
2022-09-27 14,0.24647725543020998
2022-09-27 15,0.24738519763796513
2022-09-27 16,0.2703883773671364
2022-09-27 17,0.30162396936002117
2022-09-27 18,0.3325300091532363
2022-09-27 19,0.35380288688806183
2022-09-27 20,0.36970554406622136
2022-09-27 21,0.3720273526400124
2022-09-27 22,0.37293083456610854
2022-09-27 23,0.3709937117518686
2022-09-28 00,0.377646468293333
2022-09-28 01,0.3931845535095872
2022-09-28 02,0.40541022422432005
2022-09-28 03,0.3802213867448449
2022-09-28 04,0.353898532423152
2022-09-28 05,0.34128423935433067
2022-09-28 06,0.32863274937969167
2022-09-28 07,0.32044340008879485
2022-09-28 08,0.3136761031658339
2022-09-28 09,0.3082769407120713
2022-09-28 10,0.306252071906136
2022-09-28 11,0.31383143575087935
2022-09-28 12,0.32261754703252016
2022-09-28 13,0.30771473448540076
2022-09-28 14,0.28342262819538877
2022-09-28 15,0.2869953145699986
2022-09-28 16,0.3150011196968823
2022-09-28 17,0.34159503910072025
2022-09-28 18,0.3623477495337284
2022-09-28 19,0.37504146869866284
2022-09-28 20,0.3835991707718559
2022-09-28 21,0.383934059221319
2022-09-28 22,0.3837534238995408
2022-09-28 23,0.38020150196051045
2022-09-29 00,0.37747505869302034
2022-09-29 01,0.3829255457764497
2022-09-29 02,0.39181815311266127
2022-09-29 03,0.3867784511546947
2022-09-29 04,0.3683231104106654
2022-09-29 05,0.3540530583388683
2022-09-29 06,0.3465171081548237
2022-09-29 07,0.33703184583399437
2022-09-29 08,0.3290699543431138
2022-09-29 09,0.3342754220082814
2022-09-29 10,0.3344683313508854
2022-09-29 11,0.33443903271740283
2022-09-29 12,0.3276646621451934
2022-09-29 13,0.30756259918168233
2022-09-29 14,0.2816672003210764
2022-09-29 15,0.2757708036180513
2022-09-29 16,0.2833136247471459
2022-09-29 17,0.2969846845149849
2022-09-29 18,0.31116625262427383
2022-09-29 19,0.3216054730787175
2022-09-29 20,0.32663181726155294
2022-09-29 21,0.3431461635266196
2022-09-29 22,0.3658371777536829
2022-09-29 23,0.3686535911033513
2022-09-30 00,0.38012321531253934
2022-09-30 01,0.3949488799917489
2022-09-30 02,0.4101646795622504
2022-09-30 03,0.40578451444324637
2022-09-30 04,0.3879536568298764
2022-09-30 05,0.3908970977387913
2022-09-30 06,0.39753453067513483
2022-09-30 07,0.4063271264385826
2022-09-30 08,0.4021146806079921
2022-09-30 09,0.4064750373875357
2022-09-30 10,0.4185329178819102
2022-09-30 11,0.4199343695595157
2022-09-30 12,0.42741663709451244
2022-09-30 13,0.42195752633249
2022-09-30 14,0.3901980160036602
2022-09-30 15,0.36958944239011016
2022-09-30 16,0.3805046718767032
2022-09-30 17,0.3817604805002855
2022-09-30 18,0.37846108449344495
2022-09-30 19,0.375634188131242
2022-09-30 20,0.373613994485633
2022-09-30 21,0.37180133406049276
2022-09-30 22,0.3647176202187376
2022-09-30 23,0.36085701258207187
2022-10-01 00,0.36440730517090675
2022-10-01 01,0.3764858119859486
2022-10-01 02,0.39601266338886526
2022-10-01 03,0.3903862558111837
2022-10-01 04,0.3609738397541046
2022-10-01 05,0.3483178035516573
2022-10-01 06,0.3415009945283182
2022-10-01 07,0.3311960065654556
2022-10-01 08,0.3257111362346069
2022-10-01 09,0.35011323921480614
2022-10-01 10,0.37469721288747054
2022-10-01 11,0.37387452728531784
2022-10-01 12,0.37424442634927857
2022-10-01 13,0.34549960601754676
2022-10-01 14,0.3192338161426843
2022-10-01 15,0.3046826463525531
2022-10-01 16,0.30943156058035914
2022-10-01 17,0.3284640165664948
2022-10-01 18,0.3564086914586757
2022-10-01 19,0.3712305228170028
2022-10-01 20,0.3761818570439597
2022-10-01 21,0.3781036536847227
2022-10-01 22,0.382741677997379
2022-10-01 23,0.3846953766196329
2022-10-02 00,0.3881944255927386
2022-10-02 01,0.40518247340728913
2022-10-02 02,0.415900030432053
2022-10-02 03,0.3871810279498474
2022-10-02 04,0.3546845759984145
2022-10-02 05,0.32899545798541074
2022-10-02 06,0.30799639105905335
2022-10-02 07,0.29908706288866926
2022-10-02 08,0.28876598465379805
2022-10-02 09,0.28032637503758934
2022-10-02 10,0.2741235049875853
2022-10-02 11,0.2681537494656516
2022-10-02 12,0.27852980934405297
2022-10-02 13,0.28640303944890866
2022-10-02 14,0.28283367059416464
2022-10-02 15,0.2714406058729537
2022-10-02 16,0.2844974631155504
2022-10-02 17,0.31327332115951817
2022-10-02 18,0.3309635089737553
2022-10-02 19,0.34378863938048737
2022-10-02 20,0.35956890584700935
2022-10-02 21,0.36383619071415063
2022-10-02 22,0.3663536464783349
2022-10-02 23,0.36170927204292097
2022-10-03 00,0.3601677341058807
2022-10-03 01,0.3644831681163556
2022-10-03 02,0.3725985753967029
2022-10-03 03,0.33894006302357327
2022-10-03 04,0.31349249135626206
2022-10-03 05,0.2999970474831657
2022-10-03 06,0.28729177186723187
2022-10-03 07,0.2743038717304464
2022-10-03 08,0.2627849703173598
2022-10-03 09,0.2562343229848653
2022-10-03 10,0.25225635069813845
2022-10-03 11,0.24942693407996155
2022-10-03 12,0.2453277466677973
2022-10-03 13,0.23903841205300638
2022-10-03 14,0.22872307224310004
2022-10-03 15,0.238129938588926
2022-10-03 16,0.255184788192632
2022-10-03 17,0.27173901912912585
2022-10-03 18,0.28297507251120546
2022-10-03 19,0.28984496318020864
2022-10-03 20,0.30203008249167557
2022-10-03 21,0.30715910595084445
2022-10-03 22,0.3149791122930548
2022-10-03 23,0.31810167819826224
2022-10-04 00,0.32389215797315196
2022-10-04 01,0.33883995908395037
2022-10-04 02,0.34914800335545376
2022-10-04 03,0.33139806938626576
2022-10-04 04,0.31078985331601405
2022-10-04 05,0.2911345607464552
2022-10-04 06,0.2782191357682986
2022-10-04 07,0.2689884907609449
2022-10-04 08,0.2538629402691478
2022-10-04 09,0.2479267492585897
2022-10-04 10,0.25092646802619323
2022-10-04 11,0.2602547545036146
2022-10-04 12,0.27492418649555567
2022-10-04 13,0.26799257360778933
2022-10-04 14,0.2616266125028729
2022-10-04 15,0.25723918783532984
2022-10-04 16,0.2666152129482535
2022-10-04 17,0.2730904628699787
2022-10-04 18,0.27944332168524244
2022-10-04 19,0.28564235458976406
2022-10-04 20,0.29411348520273595
2022-10-04 21,0.2975656807374062
2022-10-04 22,0.29949042148525973
2022-10-04 23,0.3029020979658127
2022-10-05 00,0.30719038440714697
2022-10-05 01,0.31210255981025603
2022-10-05 02,0.3120153076507439
2022-10-05 03,0.3074870884550574
2022-10-05 04,0.29155837618199737
2022-10-05 05,0.27787341854301695
2022-10-05 06,0.264179984086732
2022-10-05 07,0.25732181813821764
2022-10-05 08,0.2521921407520532
2022-10-05 09,0.25132252428797264
2022-10-05 10,0.24993123576274665
2022-10-05 11,0.2541307887641151
2022-10-05 12,0.26410184506756823
2022-10-05 13,0.2625935307746839
2022-10-05 14,0.25750935541452497
2022-10-05 15,0.2520842778571068
2022-10-05 16,0.257738887599145
2022-10-05 17,0.2667953317558864
2022-10-05 18,0.2750735934500468
2022-10-05 19,0.2842353642788123
2022-10-05 20,0.29146736847803617
2022-10-05 21,0.29310916938073794
