Time (UTC),Carbon (kg/kWh)
2022-09-22 00,0.30163696844551324
2022-09-22 01,0.35994088397678514
2022-09-22 02,0.3934021630738907
2022-09-22 03,0.38543929524511683
2022-09-22 04,0.3825969663289122
2022-09-22 05,0.38113108363914533
2022-09-22 06,0.38649154527405943
2022-09-22 07,0.3870045610703862
2022-09-22 08,0.3832422594233422
2022-09-22 09,0.3916379529656362
2022-09-22 10,0.39574657474954217
2022-09-22 11,0.39532291914853707
2022-09-22 12,0.3944772050249364
2022-09-22 13,0.3886918335333001
2022-09-22 14,0.387121298239717
2022-09-22 15,0.3617631128378001
2022-09-22 16,0.28473859626666725
2022-09-22 17,0.2408629619645305
2022-09-22 18,0.22980885574323956
2022-09-22 19,0.23178751473122217
2022-09-22 20,0.2360455473518414
2022-09-22 21,0.24130916842722386
2022-09-22 22,0.2508225930594613
2022-09-22 23,0.26342557641922526
2022-09-23 00,0.31052833942234787
2022-09-23 01,0.3649561112568277
2022-09-23 02,0.3940462694537852
2022-09-23 03,0.38876176033319826
2022-09-23 04,0.3898218860357379
2022-09-23 05,0.39257748956111677
2022-09-23 06,0.3977705749108188
2022-09-23 07,0.4038900369124599
2022-09-23 08,0.4041177381009966
2022-09-23 09,0.40405471663192916
2022-09-23 10,0.40264533090986054
2022-09-23 11,0.40270986363213296
2022-09-23 12,0.40495884290102635
2022-09-23 13,0.40148247958288136
2022-09-23 14,0.3959880133172197
2022-09-23 15,0.3700659788115367
2022-09-23 16,0.3027175368674842
2022-09-23 17,0.2591557969582202
2022-09-23 18,0.25638560372857655
2022-09-23 19,0.2581417355229424
2022-09-23 20,0.25326705367552677
2022-09-23 21,0.26113039277267486
2022-09-23 22,0.2601487681346243
2022-09-23 23,0.2819841199601487
2022-09-24 00,0.31549047861768237
2022-09-24 01,0.3748105117051245
2022-09-24 02,0.39289566457946473
2022-09-24 03,0.392980324789409
2022-09-24 04,0.39245482821298455
2022-09-24 05,0.39410939196155237
2022-09-24 06,0.39923469478065493
2022-09-24 07,0.40080673107336545
2022-09-24 08,0.4011419876412472
2022-09-24 09,0.3986184688273334
2022-09-24 10,0.394854169958458
2022-09-24 11,0.39672261086691807
2022-09-24 12,0.3986891065723152
2022-09-24 13,0.39225121376575695
2022-09-24 14,0.3902748685829758
2022-09-24 15,0.3684127908522525
2022-09-24 16,0.3110231793923756
2022-09-24 17,0.28930533684802673
2022-09-24 18,0.2861801876946146
2022-09-24 19,0.2879919252808772
2022-09-24 20,0.28528278227654325
2022-09-24 21,0.2787094170043725
2022-09-24 22,0.2761196434774976
2022-09-24 23,0.2999232646608898
2022-09-25 00,0.320825258371925
2022-09-25 01,0.3707254931158395
2022-09-25 02,0.3857320792961308
2022-09-25 03,0.38158442883112564
2022-09-25 04,0.3777528482336192
2022-09-25 05,0.3799778235442218
2022-09-25 06,0.38029178335263203
2022-09-25 07,0.3783177825835989
2022-09-25 08,0.3765578346854471
2022-09-25 09,0.3730817366254711
2022-09-25 10,0.37283956319994893
2022-09-25 11,0.373793776435666
2022-09-25 12,0.37201224968980307
2022-09-25 13,0.3633160955249984
2022-09-25 14,0.3481795407500939
2022-09-25 15,0.339842168610634
2022-09-25 16,0.32625728437947427
2022-09-25 17,0.31577393789810543
2022-09-25 18,0.2991415265595909
2022-09-25 19,0.28600152247757626
2022-09-25 20,0.27009705797816574
2022-09-25 21,0.2651350734085864
2022-09-25 22,0.2527988696740339
2022-09-25 23,0.2572661491974702
2022-09-26 00,0.29142459689303885
2022-09-26 01,0.3202052075834196
2022-09-26 02,0.3280692649235223
2022-09-26 03,0.3444259378993078
2022-09-26 04,0.3456507231769443
2022-09-26 05,0.35274878944049576
2022-09-26 06,0.3542607742087884
2022-09-26 07,0.35766814109527223
2022-09-26 08,0.34532488514974047
2022-09-26 09,0.3352293352502593
2022-09-26 10,0.3295869312887183
2022-09-26 11,0.3288550884868406
2022-09-26 12,0.3349046076013358
2022-09-26 13,0.3325206189504242
2022-09-26 14,0.3292594998950358
2022-09-26 15,0.2966754011522791
2022-09-26 16,0.25295145075182035
2022-09-26 17,0.24004517164834724
2022-09-26 18,0.25160209758634267
2022-09-26 19,0.23872263289604037
2022-09-26 20,0.23655238042295476
2022-09-26 21,0.24348105378782492
2022-09-26 22,0.2446681377901893
2022-09-26 23,0.2500376724120765
2022-09-27 00,0.26739827016268125
2022-09-27 01,0.32934259663832505
2022-09-27 02,0.3287538201411823
2022-09-27 03,0.3402041671557188
2022-09-27 04,0.33975916621914976
2022-09-27 05,0.34471045405093426
2022-09-27 06,0.3560013637993805
2022-09-27 07,0.35276727887877035
2022-09-27 08,0.3538047476520307
2022-09-27 09,0.35629775395098234
2022-09-27 10,0.35361027273115625
2022-09-27 11,0.35161771765440425
2022-09-27 12,0.3501576535591697
2022-09-27 13,0.3550347522489776
2022-09-27 14,0.3645169719794274
2022-09-27 15,0.30126776388518317
2022-09-27 16,0.2452213943078239
2022-09-27 17,0.24264093976048662
2022-09-27 18,0.24642643451576368
2022-09-27 19,0.24218999905137742
2022-09-27 20,0.24536600237396117
2022-09-27 21,0.24633469509534547
2022-09-27 22,0.2340349382643796
2022-09-27 23,0.23395645253771652
2022-09-28 00,0.2683860561762183
2022-09-28 01,0.31836618531499744
2022-09-28 02,0.36439522432857163
2022-09-28 03,0.3628670068643033
2022-09-28 04,0.36878206627681026
2022-09-28 05,0.37370786784721954
2022-09-28 06,0.37140018911617295
2022-09-28 07,0.3670095941092897
2022-09-28 08,0.36944455627237566
2022-09-28 09,0.3697911781543166
2022-09-28 10,0.3741287471113129
2022-09-28 11,0.37013248435373874
2022-09-28 12,0.38272818242515966
2022-09-28 13,0.3819762531704704
2022-09-28 14,0.3806090255252941
2022-09-28 15,0.34610636971647696
2022-09-28 16,0.2677545335189626
2022-09-28 17,0.23628198009236573
2022-09-28 18,0.23997665231271603
2022-09-28 19,0.24659916572197318
2022-09-28 20,0.24726322456134978
2022-09-28 21,0.2511442496596136
2022-09-28 22,0.2552547009045926
2022-09-28 23,0.2689119885810408
2022-09-29 00,0.295827556289172
2022-09-29 01,0.34852407882590725
2022-09-29 02,0.3869427907515035
2022-09-29 03,0.3872366884756048
2022-09-29 04,0.3896963163520033
2022-09-29 05,0.3923407794441206
2022-09-29 06,0.3963599054481193
2022-09-29 07,0.39732502238042006
2022-09-29 08,0.39586068084992365
2022-09-29 09,0.39408096133848963
2022-09-29 10,0.3932681819087788
2022-09-29 11,0.3945944189874721
