Time (UTC),Carbon (kg/kWh)
2022-09-22 00,0.46596908858279096
2022-09-22 01,0.45451475263908925
2022-09-22 02,0.45703367219200497
2022-09-22 03,0.4646321583243013
2022-09-22 04,0.4696640482549464
2022-09-22 05,0.47021697498669307
2022-09-22 06,0.4677945169153193
2022-09-22 07,0.46416944690588785
2022-09-22 08,0.46286735937540296
2022-09-22 09,0.46198137925578237
2022-09-22 10,0.4580343150506675
2022-09-22 11,0.4455957203976311
2022-09-22 12,0.45159404653554125
2022-09-22 13,0.4550136126427912
2022-09-22 14,0.4377389202781558
2022-09-22 15,0.42656869573524947
2022-09-22 16,0.4321822828663267
2022-09-22 17,0.4274416277776378
2022-09-22 18,0.42235830657667645
2022-09-22 19,0.4202200612821602
2022-09-22 20,0.417489908790227
2022-09-22 21,0.420500792142389
2022-09-22 22,0.42983768378615905
2022-09-22 23,0.45115892497864696
2022-09-23 00,0.46551308102318373
2022-09-23 01,0.4616786545921007
2022-09-23 02,0.4560719497225699
2022-09-23 03,0.45589634059283035
2022-09-23 04,0.4563582019812555
2022-09-23 05,0.4567191432588242
2022-09-23 06,0.45692150638205425
2022-09-23 07,0.4557328385257364
2022-09-23 08,0.45624071137582206
2022-09-23 09,0.4555608554497325
2022-09-23 10,0.4551673159442055
2022-09-23 11,0.44549287365359
2022-09-23 12,0.43830591018311676
2022-09-23 13,0.44094244344555494
2022-09-23 14,0.4106884347411483
2022-09-23 15,0.41208789125046574
2022-09-23 16,0.4114409535532481
2022-09-23 17,0.4100215194129663
2022-09-23 18,0.4038258408859089
2022-09-23 19,0.40465596689269523
2022-09-23 20,0.40115124376674316
2022-09-23 21,0.40623104705703766
2022-09-23 22,0.41456405159820986
2022-09-23 23,0.44227232307032255
2022-09-24 00,0.44920291900887455
2022-09-24 01,0.45329843452688723
2022-09-24 02,0.44840871871654686
2022-09-24 03,0.4498465800143962
2022-09-24 04,0.4587347221858685
2022-09-24 05,0.4559552483457198
2022-09-24 06,0.4580496001221507
2022-09-24 07,0.45846892417350044
2022-09-24 08,0.4593315550965787
2022-09-24 09,0.4552414292359366
2022-09-24 10,0.4552179094352636
2022-09-24 11,0.4470801539821892
2022-09-24 12,0.4332247781148533
2022-09-24 13,0.4255610916229495
2022-09-24 14,0.4068913032887165
2022-09-24 15,0.4014529806262923
2022-09-24 16,0.4028938219931606
2022-09-24 17,0.39605085583593613
2022-09-24 18,0.39412018572439506
2022-09-24 19,0.3956975989110153
2022-09-24 20,0.39812840496195684
2022-09-24 21,0.4007616984420513
2022-09-24 22,0.41692769325931955
2022-09-24 23,0.4355019404536589
2022-09-25 00,0.44011024756650036
2022-09-25 01,0.44773372979634113
2022-09-25 02,0.4429245951262237
2022-09-25 03,0.44269179884582827
2022-09-25 04,0.4446500638623544
2022-09-25 05,0.4419156716440865
2022-09-25 06,0.4417741067171537
2022-09-25 07,0.4386711389631246
2022-09-25 08,0.4421331171659445
2022-09-25 09,0.44179932577815567
2022-09-25 10,0.43951001728632405
2022-09-25 11,0.4380441025352311
2022-09-25 12,0.42885583568039665
2022-09-25 13,0.43157281662160013
2022-09-25 14,0.401822092600707
2022-09-25 15,0.38752827746224466
2022-09-25 16,0.3819335800587561
2022-09-25 17,0.3769224466207366
2022-09-25 18,0.37689156763378256
2022-09-25 19,0.38156161525737464
2022-09-25 20,0.39023066403066603
2022-09-25 21,0.3934434999240797
2022-09-25 22,0.39755816791467713
2022-09-25 23,0.4181560421041751
2022-09-26 00,0.4269187788061263
2022-09-26 01,0.4223658289663598
2022-09-26 02,0.41628623017505895
2022-09-26 03,0.42178273730181637
2022-09-26 04,0.42776488743025787
2022-09-26 05,0.42599667550477105
2022-09-26 06,0.4230609779812305
2022-09-26 07,0.42273752735738335
2022-09-26 08,0.4283927192550997
2022-09-26 09,0.42917663756352287
2022-09-26 10,0.4328017724872002
2022-09-26 11,0.43400330531632403
2022-09-26 12,0.4254463381078669
2022-09-26 13,0.4260261647662847
2022-09-26 14,0.4231152858081062
2022-09-26 15,0.4084825717498911
2022-09-26 16,0.3908264708975739
2022-09-26 17,0.381847194402135
2022-09-26 18,0.37913196851925546
2022-09-26 19,0.38263351590660716
2022-09-26 20,0.38318170550751157
