Time (UTC),Carbon (kg/kWh)
2022-09-22 00,0.5129036769152197
2022-09-22 01,0.513122603149499
2022-09-22 02,0.521445533901351
2022-09-22 03,0.5284367620250326
2022-09-22 04,0.5298434619453879
2022-09-22 05,0.5377511581372993
2022-09-22 06,0.5437714110501007
2022-09-22 07,0.5475210831398191
2022-09-22 08,0.5435065977788497
2022-09-22 09,0.5414339394899308
2022-09-22 10,0.5428986403809393
2022-09-22 11,0.5430288923788785
2022-09-22 12,0.5401586141072956
2022-09-22 13,0.5336613550500752
2022-09-22 14,0.5238524611063123
2022-09-22 15,0.5164105514868083
2022-09-22 16,0.5111928438288793
2022-09-22 17,0.5081052172121281
2022-09-22 18,0.51660751993092
2022-09-22 19,0.5165405049359787
2022-09-22 20,0.5144662864857888
2022-09-22 21,0.5114218779546496
2022-09-22 22,0.5096449845222715
2022-09-22 23,0.5110392337717063
2022-09-23 00,0.5158117971423042
2022-09-23 01,0.519665708718764
2022-09-23 02,0.5207231515594043
2022-09-23 03,0.5252314973255505
2022-09-23 04,0.5203714314297108
2022-09-23 05,0.5190736841125398
2022-09-23 06,0.5203074396096029
2022-09-23 07,0.5230800629324697
2022-09-23 08,0.5267950621034201
2022-09-23 09,0.5281160466070457
2022-09-23 10,0.5249549099282508
2022-09-23 11,0.522627181936703
2022-09-23 12,0.5205109173914019
2022-09-23 13,0.5169001880041871
2022-09-23 14,0.5102265149640411
2022-09-23 15,0.5051755271613554
2022-09-23 16,0.5094723774650666
2022-09-23 17,0.5116557916664706
2022-09-23 18,0.5078953919771396
2022-09-23 19,0.5053561211289337
2022-09-23 20,0.5013396324936256
2022-09-23 21,0.49565181381260365
2022-09-23 22,0.49647550571099547
2022-09-23 23,0.49783804042218344
2022-09-24 00,0.5041188964432806
2022-09-24 01,0.5111963351656809
2022-09-24 02,0.5167810140115154
2022-09-24 03,0.524158420784898
2022-09-24 04,0.52960962584515
2022-09-24 05,0.5339821569695938
2022-09-24 06,0.5412543795054007
2022-09-24 07,0.5339126486717255
2022-09-24 08,0.5309303980994053
2022-09-24 09,0.5317955270332043
2022-09-24 10,0.5289041336914594
2022-09-24 11,0.5317166462192416
2022-09-24 12,0.5215003044478426
2022-09-24 13,0.5156744695648721
2022-09-24 14,0.5110898266408673
2022-09-24 15,0.5152612694855552
2022-09-24 16,0.5212685673837896
2022-09-24 17,0.5303937832587857
2022-09-24 18,0.5289566404212992
2022-09-24 19,0.5243801918177728
2022-09-24 20,0.5225516821988108
2022-09-24 21,0.522323871149864
2022-09-24 22,0.5181185995496155
2022-09-24 23,0.49792572203719565
2022-09-25 00,0.49586804659179656
2022-09-25 01,0.5035961333982368
2022-09-25 02,0.5083882044205712
2022-09-25 03,0.5155902499419246
2022-09-25 04,0.5206565778064182
2022-09-25 05,0.5151437192520664
2022-09-25 06,0.5149614767851917
2022-09-25 07,0.5195294381886891
2022-09-25 08,0.5229574098598097
2022-09-25 09,0.5228499628408988
2022-09-25 10,0.5224137343595731
2022-09-25 11,0.5238540389105116
2022-09-25 12,0.5295643878351942
2022-09-25 13,0.5258683174336228
2022-09-25 14,0.5183763315746848
2022-09-25 15,0.5075288410445126
2022-09-25 16,0.5068555037443458
2022-09-25 17,0.512646438818622
2022-09-25 18,0.5145417880576685
2022-09-25 19,0.5129048172297079
2022-09-25 20,0.5097510461963514
2022-09-25 21,0.5119492474506796
2022-09-25 22,0.5131088427585971
2022-09-25 23,0.5109603832241724
2022-09-26 00,0.5198330108933394
2022-09-26 01,0.5240884443905949
2022-09-26 02,0.5349322557580373
2022-09-26 03,0.5443649680534824
2022-09-26 04,0.5440643657320279
2022-09-26 05,0.5541462750633843
2022-09-26 06,0.553355591629485
2022-09-26 07,0.5328275609424521
2022-09-26 08,0.5359236677109179
2022-09-26 09,0.5373578561130927
2022-09-26 10,0.5356991947316803
2022-09-26 11,0.5323499223807747
2022-09-26 12,0.5307086772856466
2022-09-26 13,0.52467841092591
2022-09-26 14,0.5188124055814266
2022-09-26 15,0.5153303799123796
2022-09-26 16,0.5159922127120176
2022-09-26 17,0.5159980927895955
2022-09-26 18,0.5252406236274428
2022-09-26 19,0.5368718785691936
2022-09-26 20,0.5371549593487235
2022-09-26 21,0.5302745633645706
2022-09-26 22,0.5326167334002839
2022-09-26 23,0.5369041089988366
2022-09-27 00,0.5418101178683237
2022-09-27 01,0.5497485371699703
2022-09-27 02,0.5566611553637261
2022-09-27 03,0.5653667774010263
2022-09-27 04,0.5717387412094913
2022-09-27 05,0.5662434056798608
2022-09-27 06,0.5567423566462996
2022-09-27 07,0.555789822966604
2022-09-27 08,0.5465277685815572
2022-09-27 09,0.5459894094625657
2022-09-27 10,0.5461172475115615
2022-09-27 11,0.5433343657672521
2022-09-27 12,0.5444833603845335
2022-09-27 13,0.5481955116118024
2022-09-27 14,0.5466512803887809
2022-09-27 15,0.5438709998989796
2022-09-27 16,0.5380948757186773
2022-09-27 17,0.5321205757571869
2022-09-27 18,0.525145224236051
2022-09-27 19,0.5216041620549757
2022-09-27 20,0.5150754775381763
2022-09-27 21,0.5134232658316045
2022-09-27 22,0.5150725319899716
2022-09-27 23,0.5175591313998423
2022-09-28 00,0.5133341426578147
2022-09-28 01,0.5198596668110628
2022-09-28 02,0.5253077958970598
2022-09-28 03,0.5238217505277133
2022-09-28 04,0.5258620639919576
2022-09-28 05,0.5363712243283625
2022-09-28 06,0.5335534262036424
2022-09-28 07,0.537510847968288
2022-09-28 08,0.5400190548247593
2022-09-28 09,0.5443748315087323
2022-09-28 10,0.5410007537865024
2022-09-28 11,0.5392234885049078
2022-09-28 12,0.539460663157864
2022-09-28 13,0.5308555397869357
2022-09-28 14,0.5217362234716239
2022-09-28 15,0.5183650878870134
2022-09-28 16,0.5153183157729909
