Time (UTC),Carbon (kg/kWh)
2022-09-22 00,0.42786545896114203
2022-09-22 01,0.43326049979000414
2022-09-22 02,0.43276735674468364
2022-09-22 03,0.4240939424148244
2022-09-22 04,0.39580842858964016
2022-09-22 05,0.40238319643225295
2022-09-22 06,0.38939786418091105
2022-09-22 07,0.3855624557370579
2022-09-22 08,0.3861451782337699
2022-09-22 09,0.3896366253598699
2022-09-22 10,0.3987911714954892
2022-09-22 11,0.4047782206059581
2022-09-22 12,0.3995915168943206
2022-09-22 13,0.40337081745859404
2022-09-22 14,0.4099624998799612
2022-09-22 15,0.40998530066402045
2022-09-22 16,0.40813665426175855
2022-09-22 17,0.4050184549904235
2022-09-22 18,0.4066689709283119
2022-09-22 19,0.4063576535612719
2022-09-22 20,0.4086188717737854
2022-09-22 21,0.41539316526785924
2022-09-22 22,0.41906266387625996
2022-09-22 23,0.42192522085250744
2022-09-23 00,0.42541461076810166
2022-09-23 01,0.42976386530971683
2022-09-23 02,0.4248596843231675
2022-09-23 03,0.4156597115432937
2022-09-23 04,0.40900840159850643
2022-09-23 05,0.38295073636403737
2022-09-23 06,0.37149225461524404
2022-09-23 07,0.36586154534325266
2022-09-23 08,0.36403608868322823
2022-09-23 09,0.3662087054104388
2022-09-23 10,0.36885426673118
2022-09-23 11,0.3710657970639134
2022-09-23 12,0.3705276305402053
2022-09-23 13,0.37590966096062944
2022-09-23 14,0.3886543152884211
2022-09-23 15,0.39579557392661835
2022-09-23 16,0.392594635068606
2022-09-23 17,0.390443608346594
2022-09-23 18,0.3925254855746149
2022-09-23 19,0.3908040979253397
2022-09-23 20,0.39160959055761824
2022-09-23 21,0.39429730717576456
2022-09-23 22,0.39763956499223196
2022-09-23 23,0.402211992509162
2022-09-24 00,0.4118782859692414
2022-09-24 01,0.4106617199354857
2022-09-24 02,0.4096465974370305
2022-09-24 03,0.40593968615487497
2022-09-24 04,0.4018117955383207
2022-09-24 05,0.3834366357329903
2022-09-24 06,0.3767242821561164
2022-09-24 07,0.37112129069781535
2022-09-24 08,0.3694151489153082
2022-09-24 09,0.36894059515468863
2022-09-24 10,0.3707065667232307
2022-09-24 11,0.36883381909856733
2022-09-24 12,0.3654201664730015
2022-09-24 13,0.36884372470533444
2022-09-24 14,0.37431761778651057
2022-09-24 15,0.3841557001466276
2022-09-24 16,0.38677612548380524
2022-09-24 17,0.38704727296475283
2022-09-24 18,0.3858045211913679
2022-09-24 19,0.3835859489638881
2022-09-24 20,0.3835333333333334
2022-09-24 21,0.38390286368024024
2022-09-24 22,0.3894976739582303
2022-09-24 23,0.38720270107431193
2022-09-25 00,0.3877371168138581
2022-09-25 01,0.39223251061153896
2022-09-25 02,0.39435111379426785
2022-09-25 03,0.38881645723980696
2022-09-25 04,0.3966707896821904
2022-09-25 05,0.3753872031287305
2022-09-25 06,0.36992352487195673
