Time (UTC),Price (USD/MWh)
2022-09-22 00,329.6416938
2022-09-22 01,309.7867930509283
2022-09-22 02,344.7993780977515
2022-09-22 03,391.95476750156706
2022-09-22 04,439.1101569053827
2022-09-22 05,486.26554630919827
2022-09-22 06,520.595202861305
2022-09-22 07,431.2481492727253
2022-09-22 08,341.9010956841455
2022-09-22 09,320.3360970872826
2022-09-22 10,287.222386725364
2022-09-22 11,224.34853423299018
2022-09-22 12,186.97068401256283
2022-09-22 13,259.8290959796794
2022-09-22 14,341.1396420800686
2022-09-22 15,422.4501881804581
2022-09-22 16,503.7607342808474
2022-09-22 17,585.0712803812366
2022-09-22 18,584.179745352142
2022-09-22 19,571.27405984468
2022-09-22 20,558.368374337218
2022-09-22 21,545.462688829756
2022-09-22 22,532.5570033222939
2022-09-22 23,519.6513178148318
2022-09-23 00,506.74563230736976
2022-09-23 01,493.83994679990775
2022-09-23 02,480.9342612924457
2022-09-23 03,468.0285757849836
2022-09-23 04,455.1228902775216
2022-09-23 05,439.6986975931074
2022-09-23 06,385.0977201368479
2022-09-23 07,330.49674268058874
2022-09-23 08,361.97808693335725
2022-09-23 09,335.5048859432322
2022-09-23 10,309.0316849531073
2022-09-23 11,291.2933074860709
2022-09-23 12,321.4065737270882
2022-09-23 13,351.5198399681054
2022-09-23 14,381.63310620912273
2022-09-23 15,411.74637245014003
2022-09-23 16,441.8596386911572
2022-09-23 17,455.25059221116874
2022-09-23 18,418.02265304799096
2022-09-23 19,380.7947138848133
2022-09-23 20,376.5472313
2022-09-23 21,354.79345563502426
2022-09-23 22,369.68463135109084
2022-09-23 23,348.4572105963734
2022-09-24 00,324.6313297120335
2022-09-24 01,300.80544882769374
2022-09-24 02,317.6191885578453
2022-09-24 03,335.26798935007747
2022-09-24 04,352.9167901423095
2022-09-24 05,363.5882440044637
2022-09-24 06,365.24281906721774
2022-09-24 07,365.61482091249945
2022-09-24 08,349.89635777882364
2022-09-24 09,334.1778946451477
2022-09-24 10,318.4594315114719
2022-09-24 11,302.74096837779615
2022-09-24 12,301.2338365840276
2022-09-24 13,326.2363042648363
2022-09-24 14,351.238771945645
2022-09-24 15,376.24123962645393
2022-09-24 16,401.24370730726264
2022-09-24 17,424.1856678604924
2022-09-24 18,387.7850162229858
2022-09-24 19,355.0222089565368
2022-09-24 20,332.51998812508964
2022-09-24 21,310.0177672936423
2022-09-24 22,283.73556422312697
2022-09-24 23,248.98948767929375
2022-09-25 00,214.24341113546012
2022-09-25 01,201.93959137994858
2022-09-25 02,195.0281313530191
2022-09-25 03,207.602901923834
2022-09-25 04,220.17767249464876
2022-09-25 05,236.56351800780342
2022-09-25 06,266.34586898008195
2022-09-25 07,271.82410447348644
2022-09-25 08,247.55700336300268
2022-09-25 09,226.28072263968699
2022-09-25 10,206.42582191402516
2022-09-25 11,186.57092118836337
2022-09-25 12,211.22297854225275
2022-09-25 13,252.771196887545
2022-09-25 14,294.3194152328372
2022-09-25 15,335.86763357812987
2022-09-25 16,377.4158519234221
2022-09-25 17,387.59401870219756
2022-09-25 18,352.51702725959365
2022-09-25 19,317.4400358169901
2022-09-25 20,282.3630443743865
2022-09-25 21,247.28605293178254
2022-09-25 22,212.209061489179
2022-09-25 23,177.13206997994092
2022-09-26 00,142.05507840495642
2022-09-26 01,106.9780868299727
2022-09-26 02,123.98578643415287
2022-09-26 03,183.55048830533846
2022-09-26 04,236.67456304705564
2022-09-26 05,252.0580396538711
2022-09-26 06,243.23363928597473
2022-09-26 07,239.8726680675401
2022-09-26 08,237.92715427083215
2022-09-26 09,240.5744743704433
2022-09-26 10,243.22179447005442
2022-09-26 11,245.86911456966558
2022-09-26 12,248.51643466927675
2022-09-26 13,251.16375476888786
2022-09-26 14,265.9609117788471
2022-09-26 15,350.8957656373226
2022-09-26 16,386.4968905988103
