Time (UTC),Price (USD/MWh)
2022-09-22 00,51.35
2022-09-22 01,51.35
2022-09-22 02,51.35
2022-09-22 03,51.35
2022-09-22 04,51.35
2022-09-22 05,51.35
2022-09-22 06,51.35
2022-09-22 07,51.35
2022-09-22 08,51.35
2022-09-22 09,51.35
2022-09-22 10,205.4
2022-09-22 11,205.4
2022-09-22 12,205.4
2022-09-22 13,205.4
2022-09-22 14,205.4
2022-09-22 15,205.4
2022-09-22 16,51.35
2022-09-22 17,51.35
2022-09-22 18,51.35
2022-09-22 19,51.35
2022-09-22 20,51.35
2022-09-22 21,51.35
2022-09-22 22,51.35
2022-09-22 23,51.35
2022-09-23 00,51.35
2022-09-23 01,51.35
2022-09-23 02,51.35
2022-09-23 03,51.35
2022-09-23 04,51.35
2022-09-23 05,51.35
2022-09-23 06,51.35
2022-09-23 07,51.35
2022-09-23 08,51.35
2022-09-23 09,51.35
2022-09-23 10,205.4
2022-09-23 11,205.4
2022-09-23 12,205.4
2022-09-23 13,205.4
2022-09-23 14,205.4
2022-09-23 15,205.4
2022-09-23 16,51.35
2022-09-23 17,51.35
2022-09-23 18,51.35
2022-09-23 19,51.35
2022-09-23 20,51.35
2022-09-23 21,51.35
2022-09-23 22,51.35
2022-09-23 23,51.35
2022-09-24 00,51.35
2022-09-24 01,51.35
2022-09-24 02,51.35
2022-09-24 03,51.35
2022-09-24 04,51.35
2022-09-24 05,51.35
2022-09-24 06,51.35
2022-09-24 07,51.35
2022-09-24 08,51.35
2022-09-24 09,51.35
2022-09-24 10,205.4
2022-09-24 11,205.4
2022-09-24 12,205.4
2022-09-24 13,205.4
2022-09-24 14,205.4
2022-09-24 15,205.4
2022-09-24 16,51.35
2022-09-24 17,51.35
2022-09-24 18,51.35
2022-09-24 19,51.35
2022-09-24 20,51.35
2022-09-24 21,51.35
2022-09-24 22,51.35
2022-09-24 23,51.35
2022-09-25 00,51.35
2022-09-25 01,51.35
2022-09-25 02,51.35
2022-09-25 03,51.35
2022-09-25 04,51.35
2022-09-25 05,51.35
2022-09-25 06,51.35
2022-09-25 07,51.35
2022-09-25 08,51.35
2022-09-25 09,51.35
2022-09-25 10,205.4
2022-09-25 11,205.4
2022-09-25 12,205.4
2022-09-25 13,205.4
2022-09-25 14,205.4
2022-09-25 15,205.4
2022-09-25 16,51.35
2022-09-25 17,51.35
2022-09-25 18,51.35
2022-09-25 19,51.35
2022-09-25 20,51.35
2022-09-25 21,51.35
2022-09-25 22,51.35
2022-09-25 23,51.35
2022-09-26 00,51.35
2022-09-26 01,51.35
2022-09-26 02,51.35
2022-09-26 03,51.35
2022-09-26 04,51.35
2022-09-26 05,51.35
2022-09-26 06,51.35
2022-09-26 07,51.35
2022-09-26 08,51.35
2022-09-26 09,51.35
2022-09-26 10,205.4
2022-09-26 11,205.4
2022-09-26 12,205.4
2022-09-26 13,205.4
2022-09-26 14,205.4
2022-09-26 15,205.4
2022-09-26 16,51.35
2022-09-26 17,51.35
2022-09-26 18,51.35
2022-09-26 19,51.35
2022-09-26 20,51.35
2022-09-26 21,51.35
2022-09-26 22,51.35
2022-09-26 23,51.35
2022-09-27 00,51.35
2022-09-27 01,51.35
2022-09-27 02,51.35
2022-09-27 03,51.35
2022-09-27 04,51.35
2022-09-27 05,51.35
2022-09-27 06,51.35
2022-09-27 07,51.35
2022-09-27 08,51.35
2022-09-27 09,51.35
2022-09-27 10,205.4
2022-09-27 11,205.4
2022-09-27 12,205.4
2022-09-27 13,205.4
2022-09-27 14,205.4
2022-09-27 15,205.4
2022-09-27 16,51.35
2022-09-27 17,51.35
2022-09-27 18,51.35
2022-09-27 19,51.35
2022-09-27 20,51.35
2022-09-27 21,51.35
2022-09-27 22,51.35
2022-09-27 23,51.35
2022-09-28 00,51.35
2022-09-28 01,51.35
2022-09-28 02,51.35
2022-09-28 03,51.35
2022-09-28 04,51.35
2022-09-28 05,51.35
2022-09-28 06,51.35
2022-09-28 07,51.35
2022-09-28 08,51.35
2022-09-28 09,51.35
2022-09-28 10,205.4
2022-09-28 11,205.4
2022-09-28 12,205.4
2022-09-28 13,205.4
2022-09-28 14,205.4
2022-09-28 15,205.4
2022-09-28 16,51.35
2022-09-28 17,51.35
2022-09-28 18,51.35
2022-09-28 19,51.35
2022-09-28 20,51.35
2022-09-28 21,51.35
2022-09-28 22,51.35
2022-09-28 23,51.35
2022-09-29 00,51.35
2022-09-29 01,51.35
2022-09-29 02,51.35
2022-09-29 03,51.35
2022-09-29 04,51.35
2022-09-29 05,51.35
2022-09-29 06,51.35
2022-09-29 07,51.35
2022-09-29 08,51.35
2022-09-29 09,51.35
2022-09-29 10,205.4
2022-09-29 11,205.4
2022-09-29 12,205.4
2022-09-29 13,205.4
2022-09-29 14,205.4
2022-09-29 15,205.4
2022-09-29 16,51.35
2022-09-29 17,51.35
2022-09-29 18,51.35
2022-09-29 19,51.35
2022-09-29 20,51.35
2022-09-29 21,51.35
2022-09-29 22,51.35
2022-09-29 23,51.35
2022-09-30 00,51.35
2022-09-30 01,51.35
2022-09-30 02,51.35
2022-09-30 03,51.35
2022-09-30 04,51.35
2022-09-30 05,51.35
2022-09-30 06,51.35
2022-09-30 07,51.35
2022-09-30 08,51.35
2022-09-30 09,51.35
2022-09-30 10,205.4
2022-09-30 11,205.4
2022-09-30 12,205.4
2022-09-30 13,205.4
2022-09-30 14,205.4
2022-09-30 15,205.4
2022-09-30 16,51.35
2022-09-30 17,51.35
2022-09-30 18,51.35
2022-09-30 19,51.35
2022-09-30 20,51.35
2022-09-30 21,51.35
2022-09-30 22,51.35
2022-09-30 23,51.35
2022-10-01 00,41.35
2022-10-01 01,41.35
2022-10-01 02,41.35
2022-10-01 03,41.35
2022-10-01 04,41.35
2022-10-01 05,41.35
2022-10-01 06,41.35
2022-10-01 07,41.35
2022-10-01 08,41.35
2022-10-01 09,41.35
2022-10-01 10,165.4
2022-10-01 11,165.4
2022-10-01 12,165.4
2022-10-01 13,165.4
2022-10-01 14,165.4
2022-10-01 15,165.4
2022-10-01 16,41.35
2022-10-01 17,41.35
2022-10-01 18,41.35
2022-10-01 19,41.35
2022-10-01 20,41.35
2022-10-01 21,41.35
2022-10-01 22,41.35
2022-10-01 23,41.35
2022-10-02 00,41.35
2022-10-02 01,41.35
2022-10-02 02,41.35
2022-10-02 03,41.35
2022-10-02 04,41.35
2022-10-02 05,41.35
2022-10-02 06,41.35
2022-10-02 07,41.35
2022-10-02 08,41.35
2022-10-02 09,41.35
2022-10-02 10,165.4
2022-10-02 11,165.4
2022-10-02 12,165.4
2022-10-02 13,165.4
2022-10-02 14,165.4
2022-10-02 15,165.4
2022-10-02 16,41.35
2022-10-02 17,41.35
2022-10-02 18,41.35
2022-10-02 19,41.35
2022-10-02 20,41.35
2022-10-02 21,41.35
2022-10-02 22,41.35
2022-10-02 23,41.35
2022-10-03 00,41.35
2022-10-03 01,41.35
2022-10-03 02,41.35
2022-10-03 03,41.35
2022-10-03 04,41.35
2022-10-03 05,41.35
2022-10-03 06,41.35
2022-10-03 07,41.35
2022-10-03 08,41.35
2022-10-03 09,41.35
2022-10-03 10,165.4
2022-10-03 11,165.4
2022-10-03 12,165.4
2022-10-03 13,165.4
2022-10-03 14,165.4
2022-10-03 15,165.4
