Time (UTC),Price (USD/MWh)
2022-09-22 00,412.6215942
2022-09-22 01,404.8361504305886
2022-09-22 02,420.4725792835582
2022-09-22 03,523.536002897692
2022-09-22 04,626.5994265118259
2022-09-22 05,671.2096869855641
2022-09-22 06,621.2104169479106
2022-09-22 07,571.2111469102573
2022-09-22 08,521.2118768726039
2022-09-22 09,471.2126068349504
2022-09-22 10,421.213336797297
2022-09-22 11,371.21406675964363
2022-09-22 12,416.54247430219715
2022-09-22 13,493.2971169094457
2022-09-22 14,570.0517595166942
2022-09-22 15,646.806402123943
2022-09-22 16,723.5610447311915
2022-09-22 17,704.0820325262904
2022-09-22 18,659.04602072314
2022-09-22 19,614.0100089199898
2022-09-22 20,568.9739971168397
2022-09-22 21,523.9379853136893
2022-09-22 22,478.90197351053905
2022-09-22 23,433.8659617073888
2022-09-23 00,388.8299499042385
2022-09-23 01,376.5313536483527
2022-09-23 02,447.0296195429339
2022-09-23 03,517.5278854375151
2022-09-23 04,588.026151332096
2022-09-23 05,574.7300298132974
2022-09-23 06,535.8854831412114
2022-09-23 07,497.0409364691254
2022-09-23 08,458.1963897970394
2022-09-23 09,419.35184312495335
2022-09-23 10,380.5072964528674
2022-09-23 11,375.647191082316
2022-09-23 12,440.7275390474456
2022-09-23 13,505.80788701257484
2022-09-23 14,570.8882349777044
2022-09-23 15,635.968582942834
2022-09-23 16,621.4416004320208
2022-09-23 17,581.1320017218846
2022-09-23 18,540.8224030117484
2022-09-23 19,500.5128043016124
2022-09-23 20,460.20320559147615
2022-09-23 21,425.0871272908384
2022-09-23 22,393.66479259200617
2022-09-23 23,365.1297547852677
2022-09-24 00,384.3957877873956
2022-09-24 01,403.66182078952335
2022-09-24 02,422.9278537916511
2022-09-24 03,442.19388679377903
2022-09-24 04,460.8982251737539
2022-09-24 05,445.20553276086815
2022-09-24 06,429.51284034798226
2022-09-24 07,413.82014793509654
2022-09-24 08,398.12745552221077
2022-09-24 09,382.4347631093249
2022-09-24 10,366.74207069643916
2022-09-24 11,397.5430787627611
2022-09-24 12,431.3582108322211
2022-09-24 13,465.1733429016808
2022-09-24 14,498.9884749711405
2022-09-24 15,498.23342083721656
2022-09-24 16,474.40926004185434
2022-09-24 17,450.58509924649206
2022-09-24 18,426.76093845112956
2022-09-24 19,402.9367776557673
2022-09-24 20,379.11261686040507
2022-09-24 21,355.28845606504257
2022-09-24 22,331.4642952696803
2022-09-24 23,307.6401344743181
2022-09-25 00,283.8159736789555
2022-09-25 01,299.4445107396728
2022-09-25 02,333.588856157427
2022-09-25 03,367.73320157518157
2022-09-25 04,379.21975305404095
2022-09-25 05,360.4745837398846
2022-09-25 06,341.7294144257281
2022-09-25 07,322.9842451115718
2022-09-25 08,304.23907579741547
2022-09-25 09,285.4939064832589
2022-09-25 10,334.94035370663323
2022-09-25 11,390.45698311108083
2022-09-25 12,445.97361251552906
2022-09-25 13,501.4902419199767
2022-09-25 14,495.4477488795928
2022-09-25 15,471.43479652741246
2022-09-25 16,443.19447704125116
2022-09-25 17,404.7577977319062
2022-09-25 18,366.32111842256074
2022-09-25 19,327.88443911321576
2022-09-25 20,289.4477598038708
2022-09-25 21,251.01108049452534
2022-09-25 22,212.57440118518034
2022-09-25 23,206.60596929375527
2022-09-26 00,317.62159472042447
2022-09-26 01,428.6372201470913
2022-09-26 02,477.6241345806862
2022-09-26 03,444.2717466646822
2022-09-26 04,406.17983087916906
2022-09-26 05,363.79637827433055
2022-09-26 06,321.412925669492
2022-09-26 07,279.0294730646543
2022-09-26 08,236.64602045981584
2022-09-26 09,230.1503302104298
2022-09-26 10,297.87063641871
2022-09-26 11,365.5909426269916
2022-09-26 12,433.3112488352732
2022-09-26 13,468.2861163303384
2022-09-26 14,420.6801865122276
2022-09-26 15,373.07425669411674
2022-09-26 16,325.4683268760069
2022-09-26 17,297.51646126327205
2022-09-26 18,269.7644512909462
2022-09-26 19,242.01244131862103
2022-09-26 20,214.2604313462952
2022-09-26 21,186.50842137396944
2022-09-26 22,258.68775664315984
2022-09-26 23,332.7443142716892
2022-09-27 00,406.8008719002185
2022-09-27 01,480.85742952874625
2022-09-27 02,426.09142198814266
2022-09-27 03,396.8917284193712
2022-09-27 04,382.540098516286
2022-09-27 05,368.1884686132004
2022-09-27 06,353.83683871011493
2022-09-27 07,339.4852088070297
2022-09-27 08,379.13945115526815
2022-09-27 09,432.50161639089316
2022-09-27 10,485.86378162651704
2022-09-27 11,524.6069907800112
2022-09-27 12,483.7190820393212
2022-09-27 13,441.85844381656784
2022-09-27 14,396.40557735913995
2022-09-27 15,350.95271090171207
2022-09-27 16,342.89018916293026
2022-09-27 17,346.3939042475041
2022-09-27 18,333.87063124363067
2022-09-27 19,321.34735823975745
2022-09-27 20,346.4847925375843
2022-09-27 21,417.06523590700147
2022-09-27 22,487.64567927641707
2022-09-27 23,558.2261226458342
2022-09-28 00,581.5974973651207
2022-09-28 01,543.5013628655544
2022-09-28 02,515.246514930398
2022-09-28 03,496.5874384201186
2022-09-28 04,475.1915042617501
2022-09-28 05,451.0356666185167
2022-09-28 06,499.38113198546705
2022-09-28 07,547.7265973524163
2022-09-28 08,596.0720627193666
2022-09-28 09,644.4175280863169
2022-09-28 10,692.7629934532661
2022-09-28 11,659.0145800655075
2022-09-28 12,566.1542024267226
2022-09-28 13,495.00971137656245
2022-09-28 14,466.5181991836768
2022-09-28 15,438.0266869907911
2022-09-28 16,419.6190497015981
2022-09-28 17,403.29827988244296
2022-09-28 18,386.9775100632878
2022-09-28 19,436.21755718906087
2022-09-28 20,503.36977682662956
2022-09-28 21,570.5219964641983
2022-09-28 22,637.6742161017655
2022-09-28 23,601.8100098226219
2022-09-29 00,529.5171990937174
2022-09-29 01,493.04019839952485
2022-09-29 02,478.06766462357825
2022-09-29 03,463.09513084763165
2022-09-29 04,448.1225970716854
2022-09-29 05,477.077115518043
2022-09-29 06,578.1890786733115
2022-09-29 07,679.301041828578
2022-09-29 08,780.4130049838466
2022-09-29 09,772.5260861499663
2022-09-29 10,689.4957953689525
2022-09-29 11,606.465504587937
2022-09-29 12,523.4352138069214
2022-09-29 13,499.7422110773368
2022-09-29 14,478.6010926622631
2022-09-29 15,457.45997424718945
2022-09-29 16,436.31885583211624
2022-09-29 17,415.1777374170426
2022-09-29 18,437.78696128003486
2022-09-29 19,521.7881201614894
2022-09-29 20,605.7892790429456
2022-09-29 21,689.7904379244019
2022-09-29 22,613.4129899790611
2022-09-29 23,535.7445647490938
2022-09-30 00,458.0761395191265
2022-09-30 01,380.4077142891609
2022-09-30 02,345.62890970876833
2022-09-30 03,313.9750273954397
2022-09-30 04,280.8673041072146
2022-09-30 05,325.2836055950567
2022-09-30 06,369.6999070829007
2022-09-30 07,414.11620857074286
2022-09-30 08,458.53251005858493
2022-09-30 09,414.69402019836184
2022-09-30 10,363.2469576717669
2022-09-30 11,307.1225629280441
2022-09-30 12,237.58006634259948
