Time (UTC),Price (USD/MWh)
2022-09-22 00,130.64516129999998
2022-09-22 01,131.09013522541505
2022-09-22 02,121.93304013745369
2022-09-22 03,112.49083575570974
2022-09-22 04,132.51466275696538
2022-09-22 05,151.42350929626352
2022-09-22 06,182.80791787567648
2022-09-22 07,228.19525898531265
2022-09-22 08,221.48093840191953
2022-09-22 09,197.4523460252423
2022-09-22 10,176.9916910919917
2022-09-22 11,163.64247309999337
2022-09-22 12,150.29325510799507
2022-09-22 13,136.94403711599676
2022-09-22 14,33.87096774
2022-09-22 15,33.87096774
2022-09-22 16,31.91593353394517
2022-09-22 17,36.045179620252306
2022-09-22 18,45.0559017666791
2022-09-22 19,47.341611687404615
2022-09-22 20,31.656280605631657
2022-09-22 21,15.970949523858664
2022-09-22 22,42.27150518226705
2022-09-22 23,74.77394911860833
2022-09-23 00,88.12316712608774
2022-09-23 01,100.54679861990603
2022-09-23 02,109.89125120527792
2022-09-23 03,116.02135260385651
2022-09-23 04,117.69000486444081
2022-09-23 05,119.3782583733627
2022-09-23 06,129.61265885054547
2022-09-23 07,140.94574780105995
2022-09-23 08,156.9648091945934
2022-09-23 09,149.3951613653543
2022-09-23 10,138.9744218138091
2022-09-23 11,116.72572512272191
2022-09-23 12,94.4770284316347
2022-09-23 13,72.22833174054762
2022-09-23 14,114.44281455401224
2022-09-23 15,119.91019059819018
2022-09-23 16,119.64320624152694
2022-09-23 17,119.37622188486368
2022-09-23 18,136.5469207573187
2022-09-23 19,127.44761139041171
2022-09-23 20,107.09005397681369
2022-09-23 21,75.99431867318931
2022-09-23 22,24.657869011236453
2022-09-23 23,29.99755621312466
2022-09-24 00,30.571847480665852
2022-09-24 01,18.55755131081232
2022-09-24 02,6.5432551409587845
2022-09-24 03,25.840053779723718
2022-09-24 04,52.37047911747082
2022-09-24 05,102.92033225265735
2022-09-24 06,129.618768256581
2022-09-24 07,154.2170699858696
2022-09-24 08,159.87292269587715
2022-09-24 09,141.18401769537218
2022-09-24 10,128.28461026275795
2022-09-24 11,119.10702287294194
2022-09-24 12,109.92943548312583
2022-09-24 13,100.75184809330982
2022-09-24 14,91.57426070349382
2022-09-24 15,102.97837239996532
2022-09-24 16,113.51417402492403
