Time (UTC),Price (USD/MWh)
2022-09-22 00,328.6103542
2022-09-22 01,312.3675941973911
2022-09-22 02,339.39093489396845
2022-09-22 03,377.76551843140464
2022-09-22 04,475.0369531999402
2022-09-22 05,497.91538364990515
2022-09-22 06,437.4013895600689
2022-09-22 07,376.8873954702327
2022-09-22 08,337.1874514313999
2022-09-22 09,310.93726062590076
2022-09-22 10,284.68706982040163
2022-09-22 11,317.12210358480735
2022-09-22 12,357.948118291579
2022-09-22 13,404.4026580454533
2022-09-22 14,453.5372572772694
2022-09-22 15,502.6718565090857
2022-09-22 16,551.8064557409018
2022-09-22 17,578.1047976965057
2022-09-22 18,477.24398504282664
2022-09-22 19,414.82466880108456
2022-09-22 20,393.60326762807256
2022-09-22 21,372.3818664550604
2022-09-22 22,352.441913520446
2022-09-22 23,333.90041350605543
2022-09-23 00,315.3589134916648
2022-09-23 01,296.8174134772742
2022-09-23 02,318.8219943194566
2022-09-23 03,347.2611479387127
2022-09-23 04,403.2260770504976
2022-09-23 05,424.0572430919243
2022-09-23 06,394.42629018575167
2022-09-23 07,364.79533727957914
2022-09-23 08,337.58683235818836
2022-09-23 09,310.3074088580427
2022-09-23 10,292.38876337405276
2022-09-23 11,303.44626732923547
2022-09-23 12,314.5037712844182
2022-09-23 13,334.36021016801203
2022-09-23 14,397.8518135277708
2022-09-23 15,425.98960613358565
2022-09-23 16,448.1116252196617
2022-09-23 17,448.43215165608814
2022-09-23 18,408.20062284324666
2022-09-23 19,375.1660520810549
2022-09-23 20,359.29676065933364
2022-09-23 21,366.05321849505316
2022-09-23 22,341.4849095464306
2022-09-23 23,327.8573798224887
2022-09-24 00,314.9062227634402
2022-09-24 01,301.9550657043918
2022-09-24 02,322.73297586705
2022-09-24 03,346.7589496928837
2022-09-24 04,362.3554134798432
2022-09-24 05,365.01104589391997
2022-09-24 06,367.66667830799673
2022-09-24 07,355.77766497892003
2022-09-24 08,342.82650791987163
2022-09-24 09,329.8753508608231
2022-09-24 10,310.63074350153784
2022-09-24 11,295.10308493911754
2022-09-24 12,320.3941509529534
2022-09-24 13,345.685216966789
2022-09-24 14,369.8821143985714
2022-09-24 15,393.27428074793943
2022-09-24 16,413.82256002131726
2022-09-24 17,389.9533727125811
2022-09-24 18,366.08418540384474
2022-09-24 19,340.636604477123
2022-09-24 20,314.38641368400056
2022-09-24 21,288.1362228908778
2022-09-24 22,253.46227290455946
2022-09-24 23,214.7035812355725
2022-09-25 00,197.4900223251323
2022-09-25 01,204.69043202548093
2022-09-25 02,221.69785571813432
2022-09-25 03,238.70527941078788
2022-09-25 04,255.71270310344127
2022-09-25 05,272.72012679609463
2022-09-25 06,272.34162294111553
2022-09-25 07,261.51061628855484
2022-09-25 08,247.6212288765857
2022-09-25 09,233.7318414646164
2022-09-25 10,219.84245405264724
2022-09-25 11,218.85143292221
2022-09-25 12,259.0657903948637
2022-09-25 13,299.280147867517
2022-09-25 14,335.7421183670467
2022-09-25 15,370.41539527474305
2022-09-25 16,396.34018537189473
2022-09-25 17,364.2533697733753
2022-09-25 18,332.1665541748556
2022-09-25 19,300.0797385763361
2022-09-25 20,258.4842000793586
2022-09-25 21,209.5506585640058
2022-09-25 22,164.5264774333676
2022-09-25 23,132.91287306342755
2022-09-26 00,101.29926869348716
2022-09-26 01,129.99478678123396
2022-09-26 02,169.59668815747293
2022-09-26 03,223.85139268640876
2022-09-26 04,314.45146055942666
2022-09-26 05,295.39494121842336
2022-09-26 06,268.5828675024582
2022-09-26 07,241.7707937864937
2022-09-26 08,177.06873762000288
2022-09-26 09,167.70865426425274
2022-09-26 10,156.21319818788098
2022-09-26 11,190.85948448620687
2022-09-26 12,227.7570389929229
2022-09-26 13,264.6545934996381
2022-09-26 14,312.53546746552996
2022-09-26 15,363.6388183243962
2022-09-26 16,398.19216228727043
2022-09-26 17,358.2808539474289
2022-09-26 18,318.36954560758744
2022-09-26 19,250.22651605392798
2022-09-26 20,190.4870244913569
2022-09-26 21,173.14219511497546
2022-09-26 22,155.7973657385944
2022-09-26 23,170.87647640542977
2022-09-27 00,200.56904271678172
2022-09-27 01,237.0557321448493
2022-09-27 02,310.1458778952239
2022-09-27 03,378.4921373779252
2022-09-27 04,422.97138971001067
2022-09-27 05,399.9141737590629
2022-09-27 06,367.5905860337074
2022-09-27 07,326.18784872430706
2022-09-27 08,294.3406914554175
2022-09-27 09,283.1868994212465
2022-09-27 10,290.1649046732243
2022-09-27 11,307.9430067388642
2022-09-27 12,325.72110880450407
2022-09-27 13,351.27813163977055
2022-09-27 14,377.3347204093904
2022-09-27 15,399.03260509031264
2022-09-27 16,374.5447155463776
2022-09-27 17,342.2211278630885
2022-09-27 18,319.67488823748926
2022-09-27 19,307.816090638855
2022-09-27 20,295.95729304022046
2022-09-27 21,268.90992626826664
2022-09-27 22,240.9563327123212
2022-09-27 23,261.2944523875734
2022-09-28 00,281.63257206282566
2022-09-28 01,315.8093122784891
2022-09-28 02,405.52619088411177
2022-09-28 03,454.43198764892696
2022-09-28 04,461.5288116954862
2022-09-28 05,426.3552697829674
2022-09-28 06,391.57300135104674
2022-09-28 07,359.4861855085759
2022-09-28 08,334.40915086625046
2022-09-28 09,322.73217892615094
2022-09-28 10,335.0958934934803
2022-09-28 11,369.35611161600264
2022-09-28 12,403.6163297385251
2022-09-28 13,437.8765478610468
2022-09-28 14,505.38728201221204
2022-09-28 15,586.7588667728292
2022-09-28 16,490.14544695690125
