Time (UTC),Price (USD/MWh)
2022-09-22 00,330.0
2022-09-22 01,320.0
2022-09-22 02,318.0
2022-09-22 03,348.0
2022-09-22 04,378.0
2022-09-22 05,449.77777777777777
2022-09-22 06,532.0
2022-09-22 07,450.3333333333334
2022-09-22 08,368.66666666666674
2022-09-22 09,315.6
2022-09-22 10,281.6000000000001
2022-09-22 11,247.60000000000002
2022-09-22 12,260.0
2022-09-22 13,303.5555555555556
2022-09-22 14,347.4444444444444
2022-09-22 15,391.3333333333333
2022-09-22 16,435.2222222222222
2022-09-22 17,546.6666666666662
2022-09-22 18,556.0000000000001
2022-09-22 19,486.00000000000006
2022-09-22 20,425.8
2022-09-22 21,404.79999999999995
2022-09-22 22,383.8
2022-09-22 23,362.8
2022-09-23 00,341.79999999999995
2022-09-23 01,320.80000000000007
2022-09-23 02,313.59999999999997
2022-09-23 03,361.6
2022-09-23 04,409.5999999999999
2022-09-23 05,437.5555555555556
2022-09-23 06,385.33333333333326
2022-09-23 07,356.22222222222223
2022-09-23 08,361.77777777777777
2022-09-23 09,349.49999999999994
2022-09-23 10,325.33333333333337
2022-09-23 11,310.16666666666663
2022-09-23 12,331.0
2022-09-23 13,351.83333333333326
2022-09-23 14,380.8888888888888
2022-09-23 15,412.0
2022-09-23 16,443.11111111111103
2022-09-23 17,461.1666666666667
2022-09-23 18,427.0
2022-09-23 19,392.8333333333335
2022-09-23 20,363.3333333333333
2022-09-23 21,359.33333333333337
2022-09-23 22,371.5555555555555
2022-09-23 23,354.8000000000001
2022-09-24 00,330.8000000000001
2022-09-24 01,306.80000000000024
2022-09-24 02,317.9999999999997
2022-09-24 03,337.9999999999999
2022-09-24 04,357.9999999999998
2022-09-24 05,363.59999999999997
2022-09-24 06,365.59999999999997
2022-09-24 07,367.59999999999997
2022-09-24 08,354.66666666666686
2022-09-24 09,338.00000000000006
2022-09-24 10,321.3333333333334
2022-09-24 11,304.66666666666686
2022-09-24 12,309.99999999999994
2022-09-24 13,329.9999999999999
2022-09-24 14,349.99999999999983
2022-09-24 15,370.0
2022-09-24 16,402.22222222222206
2022-09-24 17,422.50000000000034
2022-09-24 18,395.0000000000001
2022-09-24 19,367.5000000000003
2022-09-24 20,333.80952380952425
2022-09-24 21,298.5714285714287
2022-09-24 22,263.3333333333336
2022-09-24 23,228.09523809523844
2022-09-25 00,214.0
2022-09-25 01,202.0000000000003
2022-09-25 02,205.06666666666652
2022-09-25 03,216.39999999999992
2022-09-25 04,227.73333333333323
2022-09-25 05,253.9999999999997
2022-09-25 06,284.0
2022-09-25 07,226.50000000000026
2022-09-25 08,169.0000000000005
2022-09-25 09,137.50000000000003
2022-09-25 10,123.33333333333343
2022-09-25 11,121.2222222222217
2022-09-25 12,167.33333333333317
2022-09-25 13,213.44444444444417
2022-09-25 14,259.55555555555515
2022-09-25 15,319.9999999999998
2022-09-25 16,389.9999999999993
2022-09-25 17,383.00000000000034
2022-09-25 18,356.7500000000001
2022-09-25 19,330.50000000000017
2022-09-25 20,304.2500000000002
2022-09-25 21,278.0
2022-09-25 22,226.33333333333366
2022-09-25 23,174.66666666666728
2022-09-26 00,123.00000000000037
2022-09-26 01,113.77777777777662
2022-09-26 02,168.22222222222166
2022-09-26 03,222.66666666666666
2022-09-26 04,277.1111111111105
2022-09-26 05,276.57142857142867
2022-09-26 06,262.28571428571433
2022-09-26 07,248.0000000000003
2022-09-26 08,233.71428571428598
2022-09-26 09,215.20000000000027
2022-09-26 10,193.86666666666724
2022-09-26 11,172.53333333333376
2022-09-26 12,190.99999999999952
2022-09-26 13,235.99999999999903
2022-09-26 14,299.3333333333314
2022-09-26 15,380.99999999999955
2022-09-26 16,392.00000000000085
2022-09-26 17,352.00000000000045
2022-09-26 18,312.0
2022-09-26 19,268.6666666666673
2022-09-26 20,225.33333333333366
2022-09-26 21,182.0
2022-09-26 22,168.6666666666669
2022-09-26 23,155.33333333333357
2022-09-27 00,156.9999999999999
2022-09-27 01,168.66666666666643
2022-09-27 02,197.16666666666563
2022-09-27 03,293.0
2022-09-27 04,388.83333333333235
2022-09-27 05,345.77777777777817
2022-09-27 06,268.0
2022-09-27 07,221.33333333333383
2022-09-27 08,222.66666666666657
2022-09-27 09,235.99999999999994
2022-09-27 10,252.3333333333329
2022-09-27 11,273.16666666666646
2022-09-27 12,294.0
2022-09-27 13,335.1111111111104
2022-09-27 14,372.6666666666664
2022-09-27 15,395.99999999999983
2022-09-27 16,398.66666666666725
2022-09-27 17,370.33333333333366
2022-09-27 18,342.0
2022-09-27 19,313.66666666666697
2022-09-27 20,294.66666666666674
2022-09-27 21,278.00000000000006
2022-09-27 22,261.3333333333337
2022-09-27 23,244.66666666666697
