Time (UTC),Price (USD/MWh)
2022-09-22 00,204.3269231
2022-09-22 01,219.28070231501775
2022-09-22 02,224.19276423081953
2022-09-22 03,195.81299123544272
2022-09-22 04,170.2123397666667
2022-09-22 05,149.37900643333336
2022-09-22 06,149.04436774336037
2022-09-22 07,167.47188619557355
2022-09-22 08,177.86165070621604
2022-09-22 09,150.1053894086904
2022-09-22 10,135.89154893975396
2022-09-22 11,151.53780745239592
2022-09-22 12,148.51023687399103
2022-09-22 13,129.90467475043698
2022-09-22 14,112.15700705608278
2022-09-22 15,103.04304289199939
2022-09-22 16,93.92907872791605
2022-09-22 17,85.33653846
2022-09-22 18,85.33653846
2022-09-22 19,85.33653846
2022-09-22 20,94.98250033683591
2022-09-22 21,109.65960398078235
2022-09-22 22,124.33670762472875
2022-09-22 23,143.16107722083072
2022-09-23 00,163.6865288842377
2022-09-23 01,179.56501834034984
2022-09-23 02,183.04632017129666
2022-09-23 03,133.14048290576818
2022-09-23 04,115.18878859226223
2022-09-23 05,118.96106941506375
2022-09-23 06,131.15619141302795
2022-09-23 07,167.289885598526
2022-09-23 08,170.08843430918805
2022-09-23 09,155.33046491970265
2022-09-23 10,165.99789644909623
2022-09-23 11,178.7473866985205
2022-09-23 12,192.554928198592
2022-09-23 13,192.96908714459275
2022-09-23 14,155.9604092635598
2022-09-23 15,117.3704016637148
2022-09-23 16,117.16603131733174
2022-09-23 17,121.3942308
2022-09-23 18,121.3942308
2022-09-23 19,119.20645705680445
2022-09-23 20,111.92554628101273
2022-09-23 21,117.10333586551396
2022-09-23 22,135.53085426750033
2022-09-23 23,189.77177756404612
2022-09-24 00,209.12308615293549
2022-09-24 01,207.12468486319315
2022-09-24 02,211.59084552400864
2022-09-24 03,192.24406928251497
2022-09-24 04,154.4791301723931
2022-09-24 05,143.02884619999998
2022-09-24 06,137.81860963347378
2022-09-24 07,127.92153910087444
2022-09-24 08,138.97280755946366
2022-09-24 09,158.7978005808562
2022-09-24 10,183.2873189492979
2022-09-24 11,198.86244222626
2022-09-24 12,177.39483879080947
2022-09-24 13,151.3315314834923
2022-09-24 14,120.69129224208686
2022-09-24 15,125.729583290068
2022-09-24 16,123.7891169201221
2022-09-24 17,120.79470348226202
2022-09-24 18,114.82811641445326
2022-09-24 19,111.34728750573179
2022-09-24 20,114.02681591823097
2022-09-24 21,115.05550594865106
2022-09-24 22,114.38830550746502
2022-09-24 23,122.61960601332272
2022-09-25 00,134.8147278463058
2022-09-25 01,129.4361802279776
