Time (UTC),Price (USD/MWh)
2022-09-22 00,38.35
2022-09-22 01,38.35
2022-09-22 02,38.35
2022-09-22 03,38.35
2022-09-22 04,38.35
2022-09-22 05,38.35
2022-09-22 06,38.35
2022-09-22 07,38.35
2022-09-22 08,38.35
2022-09-22 09,38.35
2022-09-22 10,153.4
2022-09-22 11,153.4
2022-09-22 12,153.4
2022-09-22 13,153.4
2022-09-22 14,153.4
2022-09-22 15,153.4
2022-09-22 16,38.35
2022-09-22 17,38.35
2022-09-22 18,38.35
2022-09-22 19,38.35
2022-09-22 20,38.35
2022-09-22 21,38.35
2022-09-22 22,38.35
2022-09-22 23,38.35
2022-09-23 00,38.35
2022-09-23 01,38.35
2022-09-23 02,38.35
2022-09-23 03,38.35
2022-09-23 04,38.35
2022-09-23 05,38.35
2022-09-23 06,38.35
2022-09-23 07,38.35
2022-09-23 08,38.35
2022-09-23 09,38.35
2022-09-23 10,153.4
2022-09-23 11,153.4
2022-09-23 12,153.4
2022-09-23 13,153.4
2022-09-23 14,153.4
2022-09-23 15,153.4
2022-09-23 16,38.35
2022-09-23 17,38.35
2022-09-23 18,38.35
2022-09-23 19,38.35
2022-09-23 20,38.35
2022-09-23 21,38.35
2022-09-23 22,38.35
2022-09-23 23,38.35
2022-09-24 00,38.35
2022-09-24 01,38.35
2022-09-24 02,38.35
2022-09-24 03,38.35
2022-09-24 04,38.35
2022-09-24 05,38.35
2022-09-24 06,38.35
2022-09-24 07,38.35
2022-09-24 08,38.35
2022-09-24 09,38.35
2022-09-24 10,153.4
2022-09-24 11,153.4
2022-09-24 12,153.4
2022-09-24 13,153.4
2022-09-24 14,153.4
2022-09-24 15,153.4
2022-09-24 16,38.35
2022-09-24 17,38.35
2022-09-24 18,38.35
2022-09-24 19,38.35
2022-09-24 20,38.35
2022-09-24 21,38.35
2022-09-24 22,38.35
2022-09-24 23,38.35
2022-09-25 00,38.35
2022-09-25 01,38.35
2022-09-25 02,38.35
2022-09-25 03,38.35
2022-09-25 04,38.35
2022-09-25 05,38.35
2022-09-25 06,38.35
2022-09-25 07,38.35
2022-09-25 08,38.35
2022-09-25 09,38.35
2022-09-25 10,153.4
2022-09-25 11,153.4
2022-09-25 12,153.4
2022-09-25 13,153.4
2022-09-25 14,153.4
2022-09-25 15,153.4
2022-09-25 16,38.35
2022-09-25 17,38.35
2022-09-25 18,38.35
2022-09-25 19,38.35
2022-09-25 20,38.35
2022-09-25 21,38.35
2022-09-25 22,38.35
2022-09-25 23,38.35
2022-09-26 00,38.35
2022-09-26 01,38.35
2022-09-26 02,38.35
2022-09-26 03,38.35
2022-09-26 04,38.35
2022-09-26 05,38.35
2022-09-26 06,38.35
2022-09-26 07,38.35
2022-09-26 08,38.35
2022-09-26 09,38.35
2022-09-26 10,153.4
2022-09-26 11,153.4
2022-09-26 12,153.4
2022-09-26 13,153.4
2022-09-26 14,153.4
2022-09-26 15,153.4
2022-09-26 16,38.35
2022-09-26 17,38.35
2022-09-26 18,38.35
2022-09-26 19,38.35
2022-09-26 20,38.35
2022-09-26 21,38.35
2022-09-26 22,38.35
2022-09-26 23,38.35
2022-09-27 00,38.35
2022-09-27 01,38.35
2022-09-27 02,38.35
2022-09-27 03,38.35
2022-09-27 04,38.35
2022-09-27 05,38.35
2022-09-27 06,38.35
2022-09-27 07,38.35
2022-09-27 08,38.35
2022-09-27 09,38.35
2022-09-27 10,153.4
2022-09-27 11,153.4
2022-09-27 12,153.4
2022-09-27 13,153.4
2022-09-27 14,153.4
2022-09-27 15,153.4
2022-09-27 16,38.35
2022-09-27 17,38.35
2022-09-27 18,38.35
2022-09-27 19,38.35
2022-09-27 20,38.35
2022-09-27 21,38.35
2022-09-27 22,38.35
2022-09-27 23,38.35
2022-09-28 00,38.35
2022-09-28 01,38.35
2022-09-28 02,38.35
2022-09-28 03,38.35
2022-09-28 04,38.35
2022-09-28 05,38.35
2022-09-28 06,38.35
2022-09-28 07,38.35
2022-09-28 08,38.35
2022-09-28 09,38.35
2022-09-28 10,153.4
2022-09-28 11,153.4
2022-09-28 12,153.4
2022-09-28 13,153.4
2022-09-28 14,153.4
2022-09-28 15,153.4
2022-09-28 16,38.35
2022-09-28 17,38.35
2022-09-28 18,38.35
2022-09-28 19,38.35
2022-09-28 20,38.35
2022-09-28 21,38.35
2022-09-28 22,38.35
2022-09-28 23,38.35
2022-09-29 00,38.35
2022-09-29 01,38.35
2022-09-29 02,38.35
2022-09-29 03,38.35
2022-09-29 04,38.35
2022-09-29 05,38.35
2022-09-29 06,38.35
2022-09-29 07,38.35
2022-09-29 08,38.35
2022-09-29 09,38.35
2022-09-29 10,153.4
2022-09-29 11,153.4
2022-09-29 12,153.4
2022-09-29 13,153.4
2022-09-29 14,153.4
2022-09-29 15,153.4
2022-09-29 16,38.35
2022-09-29 17,38.35
2022-09-29 18,38.35
2022-09-29 19,38.35
2022-09-29 20,38.35
2022-09-29 21,38.35
2022-09-29 22,38.35
2022-09-29 23,38.35
2022-09-30 00,38.35
2022-09-30 01,38.35
2022-09-30 02,38.35
2022-09-30 03,38.35
2022-09-30 04,38.35
2022-09-30 05,38.35
2022-09-30 06,38.35
2022-09-30 07,38.35
2022-09-30 08,38.35
2022-09-30 09,38.35
2022-09-30 10,153.4
2022-09-30 11,153.4
2022-09-30 12,153.4
2022-09-30 13,153.4
2022-09-30 14,153.4
2022-09-30 15,153.4
2022-09-30 16,38.35
2022-09-30 17,38.35
2022-09-30 18,38.35
2022-09-30 19,38.35
2022-09-30 20,38.35
2022-09-30 21,38.35
2022-09-30 22,38.35
2022-09-30 23,38.35
2022-10-01 00,36.05
2022-10-01 01,36.05
2022-10-01 02,36.05
2022-10-01 03,36.05
2022-10-01 04,36.05
2022-10-01 05,36.05
2022-10-01 06,36.05
2022-10-01 07,36.05
2022-10-01 08,36.05
2022-10-01 09,36.05
2022-10-01 10,144.2
2022-10-01 11,144.2
2022-10-01 12,144.2
2022-10-01 13,144.2
2022-10-01 14,144.2
2022-10-01 15,144.2
2022-10-01 16,36.05
2022-10-01 17,36.05
2022-10-01 18,36.05
2022-10-01 19,36.05
2022-10-01 20,36.05
2022-10-01 21,36.05
2022-10-01 22,36.05
2022-10-01 23,36.05
2022-10-02 00,36.05
2022-10-02 01,36.05
2022-10-02 02,36.05
2022-10-02 03,36.05
2022-10-02 04,36.05
2022-10-02 05,36.05
2022-10-02 06,36.05
2022-10-02 07,36.05
2022-10-02 08,36.05
2022-10-02 09,36.05
2022-10-02 10,144.2
2022-10-02 11,144.2
2022-10-02 12,144.2
2022-10-02 13,144.2
2022-10-02 14,144.2
2022-10-02 15,144.2
2022-10-02 16,36.05
2022-10-02 17,36.05
2022-10-02 18,36.05
2022-10-02 19,36.05
2022-10-02 20,36.05
2022-10-02 21,36.05
2022-10-02 22,36.05
2022-10-02 23,36.05
2022-10-03 00,36.05
2022-10-03 01,36.05
2022-10-03 02,36.05
2022-10-03 03,36.05
2022-10-03 04,36.05
2022-10-03 05,36.05
2022-10-03 06,36.05
2022-10-03 07,36.05
2022-10-03 08,36.05
2022-10-03 09,36.05
2022-10-03 10,144.2
2022-10-03 11,144.2
2022-10-03 12,144.2
2022-10-03 13,144.2
2022-10-03 14,144.2
2022-10-03 15,144.2
2022-10-03 16,36.05
2022-10-03 17,36.05
2022-10-03 18,36.05
2022-10-03 19,36.05
2022-10-03 20,36.05
2022-10-03 21,36.05
2022-10-03 22,36.05
2022-10-03 23,36.05
2022-10-04 00,36.05
2022-10-04 01,36.05
2022-10-04 02,36.05
2022-10-04 03,36.05
2022-10-04 04,36.05
2022-10-04 05,36.05
2022-10-04 06,36.05
2022-10-04 07,36.05
2022-10-04 08,36.05
2022-10-04 09,36.05
2022-10-04 10,144.2
2022-10-04 11,144.2
2022-10-04 12,144.2
2022-10-04 13,144.2
2022-10-04 14,144.2
2022-10-04 15,144.2
2022-10-04 16,36.05
2022-10-04 17,36.05
2022-10-04 18,36.05
2022-10-04 19,36.05
2022-10-04 20,36.05
2022-10-04 21,36.05
2022-10-04 22,36.05
2022-10-04 23,36.05
2022-10-05 00,36.05
2022-10-05 01,36.05
2022-10-05 02,36.05
2022-10-05 03,36.05
2022-10-05 04,36.05
2022-10-05 05,36.05
2022-10-05 06,36.05
2022-10-05 07,36.05
2022-10-05 08,36.05
2022-10-05 09,36.05
2022-10-05 10,144.2
2022-10-05 11,144.2
2022-10-05 12,144.2
2022-10-05 13,144.2
2022-10-05 14,144.2
2022-10-05 15,144.2
2022-10-05 16,36.05
2022-10-05 17,36.05
2022-10-05 18,36.05
2022-10-05 19,36.05
2022-10-05 20,36.05
2022-10-05 21,36.05
2022-10-05 22,36.05
2022-10-05 23,36.05
2022-10-06 00,36.05
2022-10-06 01,36.05
2022-10-06 02,36.05
2022-10-06 03,36.05
2022-10-06 04,36.05
2022-10-06 05,36.05
2022-10-06 06,36.05
2022-10-06 07,36.05
2022-10-06 08,36.05
2022-10-06 09,36.05
2022-10-06 10,144.2
2022-10-06 11,144.2
2022-10-06 12,144.2
2022-10-06 13,144.2
2022-10-06 14,144.2
2022-10-06 15,144.2
2022-10-06 16,36.05
2022-10-06 17,36.05
2022-10-06 18,36.05
2022-10-06 19,36.05
2022-10-06 20,36.05
2022-10-06 21,36.05
2022-10-06 22,36.05
2022-10-06 23,36.05
2022-10-07 00,36.05
2022-10-07 01,36.05
2022-10-07 02,36.05
2022-10-07 03,36.05
2022-10-07 04,36.05
2022-10-07 05,36.05
2022-10-07 06,36.05
2022-10-07 07,36.05
2022-10-07 08,36.05
2022-10-07 09,36.05
2022-10-07 10,144.2
2022-10-07 11,144.2
2022-10-07 12,144.2
2022-10-07 13,144.2
2022-10-07 14,144.2
2022-10-07 15,144.2
2022-10-07 16,36.05
2022-10-07 17,36.05
2022-10-07 18,36.05
2022-10-07 19,36.05
2022-10-07 20,36.05
2022-10-07 21,36.05
2022-10-07 22,36.05
2022-10-07 23,36.05
2022-10-08 00,36.05
2022-10-08 01,36.05
2022-10-08 02,36.05
2022-10-08 03,36.05
2022-10-08 04,36.05
2022-10-08 05,36.05
2022-10-08 06,36.05
2022-10-08 07,36.05
2022-10-08 08,36.05
2022-10-08 09,36.05
2022-10-08 10,144.2
2022-10-08 11,144.2
2022-10-08 12,144.2
2022-10-08 13,144.2
2022-10-08 14,144.2
2022-10-08 15,144.2
2022-10-08 16,36.05
2022-10-08 17,36.05
2022-10-08 18,36.05
2022-10-08 19,36.05
2022-10-08 20,36.05
2022-10-08 21,36.05
2022-10-08 22,36.05
2022-10-08 23,36.05
2022-10-09 00,36.05
2022-10-09 01,36.05
2022-10-09 02,36.05
2022-10-09 03,36.05
2022-10-09 04,36.05
2022-10-09 05,36.05
2022-10-09 06,36.05
2022-10-09 07,36.05
2022-10-09 08,36.05
2022-10-09 09,36.05
2022-10-09 10,144.2
2022-10-09 11,144.2
2022-10-09 12,144.2
2022-10-09 13,144.2
2022-10-09 14,144.2
2022-10-09 15,144.2
2022-10-09 16,36.05
2022-10-09 17,36.05
2022-10-09 18,36.05
2022-10-09 19,36.05
2022-10-09 20,36.05
2022-10-09 21,36.05
2022-10-09 22,36.05
2022-10-09 23,36.05
2022-10-10 00,36.05
2022-10-10 01,36.05
2022-10-10 02,36.05
2022-10-10 03,36.05
2022-10-10 04,36.05
2022-10-10 05,36.05
2022-10-10 06,36.05
2022-10-10 07,36.05
2022-10-10 08,36.05
2022-10-10 09,36.05
2022-10-10 10,144.2
2022-10-10 11,144.2
2022-10-10 12,144.2
2022-10-10 13,144.2
2022-10-10 14,144.2
2022-10-10 15,144.2
2022-10-10 16,36.05
2022-10-10 17,36.05
2022-10-10 18,36.05
2022-10-10 19,36.05
2022-10-10 20,36.05
2022-10-10 21,36.05
2022-10-10 22,36.05
2022-10-10 23,36.05
2022-10-11 00,36.05
