Time (UTC),Price (USD/MWh)
2022-09-22 00,44.6
2022-09-22 01,44.6
2022-09-22 02,44.6
2022-09-22 03,44.6
2022-09-22 04,44.6
2022-09-22 05,44.6
2022-09-22 06,44.6
2022-09-22 07,44.6
2022-09-22 08,44.6
2022-09-22 09,44.6
2022-09-22 10,178.4
2022-09-22 11,178.4
2022-09-22 12,178.4
2022-09-22 13,178.4
2022-09-22 14,178.4
2022-09-22 15,178.4
2022-09-22 16,44.6
2022-09-22 17,44.6
2022-09-22 18,44.6
2022-09-22 19,44.6
2022-09-22 20,44.6
2022-09-22 21,44.6
2022-09-22 22,44.6
2022-09-22 23,44.6
2022-09-23 00,44.6
2022-09-23 01,44.6
2022-09-23 02,44.6
2022-09-23 03,44.6
2022-09-23 04,44.6
2022-09-23 05,44.6
2022-09-23 06,44.6
2022-09-23 07,44.6
2022-09-23 08,44.6
2022-09-23 09,44.6
2022-09-23 10,178.4
2022-09-23 11,178.4
2022-09-23 12,178.4
2022-09-23 13,178.4
2022-09-23 14,178.4
2022-09-23 15,178.4
2022-09-23 16,44.6
2022-09-23 17,44.6
2022-09-23 18,44.6
2022-09-23 19,44.6
2022-09-23 20,44.6
2022-09-23 21,44.6
2022-09-23 22,44.6
2022-09-23 23,44.6
2022-09-24 00,44.6
2022-09-24 01,44.6
2022-09-24 02,44.6
2022-09-24 03,44.6
2022-09-24 04,44.6
2022-09-24 05,44.6
2022-09-24 06,44.6
2022-09-24 07,44.6
2022-09-24 08,44.6
2022-09-24 09,44.6
2022-09-24 10,178.4
2022-09-24 11,178.4
2022-09-24 12,178.4
2022-09-24 13,178.4
2022-09-24 14,178.4
2022-09-24 15,178.4
2022-09-24 16,44.6
2022-09-24 17,44.6
2022-09-24 18,44.6
2022-09-24 19,44.6
2022-09-24 20,44.6
2022-09-24 21,44.6
2022-09-24 22,44.6
2022-09-24 23,44.6
2022-09-25 00,44.6
2022-09-25 01,44.6
2022-09-25 02,44.6
2022-09-25 03,44.6
2022-09-25 04,44.6
2022-09-25 05,44.6
2022-09-25 06,44.6
2022-09-25 07,44.6
2022-09-25 08,44.6
2022-09-25 09,44.6
2022-09-25 10,178.4
2022-09-25 11,178.4
2022-09-25 12,178.4
2022-09-25 13,178.4
2022-09-25 14,178.4
2022-09-25 15,178.4
2022-09-25 16,44.6
2022-09-25 17,44.6
2022-09-25 18,44.6
2022-09-25 19,44.6
2022-09-25 20,44.6
2022-09-25 21,44.6
2022-09-25 22,44.6
2022-09-25 23,44.6
2022-09-26 00,44.6
2022-09-26 01,44.6
2022-09-26 02,44.6
2022-09-26 03,44.6
2022-09-26 04,44.6
2022-09-26 05,44.6
2022-09-26 06,44.6
2022-09-26 07,44.6
2022-09-26 08,44.6
2022-09-26 09,44.6
2022-09-26 10,178.4
2022-09-26 11,178.4
2022-09-26 12,178.4
2022-09-26 13,178.4
2022-09-26 14,178.4
2022-09-26 15,178.4
2022-09-26 16,44.6
2022-09-26 17,44.6
2022-09-26 18,44.6
2022-09-26 19,44.6
2022-09-26 20,44.6
2022-09-26 21,44.6
2022-09-26 22,44.6
2022-09-26 23,44.6
2022-09-27 00,44.6
2022-09-27 01,44.6
2022-09-27 02,44.6
2022-09-27 03,44.6
2022-09-27 04,44.6
2022-09-27 05,44.6
2022-09-27 06,44.6
2022-09-27 07,44.6
2022-09-27 08,44.6
2022-09-27 09,44.6
2022-09-27 10,178.4
2022-09-27 11,178.4
2022-09-27 12,178.4
2022-09-27 13,178.4
2022-09-27 14,178.4
2022-09-27 15,178.4
2022-09-27 16,44.6
2022-09-27 17,44.6
2022-09-27 18,44.6
2022-09-27 19,44.6
2022-09-27 20,44.6
2022-09-27 21,44.6
2022-09-27 22,44.6
2022-09-27 23,44.6
2022-09-28 00,44.6
2022-09-28 01,44.6
2022-09-28 02,44.6
2022-09-28 03,44.6
2022-09-28 04,44.6
2022-09-28 05,44.6
2022-09-28 06,44.6
2022-09-28 07,44.6
2022-09-28 08,44.6
2022-09-28 09,44.6
2022-09-28 10,178.4
2022-09-28 11,178.4
2022-09-28 12,178.4
2022-09-28 13,178.4
2022-09-28 14,178.4
2022-09-28 15,178.4
2022-09-28 16,44.6
2022-09-28 17,44.6
2022-09-28 18,44.6
2022-09-28 19,44.6
2022-09-28 20,44.6
2022-09-28 21,44.6
2022-09-28 22,44.6
2022-09-28 23,44.6
2022-09-29 00,44.6
2022-09-29 01,44.6
2022-09-29 02,44.6
2022-09-29 03,44.6
2022-09-29 04,44.6
2022-09-29 05,44.6
2022-09-29 06,44.6
2022-09-29 07,44.6
2022-09-29 08,44.6
2022-09-29 09,44.6
2022-09-29 10,178.4
2022-09-29 11,178.4
2022-09-29 12,178.4
2022-09-29 13,178.4
2022-09-29 14,178.4
2022-09-29 15,178.4
2022-09-29 16,44.6
2022-09-29 17,44.6
2022-09-29 18,44.6
2022-09-29 19,44.6
2022-09-29 20,44.6
2022-09-29 21,44.6
2022-09-29 22,44.6
2022-09-29 23,44.6
2022-09-30 00,44.6
2022-09-30 01,44.6
2022-09-30 02,44.6
2022-09-30 03,44.6
2022-09-30 04,44.6
2022-09-30 05,44.6
2022-09-30 06,44.6
2022-09-30 07,44.6
2022-09-30 08,44.6
2022-09-30 09,44.6
2022-09-30 10,178.4
2022-09-30 11,178.4
2022-09-30 12,178.4
2022-09-30 13,178.4
2022-09-30 14,178.4
2022-09-30 15,178.4
2022-09-30 16,44.6
2022-09-30 17,44.6
2022-09-30 18,44.6
2022-09-30 19,44.6
2022-09-30 20,44.6
2022-09-30 21,44.6
2022-09-30 22,44.6
2022-09-30 23,44.6
2022-10-01 00,44.4
2022-10-01 01,44.4
2022-10-01 02,44.4
2022-10-01 03,44.4
2022-10-01 04,44.4
2022-10-01 05,44.4
2022-10-01 06,44.4
2022-10-01 07,44.4
2022-10-01 08,44.4
2022-10-01 09,44.4
2022-10-01 10,177.6
2022-10-01 11,177.6
2022-10-01 12,177.6
2022-10-01 13,177.6
2022-10-01 14,177.6
2022-10-01 15,177.6
2022-10-01 16,44.4
2022-10-01 17,44.4
2022-10-01 18,44.4
2022-10-01 19,44.4
2022-10-01 20,44.4
2022-10-01 21,44.4
2022-10-01 22,44.4
2022-10-01 23,44.4
2022-10-02 00,44.4
2022-10-02 01,44.4
2022-10-02 02,44.4
2022-10-02 03,44.4
2022-10-02 04,44.4
2022-10-02 05,44.4
2022-10-02 06,44.4
2022-10-02 07,44.4
2022-10-02 08,44.4
2022-10-02 09,44.4
2022-10-02 10,177.6
2022-10-02 11,177.6
2022-10-02 12,177.6
2022-10-02 13,177.6
2022-10-02 14,177.6
2022-10-02 15,177.6
2022-10-02 16,44.4
2022-10-02 17,44.4
2022-10-02 18,44.4
2022-10-02 19,44.4
2022-10-02 20,44.4
2022-10-02 21,44.4
2022-10-02 22,44.4
2022-10-02 23,44.4
2022-10-03 00,44.4
2022-10-03 01,44.4
2022-10-03 02,44.4
2022-10-03 03,44.4
2022-10-03 04,44.4
2022-10-03 05,44.4
2022-10-03 06,44.4
2022-10-03 07,44.4
2022-10-03 08,44.4
2022-10-03 09,44.4
2022-10-03 10,177.6
2022-10-03 11,177.6
2022-10-03 12,177.6
2022-10-03 13,177.6
2022-10-03 14,177.6
2022-10-03 15,177.6
2022-10-03 16,44.4
2022-10-03 17,44.4
2022-10-03 18,44.4
2022-10-03 19,44.4
2022-10-03 20,44.4
2022-10-03 21,44.4
2022-10-03 22,44.4
2022-10-03 23,44.4
2022-10-04 00,44.4
2022-10-04 01,44.4
2022-10-04 02,44.4
2022-10-04 03,44.4
2022-10-04 04,44.4
2022-10-04 05,44.4
2022-10-04 06,44.4
2022-10-04 07,44.4
2022-10-04 08,44.4
2022-10-04 09,44.4
2022-10-04 10,177.6
2022-10-04 11,177.6
2022-10-04 12,177.6
2022-10-04 13,177.6
2022-10-04 14,177.6
2022-10-04 15,177.6
2022-10-04 16,44.4
2022-10-04 17,44.4
2022-10-04 18,44.4
2022-10-04 19,44.4
2022-10-04 20,44.4
2022-10-04 21,44.4
2022-10-04 22,44.4
2022-10-04 23,44.4
2022-10-05 00,44.4
2022-10-05 01,44.4
2022-10-05 02,44.4
2022-10-05 03,44.4
2022-10-05 04,44.4
2022-10-05 05,44.4
2022-10-05 06,44.4
2022-10-05 07,44.4
2022-10-05 08,44.4
2022-10-05 09,44.4
2022-10-05 10,177.6
2022-10-05 11,177.6
2022-10-05 12,177.6
2022-10-05 13,177.6
2022-10-05 14,177.6
2022-10-05 15,177.6
2022-10-05 16,44.4
2022-10-05 17,44.4
2022-10-05 18,44.4
2022-10-05 19,44.4
2022-10-05 20,44.4
2022-10-05 21,44.4
2022-10-05 22,44.4
2022-10-05 23,44.4
2022-10-06 00,44.4
2022-10-06 01,44.4
2022-10-06 02,44.4
2022-10-06 03,44.4
2022-10-06 04,44.4
2022-10-06 05,44.4
2022-10-06 06,44.4
2022-10-06 07,44.4
2022-10-06 08,44.4
2022-10-06 09,44.4
2022-10-06 10,177.6
2022-10-06 11,177.6
2022-10-06 12,177.6
2022-10-06 13,177.6
2022-10-06 14,177.6
2022-10-06 15,177.6
2022-10-06 16,44.4
2022-10-06 17,44.4
2022-10-06 18,44.4
2022-10-06 19,44.4
2022-10-06 20,44.4
2022-10-06 21,44.4
2022-10-06 22,44.4
2022-10-06 23,44.4
2022-10-07 00,44.4
2022-10-07 01,44.4
2022-10-07 02,44.4
2022-10-07 03,44.4
2022-10-07 04,44.4
2022-10-07 05,44.4
2022-10-07 06,44.4
2022-10-07 07,44.4
2022-10-07 08,44.4
2022-10-07 09,44.4
2022-10-07 10,177.6
2022-10-07 11,177.6
2022-10-07 12,177.6
2022-10-07 13,177.6
2022-10-07 14,177.6
2022-10-07 15,177.6
2022-10-07 16,44.4
2022-10-07 17,44.4
2022-10-07 18,44.4
2022-10-07 19,44.4
2022-10-07 20,44.4
2022-10-07 21,44.4
2022-10-07 22,44.4
2022-10-07 23,44.4
2022-10-08 00,44.4
2022-10-08 01,44.4
2022-10-08 02,44.4
2022-10-08 03,44.4
2022-10-08 04,44.4
2022-10-08 05,44.4
2022-10-08 06,44.4
2022-10-08 07,44.4
2022-10-08 08,44.4
2022-10-08 09,44.4
2022-10-08 10,177.6
2022-10-08 11,177.6
2022-10-08 12,177.6
2022-10-08 13,177.6
2022-10-08 14,177.6
2022-10-08 15,177.6
2022-10-08 16,44.4
2022-10-08 17,44.4
2022-10-08 18,44.4
2022-10-08 19,44.4
2022-10-08 20,44.4
2022-10-08 21,44.4
2022-10-08 22,44.4
2022-10-08 23,44.4
2022-10-09 00,44.4
2022-10-09 01,44.4
2022-10-09 02,44.4
