Time (UTC), WUE (L/kWh)
2022-09-22 00,3.818345769879773
2022-09-22 01,3.8598740162120926
2022-09-22 02,3.8887351011536664
2022-09-22 03,3.816290664794658
2022-09-22 04,3.8308873094350138
2022-09-22 05,3.848084939897711
2022-09-22 06,4.028587371177429
2022-09-22 07,4.336015944011647
2022-09-22 08,4.6025322141256595
2022-09-22 09,4.7734252700127895
2022-09-22 10,4.764177889694923
2022-09-22 11,4.801432812833432
2022-09-22 12,4.643833087804164
2022-09-22 13,4.70189515761346
2022-09-22 14,4.509278653085456
2022-09-22 15,4.662347529752277
2022-09-22 16,4.564609909248649
2022-09-22 17,4.60685816023632
2022-09-22 18,4.597743624890009
2022-09-22 19,4.480079722282501
2022-09-22 20,4.295892261868263
2022-09-22 21,4.219713312573889
2022-09-22 22,4.1546677639234435
2022-09-22 23,3.9443140095694993
2022-09-23 00,3.8121709677726576
2022-09-23 01,3.8507447297174067
2022-09-23 02,3.7843320687280433
2022-09-23 03,3.712199581071655
2022-09-23 04,3.6445004170848416
2022-09-23 05,3.5361177989998027
2022-09-23 06,3.8644423724215646
2022-09-23 07,4.194872659603298
2022-09-23 08,4.645675521402238
2022-09-23 09,4.699096154221374
2022-09-23 10,4.736344555741724
2022-09-23 11,4.734243220156386
2022-09-23 12,4.762799646776351
2022-09-23 13,4.791717012717413
2022-09-23 14,4.7118211349101005
2022-09-23 15,4.893847526408102
2022-09-23 16,4.914733205367152
2022-09-23 17,4.900815253872026
2022-09-23 18,4.8328972853468155
2022-09-23 19,4.671287402901794
2022-09-23 20,4.653808151256133
2022-09-23 21,4.5457388260283675
2022-09-23 22,4.486913650229124
2022-09-23 23,4.44969361229572
2022-09-24 00,4.358727748427771
2022-09-24 01,4.38706315424505
2022-09-24 02,4.288418638040265
2022-09-24 03,4.314069264153277
2022-09-24 04,4.333695575386651
2022-09-24 05,4.266484156092649
2022-09-24 06,4.449101057525305
2022-09-24 07,4.683725269837706
2022-09-24 08,4.898950894632929
2022-09-24 09,4.996424132791395
2022-09-24 10,5.2061848595248135
2022-09-24 11,5.267564943935634
2022-09-24 12,5.219916441216219
2022-09-24 13,5.216390406107281
2022-09-24 14,5.119173887677063
2022-09-24 15,5.22822840323736
2022-09-24 16,5.168621116168119
2022-09-24 17,5.0696892684550745
2022-09-24 18,5.063575350718315
2022-09-24 19,5.00147909752929
2022-09-24 20,4.947592463963362
2022-09-24 21,5.040100630770407
2022-09-24 22,4.981603878583269
2022-09-24 23,5.00054690048726
2022-09-25 00,4.968263383955808
2022-09-25 01,5.000770609617868
2022-09-25 02,4.907814146842941
2022-09-25 03,4.930586188701035
2022-09-25 04,4.8909588133837545
2022-09-25 05,4.852339409696115
2022-09-25 06,4.85824741476715
2022-09-25 07,4.834954565723542
2022-09-25 08,4.876118659094438
2022-09-25 09,4.987912849094026
2022-09-25 10,5.097205872592544
2022-09-25 11,5.257565900795614
2022-09-25 12,5.3568320386215085
2022-09-25 13,5.35031679399885
2022-09-25 14,5.453150633797349
2022-09-25 15,5.491416541916427
2022-09-25 16,5.476348288036758
2022-09-25 17,5.52718811896921
2022-09-25 18,5.466751227080335
2022-09-25 19,5.405212902801533
2022-09-25 20,5.336688235410586
2022-09-25 21,5.272277402757601
2022-09-25 22,5.406241268550733
2022-09-25 23,5.278695836162126
2022-09-26 00,5.3088671726017465
2022-09-26 01,5.343541259980952
2022-09-26 02,5.274710291898769
2022-09-26 03,5.300615088011406
2022-09-26 04,5.284061413934532
2022-09-26 05,5.352382349194672
2022-09-26 06,5.3490235204436605
2022-09-26 07,5.4250955840757005
2022-09-26 08,5.4242442210540815
2022-09-26 09,5.336662725651535
2022-09-26 10,5.3858993136785855
2022-09-26 11,5.34494665528213
2022-09-26 12,5.4140004421669286
2022-09-26 13,5.415415003996207
2022-09-26 14,5.379862896590673
2022-09-26 15,5.370460415484603
2022-09-26 16,5.515564485236537
2022-09-26 17,5.3153023227267004
2022-09-26 18,5.2122481447344695
2022-09-26 19,5.124136346414851
2022-09-26 20,5.07068202265593
2022-09-26 21,4.942042174330311
2022-09-26 22,4.9493340147981
2022-09-26 23,4.926123457109512
2022-09-27 00,4.875047475398589
2022-09-27 01,4.9043927189246155
2022-09-27 02,4.802716983099531
2022-09-27 03,4.71069538630763
2022-09-27 04,4.6172842201441755
2022-09-27 05,4.684107087901704
