Time (UTC), WUE (L/kWh)
2022-09-22 00,6.48787763381412
2022-09-22 01,6.541326462662023
2022-09-22 02,6.530750391985166
2022-09-22 03,6.574854190647643
2022-09-22 04,6.567149797860108
2022-09-22 05,6.419579623057075
2022-09-22 06,6.41382044091791
2022-09-22 07,6.473955193629555
2022-09-22 08,6.321937283319716
2022-09-22 09,6.330362466644662
2022-09-22 10,6.256268360564589
2022-09-22 11,6.209841988262056
2022-09-22 12,6.260988409598951
2022-09-22 13,6.216342897231504
2022-09-22 14,6.209013120944299
2022-09-22 15,6.187570018452041
2022-09-22 16,6.170401186681119
2022-09-22 17,6.22804696175608
2022-09-22 18,6.37272027657788
2022-09-22 19,6.305455124865528
2022-09-22 20,6.426061660334948
2022-09-22 21,6.194932134154408
2022-09-22 22,6.1565569374521
2022-09-22 23,6.319734676889469
2022-09-23 00,6.359061923591301
2022-09-23 01,6.398712547813525
2022-09-23 02,6.433429490234109
2022-09-23 03,6.457990770515428
2022-09-23 04,6.479595923613317
2022-09-23 05,6.500422977087817
2022-09-23 06,6.4171960179455345
2022-09-23 07,6.394741625288155
2022-09-23 08,6.403526839111611
2022-09-23 09,6.409722490842795
2022-09-23 10,6.410852188620184
2022-09-23 11,6.38259693403616
2022-09-23 12,6.286935456843869
2022-09-23 13,6.262046535324991
2022-09-23 14,6.359276581973401
2022-09-23 15,6.303744976243718
2022-09-23 16,6.35435716276756
2022-09-23 17,6.405184171330231
2022-09-23 18,6.426247212389975
2022-09-23 19,6.265000376288341
2022-09-23 20,6.412892990918016
2022-09-23 21,6.29293170936097
2022-09-23 22,6.23812513329014
2022-09-23 23,6.480321252137408
2022-09-24 00,6.452074539274209
2022-09-24 01,6.407991284745469
2022-09-24 02,6.477663610787484
2022-09-24 03,6.526686213401015
2022-09-24 04,6.460189467047515
2022-09-24 05,6.4386178144489605
2022-09-24 06,6.328921362247488
2022-09-24 07,6.302683885858416
2022-09-24 08,6.309159341226046
2022-09-24 09,6.312797659269988
2022-09-24 10,6.402606063185621
2022-09-24 11,6.432147478231823
2022-09-24 12,6.395553967470425
2022-09-24 13,6.479104156636884
2022-09-24 14,6.384739267241201
2022-09-24 15,6.4674833500547475
2022-09-24 16,6.508055419079721
2022-09-24 17,6.38382512183184
2022-09-24 18,6.339420938143482
2022-09-24 19,6.530770337822584
2022-09-24 20,6.349187779037862
2022-09-24 21,6.494371364584681
2022-09-24 22,6.602124185251903
2022-09-24 23,6.616405565277022
2022-09-25 00,6.497983259135687
2022-09-25 01,6.3481298717578785
2022-09-25 02,6.362783994549761
2022-09-25 03,6.385817020402325
2022-09-25 04,6.393863821424322
2022-09-25 05,6.309030088857042
2022-09-25 06,6.336720947046519
2022-09-25 07,6.343035107743036
2022-09-25 08,6.324096181721973
2022-09-25 09,6.327455099291277
2022-09-25 10,6.358048241942905
2022-09-25 11,6.3470445097828625
2022-09-25 12,6.415602354699916
2022-09-25 13,6.300479709696918
2022-09-25 14,6.447589672385016
2022-09-25 15,6.3868179810720935
2022-09-25 16,6.3598307492781085
2022-09-25 17,6.452244185050669
2022-09-25 18,6.499002104467421
2022-09-25 19,6.424386877142835
2022-09-25 20,6.476969523156243
2022-09-25 21,5.971333245809165
2022-09-25 22,6.037354340765204
2022-09-25 23,6.202240534855609
2022-09-26 00,6.334873953169538
2022-09-26 01,6.354681585765238
2022-09-26 02,6.337633473398804
2022-09-26 03,6.3637641462557895
2022-09-26 04,6.3661783553014155
2022-09-26 05,6.310669255498185
2022-09-26 06,6.32514198188926
2022-09-26 07,6.296713006739403
2022-09-26 08,6.300133738820415
2022-09-26 09,6.299721416614872
2022-09-26 10,6.297667722281545
2022-09-26 11,6.2786681692269815
2022-09-26 12,6.2471113407443255
2022-09-26 13,6.3677390928484465
2022-09-26 14,6.345624570385323
2022-09-26 15,6.396609065684622
2022-09-26 16,6.359965742361917
2022-09-26 17,6.3917634739450975
2022-09-26 18,6.2407668363477455
2022-09-26 19,6.280926325159207
2022-09-26 20,6.3311613830600555
2022-09-26 21,6.270108554795462
2022-09-26 22,6.195388736692731
2022-09-26 23,6.367099465808111
