Time (UTC), WUE (L/kWh)
2022-09-22 00,4.028608573658843
2022-09-22 01,4.026922925958997
2022-09-22 02,4.033886542729073
2022-09-22 03,4.125700720493268
2022-09-22 04,4.263690997054735
2022-09-22 05,4.395456327455024
2022-09-22 06,4.386738328248582
2022-09-22 07,4.577261184703654
2022-09-22 08,4.570878988378284
2022-09-22 09,4.433902336845894
2022-09-22 10,4.16358019926633
2022-09-22 11,4.166330033180351
2022-09-22 12,4.166988378675468
2022-09-22 13,4.092390098282925
2022-09-22 14,4.077257739025291
2022-09-22 15,4.1336676041160105
2022-09-22 16,4.133109749717578
2022-09-22 17,4.029493441099638
2022-09-22 18,4.035512363981856
2022-09-22 19,3.994441462259201
2022-09-22 20,3.9491759133125957
2022-09-22 21,3.9047987022716417
2022-09-22 22,3.903863306866877
2022-09-22 23,3.788476224220917
2022-09-23 00,3.7286391861668777
2022-09-23 01,3.72098613790765
2022-09-23 02,3.603509016950756
2022-09-23 03,3.615080589134093
2022-09-23 04,3.6230360899534695
2022-09-23 05,3.707068858912127
2022-09-23 06,3.878616644898618
2022-09-23 07,4.048396710541617
2022-09-23 08,4.153662084066274
2022-09-23 09,4.14417098575188
2022-09-23 10,4.126356359524055
2022-09-23 11,4.179629967635276
2022-09-23 12,4.1054792551337
2022-09-23 13,4.0618774756305225
2022-09-23 14,4.01298260904226
2022-09-23 15,4.070902269758077
2022-09-23 16,3.995240630583053
2022-09-23 17,3.9277072158473683
2022-09-23 18,3.9966177270121928
2022-09-23 19,3.89626452838104
2022-09-23 20,3.9310913050730987
2022-09-23 21,3.8230201110404165
2022-09-23 22,3.7316432746837216
2022-09-23 23,3.7336512674715476
2022-09-24 00,3.768711937982923
2022-09-24 01,3.7663575859858485
2022-09-24 02,3.903583580481292
2022-09-24 03,3.9035231116684517
2022-09-24 04,3.9670802417552316
2022-09-24 05,3.967007394651825
2022-09-24 06,4.025945626343344
2022-09-24 07,4.103124465904095
2022-09-24 08,4.259595303978021
2022-09-24 09,4.320552182931238
2022-09-24 10,4.33955845497708
2022-09-24 11,4.170123369019175
2022-09-24 12,4.3298776315121
2022-09-24 13,4.302591348743674
2022-09-24 14,4.18898976528461
2022-09-24 15,4.210154550402866
2022-09-24 16,4.082260918997188
2022-09-24 17,3.9669776907086187
2022-09-24 18,3.937481096478247
2022-09-24 19,4.021174669154356
2022-09-24 20,4.059816435535389
2022-09-24 21,4.017400899032584
2022-09-24 22,4.020686806912003
2022-09-24 23,3.921196310106058
2022-09-25 00,3.9156777929169646
2022-09-25 01,3.920014509358264
2022-09-25 02,3.8131725163923775
2022-09-25 03,3.8325373259000366
2022-09-25 04,3.608656261474776
2022-09-25 05,3.7354279848845757
2022-09-25 06,3.8971138215382446
2022-09-25 07,4.0639530818486005
2022-09-25 08,3.9777044259709937
2022-09-25 09,3.975263115500878
2022-09-25 10,4.023294293978397
2022-09-25 11,3.9634572432910704
2022-09-25 12,4.055544719210229
2022-09-25 13,4.058599518821723
2022-09-25 14,3.8871902970590586
2022-09-25 15,3.9067990603283143
2022-09-25 16,3.9185270174835374
2022-09-25 17,3.818348943744499
2022-09-25 18,3.739550485981616
2022-09-25 19,3.9784557309943875
2022-09-25 20,3.804882563615695
2022-09-25 21,3.7024499098486117
2022-09-25 22,3.6505553055095428
2022-09-25 23,3.6530055809867914
2022-09-26 00,3.60529052133123
2022-09-26 01,3.65364656198388
2022-09-26 02,3.681117791663822
2022-09-26 03,3.655186964037565
2022-09-26 04,3.6516309348928586
2022-09-26 05,3.65065080468626
2022-09-26 06,3.8059386813428713
2022-09-26 07,3.752939251584344
2022-09-26 08,3.874055754233589
2022-09-26 09,3.860192811233192
2022-09-26 10,3.954131404862183
2022-09-26 11,4.016880278065094
2022-09-26 12,3.998628466440052
2022-09-26 13,3.9379832845952865
2022-09-26 14,3.9600330724220285
2022-09-26 15,3.8937348479183447
2022-09-26 16,3.8589719847758657
2022-09-26 17,3.8435670375961313
2022-09-26 18,3.864256641802891
2022-09-26 19,3.7081593972678526
2022-09-26 20,3.75467220852257
2022-09-26 21,3.6506461843148874
2022-09-26 22,3.637824858954794
2022-09-26 23,3.6206842767058234
2022-09-27 00,3.555879146668797
2022-09-27 01,3.3561661422976385
2022-09-27 02,3.425829193146717
2022-09-27 03,3.3789063720301753
2022-09-27 04,3.453508644252643
2022-09-27 05,3.4575333024914725
2022-09-27 06,3.6407573549042542
2022-09-27 07,3.690858523378433
2022-09-27 08,3.6728712123023244
2022-09-27 09,3.677036622026861
2022-09-27 10,3.6735841365087207
2022-09-27 11,3.782469198068579
2022-09-27 12,3.7406211653774397
2022-09-27 13,3.744382375124913
2022-09-27 14,3.7925674817841704
2022-09-27 15,3.776871395146108
2022-09-27 16,3.7674444207866684
2022-09-27 17,3.836211725268362
2022-09-27 18,3.9190094797242585
2022-09-27 19,3.940469969597136
2022-09-27 20,3.9809128757304033
2022-09-27 21,3.9823916047024874
2022-09-27 22,3.9818099913585616
2022-09-27 23,4.058591009349952
2022-09-28 00,4.050188441184942
2022-09-28 01,4.054929126354695
2022-09-28 02,4.054434558460398
2022-09-28 03,4.061941327181771
2022-09-28 04,4.064186645830294
2022-09-28 05,4.010391397092921
2022-09-28 06,4.01925372534565
2022-09-28 07,4.0160754674452095
2022-09-28 08,3.9879321521929154
2022-09-28 09,4.088862071922592
2022-09-28 10,3.963927873029216
2022-09-28 11,3.8353535675083013
2022-09-28 12,3.8509770810402735
2022-09-28 13,3.961621013884089
