Time (UTC), WUE (L/kWh)
2022-09-22 00,3.709120140496265
2022-09-22 01,3.7868174625472326
2022-09-22 02,3.812571020044029
2022-09-22 03,3.759766230188852
2022-09-22 04,3.6832281365822155
2022-09-22 05,3.680585350678813
2022-09-22 06,3.768100426442728
2022-09-22 07,4.063588876379294
2022-09-22 08,4.1281095054708405
2022-09-22 09,4.252321554720718
2022-09-22 10,4.203897987198057
2022-09-22 11,4.226819281694892
2022-09-22 12,4.358544123280552
2022-09-22 13,4.361509023710949
2022-09-22 14,4.342496285516267
2022-09-22 15,4.210658204905067
2022-09-22 16,4.192513503497045
2022-09-22 17,4.328422291833303
2022-09-22 18,4.278249116415827
2022-09-22 19,4.341882203760997
2022-09-22 20,4.193109723428309
2022-09-22 21,4.139741594176634
2022-09-22 22,4.149674717361161
2022-09-22 23,4.028512011747249
2022-09-23 00,3.960956110621877
2022-09-23 01,3.7446098972932527
2022-09-23 02,3.579763334592572
2022-09-23 03,3.4814555581306594
2022-09-23 04,3.3768240026631045
2022-09-23 05,3.3490421037092384
2022-09-23 06,3.7247464953640574
2022-09-23 07,4.147675300812413
2022-09-23 08,4.186818835263033
2022-09-23 09,4.324348081862561
2022-09-23 10,4.45206309409104
2022-09-23 11,4.480327301649093
2022-09-23 12,4.539026602388052
2022-09-23 13,4.583848091464992
2022-09-23 14,4.572110013843458
2022-09-23 15,4.520722629484792
2022-09-23 16,4.593662987679644
2022-09-23 17,4.541777375484429
2022-09-23 18,4.536249281403928
2022-09-23 19,4.516734902323254
2022-09-23 20,4.492057705670844
2022-09-23 21,4.48116988856098
2022-09-23 22,4.4748771705946595
2022-09-23 23,4.420555383878013
2022-09-24 00,4.329268508831749
2022-09-24 01,4.318078538788468
2022-09-24 02,4.345732377933508
2022-09-24 03,4.3766454340361225
2022-09-24 04,4.366072253193309
2022-09-24 05,4.246853368998546
2022-09-24 06,4.389343504523945
2022-09-24 07,4.375562685086625
2022-09-24 08,4.441260640837346
2022-09-24 09,4.547537552257133
2022-09-24 10,4.672574076891768
2022-09-24 11,4.787231298506765
2022-09-24 12,5.017827253286148
2022-09-24 13,5.0825289704288705
2022-09-24 14,5.127545878568063
2022-09-24 15,5.108500367879898
2022-09-24 16,5.124783029841883
2022-09-24 17,5.164598033244131
2022-09-24 18,5.239128945642014
2022-09-24 19,5.197425408130892
2022-09-24 20,5.056706862934931
2022-09-24 21,5.093694273911146
2022-09-24 22,5.024013736420497
2022-09-24 23,5.02167386095745
2022-09-25 00,4.990390267494255
