Time (UTC), WUE (L/kWh)
2022-09-22 00,2.5820960185601827
2022-09-22 01,2.7327664624425414
2022-09-22 02,2.7963760022791275
2022-09-22 03,2.7675057266603815
2022-09-22 04,2.7567527393818456
2022-09-22 05,2.747472523832867
2022-09-22 06,2.7581857573749553
2022-09-22 07,2.7618841015733633
2022-09-22 08,2.7561277790962686
2022-09-22 09,2.7710909630025773
2022-09-22 10,2.7757330348732
2022-09-22 11,2.7671806052863808
2022-09-22 12,2.7555973725606364
2022-09-22 13,2.7245163526712664
2022-09-22 14,2.707491767578478
2022-09-22 15,2.627363849004115
2022-09-22 16,2.418638013085955
2022-09-22 17,2.302048203062411
2022-09-22 18,2.2657670586935463
2022-09-22 19,2.2582699842489316
2022-09-22 20,2.2551863628588458
2022-09-22 21,2.2547410086474087
2022-09-22 22,2.338179290508081
2022-09-22 23,2.4327918641581054
2022-09-23 00,2.5932108598890817
2022-09-23 01,2.790486398182999
2022-09-23 02,2.913544579510666
2022-09-23 03,2.957981231609108
2022-09-23 04,3.013572556000044
2022-09-23 05,3.0771897656601395
2022-09-23 06,3.137826227303833
2022-09-23 07,3.2132976253385843
2022-09-23 08,3.228966391895984
2022-09-23 09,3.248643547769954
2022-09-23 10,3.2615842106556903
2022-09-23 11,3.2768470845740114
2022-09-23 12,3.2943151523971483
2022-09-23 13,3.2874170428045364
2022-09-23 14,3.280368455720871
2022-09-23 15,3.227563458878179
2022-09-23 16,3.066675374783946
2022-09-23 17,2.9637865966688013
2022-09-23 18,2.961565429285362
2022-09-23 19,2.9763011067349376
2022-09-23 20,2.977145288296188
2022-09-23 21,3.0076640948364117
2022-09-23 22,3.0152845133721735
2022-09-23 23,3.0808794245579203
2022-09-24 00,3.1792945694830093
2022-09-24 01,3.349586515384827
2022-09-24 02,3.3987331594138412
2022-09-24 03,3.4137864303039813
2022-09-24 04,3.425811605983875
2022-09-24 05,3.4424021307481154
2022-09-24 06,3.4688969207708036
2022-09-24 07,3.4913711024596465
2022-09-24 08,3.5124252116461223
2022-09-24 09,3.5283474666429955
2022-09-24 10,3.537987833784064
2022-09-24 11,3.556276949343678
2022-09-24 12,3.5618970805924053
2022-09-24 13,3.5501877044751646
2022-09-24 14,3.5441965706872347
2022-09-24 15,3.4899169507894383
2022-09-24 16,3.3516394197677233
2022-09-24 17,3.2961540867861463
2022-09-24 18,3.2949617144469237
2022-09-24 19,3.3157919761698267
2022-09-24 20,3.313964114919019
