Time (UTC), WUE (L/kWh)
2022-09-22 00,2.7771311034968207
2022-09-22 01,2.5601023886789376
2022-09-22 02,2.220972969797147
2022-09-22 03,2.2490486166232957
2022-09-22 04,2.2723578569799727
2022-09-22 05,2.2156549105033014
2022-09-22 06,2.399800980706213
2022-09-22 07,2.4017914671140357
2022-09-22 08,2.3999365195064732
2022-09-22 09,2.629436394589314
2022-09-22 10,2.889595079008459
2022-09-22 11,3.1421185882747813
2022-09-22 12,3.2458826960019245
2022-09-22 13,3.3080841329485935
2022-09-22 14,3.3244919729295237
2022-09-22 15,3.3852399339224215
2022-09-22 16,3.41276079576582
2022-09-22 17,3.565629874490451
2022-09-22 18,3.456048672242965
2022-09-22 19,3.425805109981182
2022-09-22 20,3.3061822678634742
2022-09-22 21,3.312618997662822
2022-09-22 22,3.330735519475355
2022-09-22 23,3.3844319950754933
2022-09-23 00,3.4108499747810583
2022-09-23 01,3.2591475138306816
2022-09-23 02,3.254979545721172
2022-09-23 03,3.4040486590272647
2022-09-23 04,3.045493420981848
2022-09-23 05,2.6088424026755224
2022-09-23 06,2.2905387323743422
2022-09-23 07,2.289638770652348
2022-09-23 08,2.615417684670759
2022-09-23 09,3.061125085106179
2022-09-23 10,3.196584861084805
2022-09-23 11,3.415128109182535
2022-09-23 12,3.4738093284404066
2022-09-23 13,3.559999317787354
2022-09-23 14,3.5414787580291396
2022-09-23 15,3.557115419333531
2022-09-23 16,3.5674402573248853
2022-09-23 17,3.5455460560208545
2022-09-23 18,3.312177351099407
2022-09-23 19,2.9493955854149854
2022-09-23 20,2.902269779788983
2022-09-23 21,2.6939079099230723
2022-09-23 22,2.4723569713326645
2022-09-23 23,2.5333762238724686
2022-09-24 00,2.2279620436322554
2022-09-24 01,2.2232165711860326
2022-09-24 02,2.5462293290323164
2022-09-24 03,1.4894578270808556
2022-09-24 04,1.9207627232745543
2022-09-24 05,1.5494432368639577
2022-09-24 06,1.8132711153750443
2022-09-24 07,1.4894212085254082
2022-09-24 08,2.185413196618281
2022-09-24 09,2.370440089433213
2022-09-24 10,3.0287613152303736
2022-09-24 11,3.275508719138784
2022-09-24 12,3.4148934848076102
2022-09-24 13,3.5993351495942063
2022-09-24 14,3.4278663546074624
2022-09-24 15,3.3589135837100454
2022-09-24 16,3.54237808495478
2022-09-24 17,3.4301902591719573
2022-09-24 18,3.112983293518395
2022-09-24 19,3.005403954642398
2022-09-24 20,2.6427161319691845
2022-09-24 21,2.818585629296387
2022-09-24 22,2.691718872810301
2022-09-24 23,2.735757945964707
2022-09-25 00,2.447596175830026
2022-09-25 01,2.4458581961704513
2022-09-25 02,2.24613985988872
2022-09-25 03,1.908264885314515
2022-09-25 04,1.9424589932219027
2022-09-25 05,1.9634390650597013
2022-09-25 06,1.9764671865854084
2022-09-25 07,1.9822782394717282
