Time (UTC), WUE (L/kWh)
2022-09-22 00,4.73305495911716
2022-09-22 01,4.777516669069409
2022-09-22 02,4.888262428363852
2022-09-22 03,4.935423396860214
2022-09-22 04,4.932191424604155
2022-09-22 05,4.95858152658346
2022-09-22 06,4.949337033591322
2022-09-22 07,4.966865076670512
2022-09-22 08,4.9763060506767065
2022-09-22 09,4.992903021341981
2022-09-22 10,5.015445910690794
2022-09-22 11,5.025563905266479
2022-09-22 12,5.021477534070977
2022-09-22 13,5.0308581098395315
2022-09-22 14,5.03273107835385
2022-09-22 15,4.918787151832484
2022-09-22 16,4.7843495669342975
2022-09-22 17,4.764082552501382
2022-09-22 18,4.779659413160149
2022-09-22 19,4.7929315253642075
2022-09-22 20,4.800076154135231
2022-09-22 21,4.813066786597124
2022-09-22 22,4.840560964310078
2022-09-22 23,4.865638130414118
2022-09-23 00,4.8833309858052125
2022-09-23 01,4.93326638883168
2022-09-23 02,5.065498412051526
2022-09-23 03,5.136997821662996
2022-09-23 04,5.170949616624549
2022-09-23 05,5.189897338373786
2022-09-23 06,5.2205548532619295
2022-09-23 07,5.263575918967387
2022-09-23 08,5.3123933719049505
2022-09-23 09,5.3399253313265955
2022-09-23 10,5.3416648973234935
2022-09-23 11,5.360690713818735
2022-09-23 12,5.395543221986291
2022-09-23 13,5.437200581210159
2022-09-23 14,5.432638445738489
2022-09-23 15,5.2873181719049285
2022-09-23 16,5.094173230024791
2022-09-23 17,5.0167804374697225
2022-09-23 18,5.004669334696634
2022-09-23 19,5.025885619571625
2022-09-23 20,5.040440582789859
2022-09-23 21,5.0514853164849445
2022-09-23 22,5.056090755244418
2022-09-23 23,5.069620083654977
2022-09-24 00,5.0912521072519645
2022-09-24 01,5.14427053547339
2022-09-24 02,5.27949560611928
2022-09-24 03,5.297822326452582
2022-09-24 04,5.2801137277713845
2022-09-24 05,5.304734535158696
2022-09-24 06,5.313420462240941
2022-09-24 07,5.33714621479346
2022-09-24 08,5.359291586240282
2022-09-24 09,5.382218518380828
2022-09-24 10,5.373016681642149
2022-09-24 11,5.367729604520028
2022-09-24 12,5.367579785907811
2022-09-24 13,5.364289691743819
2022-09-24 14,5.329576948454451
2022-09-24 15,5.187106997005449
2022-09-24 16,5.034545818914089
2022-09-24 17,4.963489278505072
2022-09-24 18,4.952062201388174
2022-09-24 19,4.956947022253375
2022-09-24 20,4.9562835067344375
2022-09-24 21,4.9625444717732154
2022-09-24 22,4.958199306038957
2022-09-24 23,4.957821194694364
2022-09-25 00,4.9789852863084905
2022-09-25 01,5.052024852359713
2022-09-25 02,5.144329605062974
2022-09-25 03,5.162388273149936
2022-09-25 04,5.163179498583865
2022-09-25 05,5.15343468582874
2022-09-25 06,5.160353547334455
2022-09-25 07,5.194755995695134
2022-09-25 08,5.216317130793128
2022-09-25 09,5.259062835644852
2022-09-25 10,5.2298823894490605
2022-09-25 11,5.229408816974288
2022-09-25 12,5.256757929757865
2022-09-25 13,5.254335196709471
2022-09-25 14,5.21746965249625
2022-09-25 15,5.061812100060525
2022-09-25 16,4.852616897635301
2022-09-25 17,4.766127936070693
2022-09-25 18,4.751557231945515
2022-09-25 19,4.718064505055415
2022-09-25 20,4.712381315826451
2022-09-25 21,4.709022584480973
2022-09-25 22,4.69205037566336
2022-09-25 23,4.688727411276533
