Time (UTC), WUE (L/kWh)
2022-09-22 00,6.959994615601741
2022-09-22 01,7.041830047350052
2022-09-22 02,7.053754521210234
2022-09-22 03,7.473448457408262
2022-09-22 04,7.654221174325103
2022-09-22 05,7.502261886818431
2022-09-22 06,7.685347169471971
2022-09-22 07,7.522841423332764
2022-09-22 08,7.287525607269085
2022-09-22 09,7.205385567411278
2022-09-22 10,7.6062327432216605
2022-09-22 11,7.518765024165492
2022-09-22 12,7.512673158622872
2022-09-22 13,7.410891032624519
2022-09-22 14,7.387839299014113
2022-09-22 15,7.369769854178221
2022-09-22 16,7.0367581396884145
2022-09-22 17,7.030208696823905
2022-09-22 18,7.03514579278446
2022-09-22 19,6.308657860657607
2022-09-22 20,6.406042838518221
2022-09-22 21,6.658164856027836
2022-09-22 22,6.655131020314084
2022-09-22 23,6.658644089025278
2022-09-23 00,6.880503196875188
2022-09-23 01,7.043546765677163
2022-09-23 02,7.127898829151838
2022-09-23 03,7.220449138615827
2022-09-23 04,7.306407482521286
2022-09-23 05,7.396360556039268
2022-09-23 06,7.402325217120181
2022-09-23 07,7.177242772247004
2022-09-23 08,6.975366259372239
2022-09-23 09,7.186215293847301
2022-09-23 10,7.099697190095952
2022-09-23 11,6.883463106449614
2022-09-23 12,6.803581215407141
2022-09-23 13,6.994962935191938
2022-09-23 14,6.772944157063521
2022-09-23 15,6.960360437543077
2022-09-23 16,6.8813949632586935
2022-09-23 17,7.1008886697034
2022-09-23 18,7.092839061713676
2022-09-23 19,7.087402855578039
2022-09-23 20,7.15848584217882
2022-09-23 21,6.627104985256141
2022-09-23 22,6.699895267073806
2022-09-23 23,6.704072436016623
2022-09-24 00,6.4558953054170125
2022-09-24 01,6.660911350999269
2022-09-24 02,6.746359778549568
2022-09-24 03,7.052480463468782
2022-09-24 04,7.226770049580311
2022-09-24 05,7.092260916735539
2022-09-24 06,6.975775333204693
2022-09-24 07,7.495546787644658
2022-09-24 08,7.048703050561726
2022-09-24 09,7.262287468478997
2022-09-24 10,6.968147432908733
2022-09-24 11,6.9665247060861
2022-09-24 12,6.872356576848202
2022-09-24 13,6.984514518302074
2022-09-24 14,6.968887583711974
2022-09-24 15,6.9656113256408565
2022-09-24 16,6.891004045255103
2022-09-24 17,7.040601739729229
2022-09-24 18,7.117642809127725
2022-09-24 19,7.02985163703447
2022-09-24 20,7.258216729333701
2022-09-24 21,6.5211681026678425
2022-09-24 22,6.639316113813525
2022-09-24 23,6.549521252494524
2022-09-25 00,6.553586882380477
2022-09-25 01,6.849067280183167
2022-09-25 02,7.013692122821954
2022-09-25 03,7.349039908636513
2022-09-25 04,7.198923641886928
2022-09-25 05,7.053506456437016
2022-09-25 06,7.624127985969542
2022-09-25 07,7.297259321225235
2022-09-25 08,7.0775586508617945
2022-09-25 09,7.078092815630637
2022-09-25 10,7.07563646284879
2022-09-25 11,7.073299259525785
2022-09-25 12,7.222710341022308
2022-09-25 13,7.211441455717783
2022-09-25 14,7.1944506175294505
2022-09-25 15,7.09478134828575
2022-09-25 16,6.866079644739436
2022-09-25 17,7.089685408448899
2022-09-25 18,7.009485847588508
2022-09-25 19,7.08190073562151
2022-09-25 20,7.2343202947036715
2022-09-25 21,7.234683241132959
2022-09-25 22,7.075927691298088
2022-09-25 23,6.779507702407484
2022-09-26 00,7.01381423835976
2022-09-26 01,7.101632546752786
2022-09-26 02,7.199323816511306
2022-09-26 03,7.217825184949813
2022-09-26 04,7.307912984396456
2022-09-26 05,7.4086583170639635
2022-09-26 06,7.182390988778815
2022-09-26 07,7.243037726461573
2022-09-26 08,7.170720547915809
2022-09-26 09,7.2532883652791265
2022-09-26 10,7.249782620354395
2022-09-26 11,7.162307929068002
2022-09-26 12,7.075209201850018
2022-09-26 13,6.9819605824250495
2022-09-26 14,7.19006125469085
2022-09-26 15,7.1794862849439784
2022-09-26 16,7.096835266310659
2022-09-26 17,7.172670435082397
2022-09-26 18,7.100838863345533
2022-09-26 19,6.888761664056674
2022-09-26 20,6.884510941727228
2022-09-26 21,7.013652434926254
2022-09-26 22,7.015515084629789
2022-09-26 23,7.263572272939191
2022-09-27 00,7.277304953278616
2022-09-27 01,7.458325955278802
2022-09-27 02,7.306702223990634
2022-09-27 03,7.095531666176976
2022-09-27 04,7.268938432245515
2022-09-27 05,7.350539348610047
2022-09-27 06,7.261915160892155
2022-09-27 07,7.346768249239789
2022-09-27 08,7.3397768179092875
2022-09-27 09,7.259043044318606
2022-09-27 10,7.2628517844706595
2022-09-27 11,7.176163201418459
2022-09-27 12,7.1741574117576015
2022-09-27 13,7.323317494378501
2022-09-27 14,7.237498086366898
2022-09-27 15,7.006330408593328
2022-09-27 16,7.217596988765029
2022-09-27 17,7.209974892091884
2022-09-27 18,7.199837363668867
2022-09-27 19,7.1909586584249165
2022-09-27 20,7.177531936396333
2022-09-27 21,7.094966781354524
2022-09-27 22,7.338971951624026
2022-09-27 23,7.103614331997316
2022-09-28 00,7.106697685856321
2022-09-28 01,7.448306510407942
2022-09-28 02,6.500932427548315
2022-09-28 03,7.1411498366803885
2022-09-28 04,7.3134635621892174
2022-09-28 05,7.5839097796134665
2022-09-28 06,7.777885313115264
2022-09-28 07,7.190247905792609
2022-09-28 08,7.118550271214433
2022-09-28 09,7.36357321515603
2022-09-28 10,6.635081302371375
2022-09-28 11,6.753842233130875
2022-09-28 12,6.748142913649502
2022-09-28 13,6.932133640597797
2022-09-28 14,6.985742556208502
2022-09-28 15,7.212738880823208
2022-09-28 16,7.2869494717924645
2022-09-28 17,6.75027925015358
2022-09-28 18,6.7474609930760945
2022-09-28 19,6.741988335167883
2022-09-28 20,6.739073971662381
2022-09-28 21,6.9475076059603875
2022-09-28 22,6.948139563032159
2022-09-28 23,7.187643232009295
2022-09-29 00,6.830330284536827
2022-09-29 01,6.7655808749981015
2022-09-29 02,6.771582440226743
2022-09-29 03,7.005398263088805
2022-09-29 04,7.109230974689992
2022-09-29 05,7.2824912838375155
2022-09-29 06,7.301007594754074
2022-09-29 07,7.389928165149571
2022-09-29 08,7.389183918667371
2022-09-29 09,7.396585817727397
2022-09-29 10,7.395940220041597
2022-09-29 11,7.396651674335514
2022-09-29 12,7.305750048522261
2022-09-29 13,7.271294873603882
2022-09-29 14,7.253922688545197
2022-09-29 15,7.24153625998218
2022-09-29 16,7.149364037375019
2022-09-29 17,7.137469728322338
2022-09-29 18,7.125915282938922
2022-09-29 19,7.11721906563022
2022-09-29 20,7.111323861939246
2022-09-29 21,7.115577223926977
2022-09-29 22,7.113358345280833
2022-09-29 23,7.117457206809239
2022-09-30 00,7.376005802591541
2022-09-30 01,7.474901189331902
2022-09-30 02,7.231312880704697
2022-09-30 03,7.659962286259319
2022-09-30 04,7.431867483282458
2022-09-30 05,7.788704378534384
2022-09-30 06,7.892411655766732
2022-09-30 07,7.558705668335426
2022-09-30 08,7.560250843469952
2022-09-30 09,7.640765391162129
2022-09-30 10,7.550258062881705
2022-09-30 11,7.450664914926723
2022-09-30 12,7.346377969193911
2022-09-30 13,7.493787873509416
2022-09-30 14,7.398601550200207
2022-09-30 15,6.8537019006340945
2022-09-30 16,7.380333059229352
2022-09-30 17,7.562824850577711
2022-09-30 18,7.644494677079262
2022-09-30 19,7.364571075045884
2022-09-30 20,7.276101430451568
2022-09-30 21,7.34804124737771
2022-09-30 22,7.262859171633243
2022-09-30 23,7.265728287093445
2022-10-01 00,7.282590635064668
2022-10-01 01,7.4626096981050125
2022-10-01 02,7.555422156589984
2022-10-01 03,7.6586943163692025
2022-10-01 04,7.503271218094644
2022-10-01 05,7.289553599464254
2022-10-01 06,7.385400128844478
2022-10-01 07,7.472451586213013
2022-10-01 08,7.631410878810362
2022-10-01 09,7.7204756498165885
2022-10-01 10,7.544939651844856
2022-10-01 11,7.216120347222631
2022-10-01 12,7.337387366193219
2022-10-01 13,7.319842467599086
2022-10-01 14,7.558082016140726
2022-10-01 15,7.468400336883917
2022-10-01 16,7.462507179083172
2022-10-01 17,7.452176494282801
2022-10-01 18,7.198415534441045
2022-10-01 19,7.106693826294148
2022-10-01 20,6.806452930984744
2022-10-01 21,6.649981148093266
2022-10-01 22,6.854351276386311
2022-10-01 23,6.856896423523391
2022-10-02 00,6.872503648352641
2022-10-02 01,6.888988422154281
2022-10-02 02,6.9748583000081235
2022-10-02 03,7.074603908749033
2022-10-02 04,6.950108018516418
2022-10-02 05,6.961684795104555
2022-10-02 06,7.05178324136805
2022-10-02 07,7.132702424548991
2022-10-02 08,7.363647099452193
2022-10-02 09,7.1387012530812255
