Time (UTC), WUE (L/kWh)
2022-09-22 00,6.100516801435519
2022-09-22 01,6.0503954509735065
2022-09-22 02,6.1168693206482985
2022-09-22 03,6.068776308619436
2022-09-22 04,6.085747634031002
2022-09-22 05,5.98156942410848
2022-09-22 06,6.034168658918658
2022-09-22 07,6.151179031375894
2022-09-22 08,6.1508777451477235
2022-09-22 09,6.157335932110903
2022-09-22 10,6.168741245439279
2022-09-22 11,6.18487928275911
2022-09-22 12,6.188399064186529
2022-09-22 13,6.19811137634857
2022-09-22 14,6.2163305341595665
2022-09-22 15,6.31631413512286
2022-09-22 16,6.287227101781969
2022-09-22 17,6.1573908650030225
2022-09-22 18,6.114582219989412
2022-09-22 19,6.264891620770405
2022-09-22 20,6.224138083542641
2022-09-22 21,6.216316931394275
2022-09-22 22,6.292706059681349
2022-09-22 23,6.236018976731504
2022-09-23 00,6.164603373128996
2022-09-23 01,6.260681692718938
2022-09-23 02,6.241951543682028
2022-09-23 03,6.226495392639502
2022-09-23 04,6.169076820595674
2022-09-23 05,6.166751247183605
2022-09-23 06,6.1755001176078395
2022-09-23 07,6.1834634648436095
2022-09-23 08,6.175451776885629
2022-09-23 09,6.169405924825224
2022-09-23 10,6.176944884760429
2022-09-23 11,6.162972803500138
2022-09-23 12,6.183637028961719
2022-09-23 13,6.181136306295082
2022-09-23 14,6.509127036874601
2022-09-23 15,6.597710709907204
2022-09-23 16,6.875023963639764
2022-09-23 17,6.874236159026099
2022-09-23 18,6.825708569958525
2022-09-23 19,6.7664508388870805
2022-09-23 20,6.529555994667904
2022-09-23 21,6.645828447621992
2022-09-23 22,6.595389800014565
2022-09-23 23,6.7214177031316265
2022-09-24 00,5.642533717746581
2022-09-24 01,6.123627058235542
2022-09-24 02,6.202359335230713
2022-09-24 03,6.243082683613979
2022-09-24 04,6.335183047803336
2022-09-24 05,6.162259409244598
2022-09-24 06,5.757586306049422
2022-09-24 07,5.726122525007957
2022-09-24 08,5.682337711795051
2022-09-24 09,5.6341108204735955
2022-09-24 10,5.630430503834407
2022-09-24 11,5.649447856140711
2022-09-24 12,5.662340921369307
2022-09-24 13,5.678306054074456
2022-09-24 14,5.863417724836495
2022-09-24 15,6.13343281618142
2022-09-24 16,6.388894198894268
2022-09-24 17,6.586172956304388
2022-09-24 18,6.43726773691267
2022-09-24 19,6.413414138870378
2022-09-24 20,6.454278985011712
2022-09-24 21,6.357378435108927
2022-09-24 22,5.646747172908789
2022-09-24 23,5.595023998653604
2022-09-25 00,5.536357952567881
2022-09-25 01,5.694548812645685
2022-09-25 02,5.648958568207641
2022-09-25 03,5.598141637677165
2022-09-25 04,5.559705354664589
2022-09-25 05,5.510901752177425
2022-09-25 06,5.513846870406138
2022-09-25 07,5.44347999011175
2022-09-25 08,5.360465810030819
2022-09-25 09,5.377955657057506
2022-09-25 10,5.392960977134592
2022-09-25 11,5.415869771509294
2022-09-25 12,5.421255687562738
2022-09-25 13,5.4091311210967135
2022-09-25 14,5.619100238270214
2022-09-25 15,5.706433360792717
2022-09-25 16,5.920812573326882
2022-09-25 17,5.999318297927931
2022-09-25 18,6.268350248096296
2022-09-25 19,6.439500822943339
2022-09-25 20,6.60403225607881
2022-09-25 21,6.620445918695666
2022-09-25 22,6.294131179664476
2022-09-25 23,6.206035189340185
2022-09-26 00,6.176803216875534
2022-09-26 01,6.2151217952179705
2022-09-26 02,6.165360753747442
2022-09-26 03,6.10426283039704
2022-09-26 04,6.0127479282203335
2022-09-26 05,5.8639438253188025
2022-09-26 06,5.834245333378103
2022-09-26 07,5.848347150844767
2022-09-26 08,5.8459088854485035
2022-09-26 09,5.908239320373549
2022-09-26 10,5.932408341959141
2022-09-26 11,5.9470005324947
2022-09-26 12,5.9413323945622984
2022-09-26 13,5.948820805790254
2022-09-26 14,6.016349665499435
2022-09-26 15,6.136561845125298
2022-09-26 16,6.345761010264312
2022-09-26 17,6.492657840751464
2022-09-26 18,6.58857230718793
2022-09-26 19,6.623904842667304
2022-09-26 20,6.784644324936428
2022-09-26 21,6.662813702076799
2022-09-26 22,6.7166940622084885
2022-09-26 23,6.340738359471544
2022-09-27 00,6.604400528084376
2022-09-27 01,6.436063481123256
2022-09-27 02,6.514604123124054
2022-09-27 03,6.400632494475165
2022-09-27 04,6.256880402194232
2022-09-27 05,6.100336618926258
2022-09-27 06,6.063512552822985
2022-09-27 07,6.004318529984042
2022-09-27 08,5.979551101945109
2022-09-27 09,6.018637556515823
2022-09-27 10,6.041180018079597
2022-09-27 11,5.9867904844401005
2022-09-27 12,5.938477081364804
2022-09-27 13,5.965482792898236
2022-09-27 14,6.069251449083644
2022-09-27 15,6.372840858557592
2022-09-27 16,6.450402600394028
2022-09-27 17,6.442642804808771
2022-09-27 18,6.567303940722072
2022-09-27 19,6.596418538210237
2022-09-27 20,6.539216849226302
2022-09-27 21,6.501861106877035
2022-09-27 22,6.38670128412941
2022-09-27 23,6.236837226450714
2022-09-28 00,6.324664229622673
2022-09-28 01,6.342171852476293
2022-09-28 02,6.3779972113608805
2022-09-28 03,6.326998296761762
2022-09-28 04,6.214620833949537
2022-09-28 05,6.221747180985101
2022-09-28 06,6.090334412878126
2022-09-28 07,6.070940600539967
2022-09-28 08,6.090548819477582
2022-09-28 09,6.230410708789144
2022-09-28 10,6.11420818558517
2022-09-28 11,6.1621426103369785
2022-09-28 12,6.125053093079417
2022-09-28 13,6.034836488517193
2022-09-28 14,6.136765526832299
2022-09-28 15,6.240956641490965
2022-09-28 16,6.238228742836034
2022-09-28 17,6.256626047889194
2022-09-28 18,6.194550958501042
2022-09-28 19,6.12040395741177
2022-09-28 20,6.1042206339234975
2022-09-28 21,6.037619518402035
2022-09-28 22,5.9950943138496715
2022-09-28 23,6.02937409206059
2022-09-29 00,5.8546907331597255
2022-09-29 01,5.683303650252725
2022-09-29 02,5.560125211150937
2022-09-29 03,5.50091868649023
2022-09-29 04,5.475376849450542
2022-09-29 05,5.432684670950956
2022-09-29 06,5.413532060817914
2022-09-29 07,5.438696363809754
2022-09-29 08,5.408819691444599
2022-09-29 09,5.318203632522938
2022-09-29 10,5.311784327680989
2022-09-29 11,5.289056978187891
2022-09-29 12,5.302176484782627
2022-09-29 13,5.293747082136038
2022-09-29 14,5.52280726648693
2022-09-29 15,5.723851433246208
2022-09-29 16,5.835911571730027
2022-09-29 17,5.943131272376815
2022-09-29 18,5.862620989000162
2022-09-29 19,5.872204381825574
2022-09-29 20,5.744152998027653
2022-09-29 21,5.6650202333838315
2022-09-29 22,5.61976243072718
2022-09-29 23,5.6401733402001195
2022-09-30 00,5.663712288221703
2022-09-30 01,5.596436309884368
2022-09-30 02,5.39429054899109
2022-09-30 03,5.255095181323666
2022-09-30 04,5.15430729776468
2022-09-30 05,5.050681039848761
2022-09-30 06,4.992320043601728
2022-09-30 07,4.90566692155671
2022-09-30 08,4.95238628899045
2022-09-30 09,4.983914022758446
2022-09-30 10,5.039574267694683
2022-09-30 11,5.048478871303805
2022-09-30 12,5.156480990043839
2022-09-30 13,5.186875757838063
2022-09-30 14,5.353127483223863
2022-09-30 15,5.517156735523568
2022-09-30 16,5.625444625065086
2022-09-30 17,5.649721053708898
2022-09-30 18,5.778974444051143
2022-09-30 19,5.732112103215531
2022-09-30 20,5.644643831575744
2022-09-30 21,5.582053324763306
2022-09-30 22,5.54739701220518
2022-09-30 23,5.56031211263685
2022-10-01 00,5.502167088074439
2022-10-01 01,5.384199311873216
2022-10-01 02,5.165933347105444
2022-10-01 03,5.089096647264132
2022-10-01 04,5.059331765566338
2022-10-01 05,5.016876329813785
2022-10-01 06,5.02059933765587
2022-10-01 07,5.10721719151618
2022-10-01 08,5.057744008293807
2022-10-01 09,5.072523115893872
2022-10-01 10,5.117720959470948
2022-10-01 11,5.250197609639351
2022-10-01 12,5.188376109801282
2022-10-01 13,5.091256274254201
2022-10-01 14,5.106180511995091
2022-10-01 15,5.209113012946505
2022-10-01 16,5.23532141260907
2022-10-01 17,5.415442474055363
2022-10-01 18,5.5372033714511835
2022-10-01 19,5.573302250145121
2022-10-01 20,5.6646343939884884
2022-10-01 21,5.622175922738707
2022-10-01 22,5.710452866597941
2022-10-01 23,5.736082546208775
2022-10-02 00,5.645979100304272
2022-10-02 01,5.649064078434451
2022-10-02 02,5.554670628391615
2022-10-02 03,5.3838205376585275
2022-10-02 04,5.287249039284966
2022-10-02 05,5.233921488814598
2022-10-02 06,5.17496374126903
2022-10-02 07,5.133235202032772
2022-10-02 08,5.0792347175515635
2022-10-02 09,5.070219200000723
2022-10-02 10,4.998805767199362
2022-10-02 11,4.975089191628387
2022-10-02 12,4.961883349054159
2022-10-02 13,4.944252649035358
2022-10-02 14,5.021578760102466
2022-10-02 15,5.058679799882961
2022-10-02 16,5.0543587335493125
2022-10-02 17,5.07268376711541
2022-10-02 18,5.113351571317732
2022-10-02 19,5.208739320498857
2022-10-02 20,5.278309518481414
2022-10-02 21,5.375459550271194
2022-10-02 22,5.411646327057237
2022-10-02 23,5.410299961196101
2022-10-03 00,5.396603155700987
2022-10-03 01,5.44841871575925
2022-10-03 02,5.273617742373924
2022-10-03 03,5.090144220731194
2022-10-03 04,5.005981882844948
2022-10-03 05,5.017879795448181
2022-10-03 06,4.893996133891179
2022-10-03 07,4.823835027877977
2022-10-03 08,4.812486537222568
2022-10-03 09,4.833353021659649
2022-10-03 10,4.879841144229084
2022-10-03 11,4.924484544216461
2022-10-03 12,4.912544147544978
2022-10-03 13,4.93748371666106
2022-10-03 14,5.0476893028248835
2022-10-03 15,5.199193971702117
2022-10-03 16,5.362688585128649
2022-10-03 17,5.5102162854838905
2022-10-03 18,5.558950001916515
2022-10-03 19,5.563847826539022
2022-10-03 20,5.684251017623975
2022-10-03 21,5.746188462822972
2022-10-03 22,5.766499630978453
2022-10-03 23,5.719506341033357
2022-10-04 00,5.60726428442531
2022-10-04 01,5.376850421235593
2022-10-04 02,5.236844451326155
2022-10-04 03,5.118052746245536
2022-10-04 04,4.986340927103547
2022-10-04 05,4.907582825754226
2022-10-04 06,4.842422712818663
2022-10-04 07,4.78217846268533
2022-10-04 08,4.755866302217332
2022-10-04 09,4.760277734857629
2022-10-04 10,4.753436207147365
2022-10-04 11,4.714241227274295
2022-10-04 12,4.704594121608815
2022-10-04 13,4.74269955282959
2022-10-04 14,4.903142593472964
2022-10-04 15,5.011365873924386
2022-10-04 16,5.292181305667991
2022-10-04 17,5.691099151877892
2022-10-04 18,5.874956510124479
2022-10-04 19,5.810831631479004
2022-10-04 20,5.814745780164195
2022-10-04 21,5.663711209301385
2022-10-04 22,5.4819585061946015
2022-10-04 23,5.437850656093229
2022-10-05 00,5.210216559556171
2022-10-05 01,5.239693576974966
2022-10-05 02,4.970221825474804
2022-10-05 03,4.8614481796898925
2022-10-05 04,4.85329451425962
