Time (UTC), WUE (L/kWh)
2022-09-22 00,6.059843571861761
2022-09-22 01,5.985965828626602
2022-09-22 02,5.956198624932017
2022-09-22 03,5.854906663861799
2022-09-22 04,5.80612305483535
2022-09-22 05,5.833529547085906
2022-09-22 06,5.64683191759617
2022-09-22 07,5.658325277119556
2022-09-22 08,5.663519232669641
2022-09-22 09,5.6075195596318546
2022-09-22 10,5.593615651905445
2022-09-22 11,5.547030908720646
2022-09-22 12,5.514988767677972
2022-09-22 13,5.508697199936332
2022-09-22 14,5.473537557922467
2022-09-22 15,5.633511916665761
2022-09-22 16,5.796599048884409
2022-09-22 17,5.8657568382615395
2022-09-22 18,5.909353994139586
2022-09-22 19,5.949059222442193
2022-09-22 20,6.001836826764577
2022-09-22 21,6.012471172176729
2022-09-22 22,6.080915476791314
2022-09-22 23,6.05215459584366
2022-09-23 00,6.019789934556172
2022-09-23 01,6.109132945235074
2022-09-23 02,6.062328638236483
2022-09-23 03,6.1869728105053605
2022-09-23 04,6.278562705228946
2022-09-23 05,6.2046100203404935
2022-09-23 06,6.217257956711161
2022-09-23 07,6.229802076660658
2022-09-23 08,6.237596494948505
2022-09-23 09,6.186576910598218
2022-09-23 10,6.318760475524073
2022-09-23 11,6.186829345062555
2022-09-23 12,6.155402827116852
2022-09-23 13,6.2682235968168785
2022-09-23 14,6.380806880307878
2022-09-23 15,6.592559819188994
2022-09-23 16,6.622312403975588
2022-09-23 17,6.497073887507723
2022-09-23 18,6.619751139116654
2022-09-23 19,6.673939803131828
2022-09-23 20,6.740913347132859
2022-09-23 21,6.521150291205808
2022-09-23 22,6.692340660024858
2022-09-23 23,6.721821035357866
2022-09-24 00,6.61534212006877
2022-09-24 01,6.572962135803718
2022-09-24 02,6.4622116252235156
2022-09-24 03,6.334986529781219
2022-09-24 04,6.210537130439757
2022-09-24 05,6.244427619388113
2022-09-24 06,6.193445168354372
2022-09-24 07,6.0300297186044
2022-09-24 08,6.032450755238749
2022-09-24 09,6.035162893854229
2022-09-24 10,5.978077430241472
2022-09-24 11,5.983492994432511
2022-09-24 12,6.064541992046283
2022-09-24 13,6.139331810645672
2022-09-24 14,6.380195766418494
2022-09-24 15,6.720356240219571
2022-09-24 16,6.665521340255211
2022-09-24 17,6.709912486791446
2022-09-24 18,6.7689268901265205
2022-09-24 19,6.662241383375772
2022-09-24 20,6.664853893253619
2022-09-24 21,6.664009384841214
2022-09-24 22,6.610764809573335
2022-09-24 23,6.711541824046272
2022-09-25 00,6.589275649279003
2022-09-25 01,6.5508304526126455
2022-09-25 02,6.5742351007318085
2022-09-25 03,6.380469379654897
2022-09-25 04,6.3524682909827845
2022-09-25 05,6.225152711105489
2022-09-25 06,6.123831107605516
2022-09-25 07,6.01911793308478
2022-09-25 08,6.135625370327428
2022-09-25 09,6.081733475628597
2022-09-25 10,6.07845886581004
2022-09-25 11,6.080395064046519
2022-09-25 12,6.16724252115705
2022-09-25 13,6.141925741413425
2022-09-25 14,6.180298792191568
2022-09-25 15,6.426743441653677
2022-09-25 16,6.4738076163142
2022-09-25 17,6.759665314270144
2022-09-25 18,6.808912528315805
2022-09-25 19,6.639307456810249
2022-09-25 20,6.6631753039477735
